stimuli,lemma,n,percent,isPicturable,notNoun,checkThisWord,duplicateOf,synonymOf,lemma_hc
ancient_rome,heis,14,43.75,0,0,1,,,heis
ancient_rome,hmm,1,3.125,0,0,1,,,hmm
ancient_rome,iti,1,3.125,0,0,1,,,iti
ancient_rome,itis,17,53.125,0,0,1,,,itis
ancient_rome,kinda,1,3.125,0,0,1,,,kinda
ancient_rome,outfin,1,3.125,0,0,1,,,outfin
ancient_rome,swimm,1,3.125,0,0,1,,,swim
ancient_rome,thatis,9,28.125,0,0,1,,,thatis
ancient_rome,thereis,10,31.25,0,0,1,,,thereis
ancient_rome,theyare,12,37.5,0,0,1,,,theyare
ancient_rome,titis,1,3.125,0,0,1,,,titis
ancient_rome,tthatis,2,6.25,0,0,1,,,tthatis
ancient_rome,tthereis,7,21.875,0,0,1,,,tthereis
ancient_rome,uh,4,12.5,0,0,1,,,uh
ancient_rome,um,9,28.125,0,0,1,,,um
ancient_rome,umm,5,15.625,0,0,1,,,umm
ancient_rome,v,1,3.125,0,0,1,,,v
ancient_rome,wehave,2,6.25,0,0,1,,,wehave
ancient_rome,whatis,5,15.625,0,0,1,,,whatis
ancient_rome,whereis,1,3.125,0,0,1,,,whereis
ancient_rome,whois,6,18.75,0,0,1,,,whois
ancient_rome,action,1,3.125,0,0,0,,,action
ancient_rome,activity,4,12.5,0,0,0,,,activity
ancient_rome,affair,1,3.125,0,0,0,,,affair
ancient_rome,air,1,3.125,1,0,0,,,air
ancient_rome,alive,1,3.125,0,0,0,,,alive
ancient_rome,animal,14,43.75,0,0,0,,,animal
ancient_rome,ant,1,3.125,1,0,0,,,ant
ancient_rome,area,10,31.25,0,0,0,,,area
ancient_rome,arena,19,59.375,1,0,0,,stadium,arena
ancient_rome,arm,3,9.375,1,0,0,,limb,arm
ancient_rome,armor,4,12.5,1,0,0,armour,,armor
ancient_rome,armour,1,3.125,1,0,1,armor,,armor
ancient_rome,around,1,3.125,0,1,0,,,around
ancient_rome,atop,1,3.125,0,1,0,,,atop
ancient_rome,attack,1,3.125,0,0,0,,,attack
ancient_rome,attention,1,3.125,0,0,0,,,attention
ancient_rome,audience,2,6.25,0,0,0,,,audience
ancient_rome,axle,1,3.125,1,0,0,,,axle
ancient_rome,back,8,25,0,0,0,,,back
ancient_rome,backside,1,3.125,0,0,0,,,backside
ancient_rome,band,1,3.125,1,0,0,,,band
ancient_rome,banner,2,6.25,1,0,0,,,banner
ancient_rome,battle,4,12.5,0,0,0,,,battle
ancient_rome,bed,3,9.375,1,0,0,,,bed
ancient_rome,being,1,3.125,0,0,0,,,being
ancient_rome,belonging,1,3.125,0,0,0,,,belonging
ancient_rome,bib,7,21.875,1,0,0,,,bib
ancient_rome,bit,1,3.125,0,0,0,,,bit
ancient_rome,bleacher,1,3.125,1,0,0,,,bleacher
ancient_rome,blood,2,6.25,1,0,0,,,blood
ancient_rome,blue,1,3.125,1,0,0,,,blue
ancient_rome,blurry,1,3.125,0,1,0,,,blurry
ancient_rome,body,1,3.125,1,0,0,,,body
ancient_rome,book,4,12.5,1,0,0,,,book
ancient_rome,booth,1,3.125,1,0,0,,,booth
ancient_rome,bottom,8,25,0,0,0,,,bottom
ancient_rome,bowl,2,6.25,0,0,0,,dish,bowl
ancient_rome,broom,2,6.25,1,0,0,,,broom
ancient_rome,brown,2,6.25,1,0,0,,,brown
ancient_rome,bug,1,3.125,0,0,0,,,bug
ancient_rome,buggy,1,3.125,1,0,0,,"cart, carriage, chariot",buggy
ancient_rome,bull,1,3.125,1,0,0,,,bull
ancient_rome,bullfight,1,3.125,1,0,0,,,bullfight
ancient_rome,bun,1,3.125,1,0,0,,,bun
ancient_rome,bunch,10,31.25,0,0,0,,,bunch
ancient_rome,caesar,2,6.25,0,0,0,,,caesar
ancient_rome,camera,1,3.125,1,0,0,,,camera
ancient_rome,caption,1,3.125,0,0,0,,,caption
ancient_rome,carriage,4,12.5,1,0,0,,"cart, buggy, chariot",carriage
ancient_rome,cart,1,3.125,1,0,0,,"carriage, buggy, chariot",cart
ancient_rome,cartoon,1,3.125,0,0,0,,,cartoon
ancient_rome,case,2,6.25,0,0,0,,,case
ancient_rome,cat,2,6.25,1,0,0,,,cat
ancient_rome,caveman,1,3.125,1,0,0,,,caveman
ancient_rome,center,1,3.125,0,0,0,,,center
ancient_rome,centurion,3,9.375,1,0,0,,"gladiator, trojan",centurion
ancient_rome,chain,2,6.25,1,0,0,,,chain
ancient_rome,chair,2,6.25,1,0,0,,seat,chair
ancient_rome,chaos,4,12.5,0,0,0,,,chaos
ancient_rome,chaotic,2,6.25,0,1,0,,,chaotic
ancient_rome,chariot,22,68.75,1,0,0,,"cart, buggy, carriage",chariot
ancient_rome,chase,1,3.125,0,1,0,,,chase
ancient_rome,cheerleader,2,6.25,1,0,0,,,cheerleader
ancient_rome,cheeta,5,15.625,1,0,1,,,cheetah
ancient_rome,child,1,3.125,1,0,0,,,child
ancient_rome,christians,1,3.125,0,0,0,,,christians
ancient_rome,circle,5,15.625,1,0,0,,,circle
ancient_rome,circus,2,6.25,1,0,0,,,circus
ancient_rome,civilian,1,3.125,0,0,0,,,civilian
ancient_rome,climb,1,3.125,0,1,0,,,climb
ancient_rome,clothes,3,9.375,1,0,0,,clothing,clothes
ancient_rome,clothing,3,9.375,1,0,0,,clothes,clothing
ancient_rome,coliseum,2,6.25,1,0,0,"colosseum, colsseum",,coliseum
ancient_rome,color,3,9.375,0,0,0,,,color
ancient_rome,colosseum,12,37.5,1,0,0,"colsseum, coliseum",,colosseum
ancient_rome,colsseum,1,3.125,1,0,1,"colosseum, coliseum",,colosseum
ancient_rome,comparison,1,3.125,0,0,0,,,comparison
ancient_rome,connection,1,3.125,0,0,0,,,connection
ancient_rome,construction,1,3.125,0,0,0,,,construction
ancient_rome,container,1,3.125,0,0,0,,,container
ancient_rome,control,1,3.125,0,0,0,,,control
ancient_rome,corner,4,12.5,1,0,0,,,corner
ancient_rome,costume,1,3.125,1,0,0,,"outfit, clothing",costume
ancient_rome,couch,1,3.125,1,0,0,,sofa,couch
ancient_rome,couple,8,25,0,0,0,,,couple
ancient_rome,course,1,3.125,0,0,0,,,course
ancient_rome,creature,1,3.125,0,0,0,,,creature
ancient_rome,cross,1,3.125,1,0,0,,,cross
ancient_rome,crowd,9,28.125,1,0,0,,group,crowd
ancient_rome,crown,1,3.125,1,0,0,,,crown
ancient_rome,cry,1,3.125,0,1,0,,,cry
ancient_rome,cub,2,6.25,0,0,0,,,cub
ancient_rome,cushion,1,3.125,1,0,0,,,cushion
ancient_rome,danger,1,3.125,0,0,0,,,danger
ancient_rome,day,3,9.375,0,0,0,,,day
ancient_rome,decoration,3,9.375,0,0,0,,,decoration
ancient_rome,depiction,2,6.25,0,0,0,,,depiction
ancient_rome,detail,1,3.125,0,0,0,,,detail
ancient_rome,device,1,3.125,0,0,0,,,device
ancient_rome,dinner,1,3.125,1,0,0,,meal,dinner
ancient_rome,dirt,2,6.25,1,0,0,,,dirt
ancient_rome,disconnect,1,3.125,0,1,0,,,disconnect
ancient_rome,dish,1,3.125,1,0,0,,,dish
ancient_rome,displeasure,1,3.125,0,0,0,,,displeasure
ancient_rome,disruption,1,3.125,0,0,0,,,disruption
ancient_rome,door,4,12.5,1,0,0,,,door
ancient_rome,doorway,3,9.375,1,0,0,,entryway,doorway
ancient_rome,dozen,1,3.125,0,0,0,,,dozen
