stimuli,lemma,n,percent,isPicturable,notNoun,checkThisWord,duplicateOf,synonymOf,lemma_hc
arrival_4,ear,12,37.5,1,0,0,ears,,ear
arrival_4,heis,27,84.375,0,1,1,,,heis
arrival_4,sheis,26,81.25,0,1,1,,,sheis
arrival_4,itis,24,75,0,1,1,,,itis
arrival_4,thatis,18,56.25,0,1,1,,,thatis
arrival_4,theyare,16,50,0,1,1,,,theyare
arrival_4,iti,15,46.875,0,1,1,,,iti
arrival_4,thereis,15,46.875,0,1,1,,,thereis
arrival_4,whois,12,37.5,0,1,1,,,whois
arrival_4,hei,10,31.25,0,1,1,,,hei
arrival_4,whatis,10,31.25,0,1,1,,,whatis
arrival_4,titis,8,25,0,1,1,,,titis
arrival_4,tthereis,8,25,0,1,1,,,tthereis
arrival_4,glassis,5,15.625,1,0,1,,,glasses
arrival_4,Iam,5,15.625,0,1,1,,,Iam
arrival_4,mans,5,15.625,0,1,1,,,mans
arrival_4,shei,5,15.625,0,1,1,,,shei
arrival_4,weare,5,15.625,0,1,1,,,weare
arrival_4,thati,4,12.5,0,1,1,,,thati
arrival_4,letus,3,9.375,0,1,1,,,letus
arrival_4,somebodys,3,9.375,0,1,1,,,somebodys
arrival_4,sunglasse,3,9.375,1,0,1,sunglass,,sunglasses
arrival_4,theis,3,9.375,0,1,1,,,theis
arrival_4,benche,2,6.25,1,0,1,,,bench
arrival_4,Ibe,2,6.25,0,1,1,,,Ibe
arrival_4,potatoe,2,6.25,1,0,1,,,potato
arrival_4,sho,2,6.25,0,1,1,,,sho
arrival_4,tsheis,2,6.25,0,1,1,,,tsheis
arrival_4,tthatis,2,6.25,0,1,1,,,tthatis
arrival_4,wehave,2,6.25,0,1,1,,,wehave
arrival_4,whatevers,2,6.25,0,1,1,,,whatevers
arrival_4,youare,2,6.25,0,1,1,,,youare
arrival_4,boxe,1,3.125,1,0,1,,,box
arrival_4,chimmny,1,3.125,1,0,1,,,chimney
arrival_4,clbe,1,3.125,0,1,1,,,clbe
arrival_4,cotta,1,3.125,0,1,1,,,cotta
arrival_4,distratch,1,3.125,0,1,1,,,distratch
arrival_4,firehydrant,1,3.125,1,0,1,,,firehydrant
arrival_4,fivehundredfifty,1,3.125,0,1,1,,,fivehundredfifty
arrival_4,fivethousandsixhundredseventyeight,1,3.125,0,1,1,,,fivethousandsixhundredseventyeight
arrival_4,lande,1,3.125,0,1,1,,,lande
arrival_4,padde,1,3.125,0,1,1,,,padde
arrival_4,peanks,1,3.125,0,1,1,,,peanks
arrival_4,po,1,3.125,0,1,1,,,po
arrival_4,selfservice,1,3.125,0,1,1,,,selfservice
arrival_4,sidebyside,1,3.125,0,1,1,,,sidebyside
arrival_4,someones,1,3.125,0,1,1,,,someones
arrival_4,somethings,1,3.125,0,1,1,,,somethings
arrival_4,stofe,1,3.125,0,1,1,,,stofe
arrival_4,sunglass,1,3.125,1,0,1,sunglasse,,sunglasses
arrival_4,tac,1,3.125,0,1,1,,,tac
arrival_4,terra,1,3.125,0,1,1,,,terra
arrival_4,theyhave,1,3.125,0,1,1,,,theyhave
arrival_4,thitey,1,3.125,0,1,1,,,thitey
arrival_4,twostory,1,3.125,0,1,1,,,twostory
arrival_4,whereis,1,3.125,0,1,1,,,whereis
arrival_4,whoi,1,3.125,0,1,1,,,whoi
arrival_4,xx,1,3.125,0,1,1,,,xx
arrival_4,youhave,1,3.125,0,1,1,,,youhave
arrival_4,book,28,87.5,1,0,0,,,book
arrival_4,hat,28,87.5,1,0,0,,,hat
arrival_4,map,28,87.5,1,0,0,,,map
arrival_4,people,28,87.5,1,0,0,,,people
arrival_4,ticket,28,87.5,1,0,0,,,ticket
arrival_4,train,28,87.5,1,0,0,,,train
arrival_4,boy,27,84.375,1,0,0,,,boy
arrival_4,boat,26,81.25,1,0,0,,,boat
arrival_4,city,26,81.25,1,0,0,,,city
arrival_4,drawer,26,81.25,1,0,0,,,drawer
arrival_4,man,26,81.25,1,0,0,,"gentleman, guy",man
arrival_4,picture,26,81.25,1,0,0,,,picture
arrival_4,shovel,26,81.25,1,0,0,,,shovel
arrival_4,tail,26,81.25,1,0,0,,,tail
arrival_4,basket,24,75,1,0,0,,,basket
arrival_4,sky,24,75,1,0,0,,,sky
arrival_4,woman,24,75,1,0,0,,lady,woman
arrival_4,cat,23,71.875,1,0,0,,,cat
arrival_4,hand,23,71.875,1,0,0,,palm,hand
arrival_4,lot,23,71.875,1,0,0,,,lot
arrival_4,money,23,71.875,1,0,0,,,money
arrival_4,pocket,23,71.875,1,0,0,,,pocket
arrival_4,building,22,68.75,1,0,0,,,building
arrival_4,door,22,68.75,1,0,0,,,door
arrival_4,fish,22,68.75,1,0,0,,,fish
arrival_4,girl,21,65.625,1,0,0,,,girl
arrival_4,street,21,65.625,1,0,0,,,street
arrival_4,bread,20,62.5,1,0,0,,loaf,bread
arrival_4,food,20,62.5,1,0,0,,,food
arrival_4,top,19,59.375,1,0,0,,,top
arrival_4,bird,17,53.125,1,0,0,,,bird
arrival_4,paper,17,53.125,1,0,0,,,paper
arrival_4,phone,17,53.125,1,0,0,,telephone,phone
arrival_4,ship,17,53.125,1,0,0,,,ship
arrival_4,shoe,17,53.125,1,0,0,,,shoe
arrival_4,vest,17,53.125,1,0,0,,,vest
arrival_4,wall,17,53.125,1,0,0,,,wall
arrival_4,chimney,16,50,1,0,0,,,chimney
arrival_4,coal,16,50,1,0,0,,,coal
arrival_4,page,16,50,1,0,0,,,page
arrival_4,snake,16,50,1,0,0,,,snake
arrival_4,statue,16,50,1,0,0,,,statue
arrival_4,arm,15,46.875,1,0,0,,,arm
arrival_4,bench,15,46.875,1,0,0,,,bench
arrival_4,face,15,46.875,1,0,0,,,face
arrival_4,fire,15,46.875,1,0,0,,,fire
arrival_4,fruit,15,46.875,1,0,0,,,fruit
arrival_4,furnace,15,46.875,1,0,0,,,furnace
arrival_4,house,15,46.875,1,0,0,,,house
arrival_4,pet,15,46.875,1,0,0,,,pet
arrival_4,shower,15,46.875,1,0,0,,,shower
arrival_4,ladder,14,43.75,1,0,0,,,ladder
arrival_4,smoke,14,43.75,1,0,0,,,smoke
arrival_4,telephone,14,43.75,1,0,0,,phone,telephone
arrival_4,billboard,13,40.625,1,0,0,,,billboard
arrival_4,bowl,13,40.625,1,0,0,,,bowl
arrival_4,box,13,40.625,1,0,0,,,box
arrival_4,bridge,13,40.625,1,0,0,,,bridge
arrival_4,ground,13,40.625,1,0,0,,,ground
arrival_4,horn,13,40.625,1,0,0,,,horn
arrival_4,lever,13,40.625,1,0,0,,,lever
arrival_4,megaphone,13,40.625,1,0,0,,,megaphone
arrival_4,number,13,40.625,1,0,0,,,number
arrival_4,bag,12,37.5,1,0,0,,,bag
arrival_4,cone,12,37.5,1,0,0,,,cone
arrival_4,head,12,37.5,1,0,0,,,head
arrival_4,tentacle,12,37.5,1,0,0,,,tentacle
arrival_4,conversation,11,34.375,1,0,0,,,conversation
