stimuli,lemma,n,percent,isPicturable,notNoun,checkThisWord,duplicateOf,synonymOf,lemma_hc
arrival_6,mens,1,3.125,1,0,1,,,men
arrival_6,petale,1,3.125,1,0,1,petal,,petal
arrival_6,hornd,1,3.125,0,0,1,,,horn
arrival_6,structur,1,3.125,0,0,1,,,structur
arrival_6,whitefish,1,3.125,1,0,1,,,whitefish
arrival_6,mantis,2,6.25,0,1,1,,,mantis
arrival_6,v,2,6.25,0,1,1,,,v
arrival_6,arain,1,3.125,0,1,1,,,arain
arrival_6,axolotl,1,3.125,1,0,0,,,axolotl
arrival_6,claudio,1,3.125,0,1,1,,,claudio
arrival_6,cuboid,1,3.125,0,1,1,,,cuboid
arrival_6,daytoday,1,3.125,0,1,1,,,daytoday
arrival_6,dragoninitely,1,3.125,0,1,1,,,dragoninitely
arrival_6,fuzze,1,3.125,0,1,1,,,fuzze
arrival_6,indianish,1,3.125,0,1,1,,,indianish
arrival_6,ness,1,3.125,0,1,1,,,ness
arrival_6,shei,1,3.125,0,1,1,,,shei
arrival_6,societie,1,3.125,0,1,1,,,societie
arrival_6,sprong,1,3.125,0,1,1,,,sprong
arrival_6,staman,1,3.125,0,1,1,,,staman
arrival_6,steampunk,1,3.125,0,1,1,,,steampunk
arrival_6,triang,1,3.125,0,1,1,,,triang
arrival_6,tsheis,1,3.125,0,1,1,,,tsheis
arrival_6,wehave,1,3.125,0,1,1,,,wehave
arrival_6,envelope,26,81.25,1,0,0,,,envelope
arrival_6,man,26,81.25,1,0,0,,,man
arrival_6,bird,25,78.125,1,0,0,,,bird
arrival_6,hat,25,78.125,1,0,0,,,hat
arrival_6,cup,24,75,1,0,0,,,cup
arrival_6,flower,24,75,1,0,0,,,flower
arrival_6,letter,24,75,1,0,0,,,letter
arrival_6,window,24,75,1,0,0,,,window
arrival_6,ladder,23,71.875,1,0,0,,,ladder
arrival_6,money,23,71.875,1,0,0,,,money
arrival_6,picture,23,71.875,1,0,0,"photo, photograph",image,picture
arrival_6,woman,23,71.875,1,0,0,"girl, lady",,woman
arrival_6,leaf,22,68.75,1,0,0,,,leaf
arrival_6,stamp,22,68.75,1,0,0,,,stamp
arrival_6,bed,21,65.625,1,0,0,,,bed
arrival_6,boot,21,65.625,1,0,0,,,boot
arrival_6,building,21,65.625,1,0,0,,edifice,building
arrival_6,girl,21,65.625,1,0,0,"woman, lady","kid, child",girl
arrival_6,ground,21,65.625,1,0,0,,,ground
arrival_6,hand,21,65.625,1,0,0,,,hand
arrival_6,paper,21,65.625,1,0,0,"papers, newspaper",page,paper
arrival_6,shape,21,65.625,1,0,0,,,shape
arrival_6,bowl,20,62.5,1,0,0,,,bowl
arrival_6,pot,20,62.5,1,0,0,pots,,pot
arrival_6,table,20,62.5,1,0,0,,,table
arrival_6,child,19,59.375,1,0,0,kid,"girl, boy",child
arrival_6,coin,19,59.375,1,0,0,,,coin
arrival_6,drawing,19,59.375,1,0,0,,illustration,drawing
arrival_6,origami,18,56.25,1,0,0,,,origami
arrival_6,animal,17,53.125,1,0,0,,,animal
arrival_6,coffee,17,53.125,1,0,0,,,coffee
arrival_6,snow,17,53.125,1,0,0,,,snow
arrival_6,mailbox,16,50,1,0,0,,,mailbox
arrival_6,sky,16,50,1,0,0,,,sky
arrival_6,stair,15,46.875,1,0,0,,step,stair
arrival_6,tree,15,46.875,1,0,0,,,tree
arrival_6,balloon,14,43.75,1,0,0,,,balloon
arrival_6,desk,14,43.75,1,0,0,,,desk
arrival_6,floor,14,43.75,1,0,0,,,floor
arrival_6,newspaper,14,43.75,1,0,0,,,newspaper
arrival_6,pen,14,43.75,1,0,0,,,pen
arrival_6,tail,14,43.75,1,0,0,,,tail
arrival_6,time,14,43.75,1,0,0,,,time
arrival_6,basket,13,40.625,1,0,0,,,basket
arrival_6,dish,13,40.625,1,0,0,,,dish
arrival_6,food,13,40.625,1,0,0,,,food
arrival_6,person,13,40.625,1,0,0,people,,person
arrival_6,hole,12,37.5,1,0,0,,,hole
arrival_6,lamp,12,37.5,1,0,0,,light,lamp
arrival_6,people,12,37.5,1,0,0,person,,people
arrival_6,boat,11,34.375,1,0,0,steamboat,ship,boat
arrival_6,city,11,34.375,1,0,0,,,city
arrival_6,light,11,34.375,1,0,0,,lamp,light
arrival_6,mirror,11,34.375,1,0,0,,,mirror
arrival_6,mouse,11,34.375,1,0,0,,,mouse
arrival_6,petal,11,34.375,1,0,0,petale,,petal
arrival_6,seed,11,34.375,1,0,0,,,seed
arrival_6,baby,10,31.25,1,0,0,,,baby
arrival_6,couple,10,31.25,1,0,0,,,couple
arrival_6,finger,10,31.25,1,0,0,,,finger
arrival_6,frame,10,31.25,1,0,0,,,frame
arrival_6,head,10,31.25,1,0,0,,,head
arrival_6,hook,10,31.25,1,0,0,,,hook
arrival_6,machine,10,31.25,1,0,0,,,machine
arrival_6,page,10,31.25,1,0,0,,"paper, papers",page
