stimuli,lemma,n,percent,isPicturable,notNoun,checkThisWord,duplicateOf,synonymOf,lemma_hc
being_a_pirate,octopuse,1,3.125,1,0,1,octopus ,,octopus 
being_a_pirate,mermay,1,3.125,1,0,1,,,mermaid
being_a_pirate,cannibal,1,3.125,0,0,0,,,cannibal
being_a_pirate,cannond,1,3.125,1,0,1,,,cannon 
being_a_pirate,roger,4,12.5,0,0,1,,,roger
being_a_pirate,itis,18,56.25,0,1,1,,,itis
being_a_pirate,thatis,13,40.625,0,1,1,,,thatis
being_a_pirate,thereis,13,40.625,0,1,1,,,thereis
being_a_pirate,dingy,2,6.25,0,1,1,,,dingy
being_a_pirate,Ibe,2,6.25,0,1,1,,,Ibe
being_a_pirate,letus,2,6.25,0,1,1,,,letus
being_a_pirate,cro,1,3.125,0,1,1,,,cro
being_a_pirate,depp,1,3.125,0,1,1,,,depp
being_a_pirate,Iam,1,3.125,0,1,1,,,Iam
being_a_pirate,kraken,1,3.125,0,1,1,,,kraken
being_a_pirate,pa,1,3.125,0,1,1,,,pa
being_a_pirate,sither,1,3.125,0,1,1,,,sither
being_a_pirate,spire,1,3.125,0,1,1,,,spire
being_a_pirate,pirate,28,87.5,1,0,0,,,pirate
being_a_pirate,ship,28,87.5,1,0,0,"ships, shipper ",boat ,ship
being_a_pirate,people,26,81.25,1,0,0,,person,people
being_a_pirate,water,24,75,1,0,0,,,water
being_a_pirate,flag,22,68.75,1,0,0,,,flag
being_a_pirate,cannon,20,62.5,1,0,0,,cannonball,cannon
being_a_pirate,tree,18,56.25,1,0,0,,,tree
being_a_pirate,lot,18,56.25,1,0,0,,,lot
being_a_pirate,octopus,17,53.125,1,0,0,octopuse,squid,octopus
being_a_pirate,palm,17,53.125,1,0,0,,,palm
being_a_pirate,skull,13,40.625,1,0,0,,crossbone,skull
being_a_pirate,crossbone,12,37.5,1,0,0,,skull,crossbone
being_a_pirate,mast,12,37.5,1,0,0,,,mast
being_a_pirate,sea,12,37.5,1,0,0,,"ocean, water",sea
being_a_pirate,beach,11,34.375,1,0,0,,shore ,beach
being_a_pirate,couple,11,34.375,1,0,0,,,couple
being_a_pirate,land,11,34.375,1,0,0,,,land
being_a_pirate,picture,11,34.375,1,0,0,,image ,picture
being_a_pirate,shore,11,34.375,1,0,0,,"shoreline, ocean",shore
being_a_pirate,treasure,11,34.375,1,0,0,,chest,treasure
being_a_pirate,man,10,31.25,1,0,0,,guy,man
being_a_pirate,row,10,31.25,1,0,0,,paddle,row
being_a_pirate,sail,10,31.25,1,0,0,"sails, sailing",sailboat,sail
being_a_pirate,ocean,8,25,1,0,0,," water, sea",ocean
being_a_pirate,page,8,25,1,0,0,,,page
being_a_pirate,sword,8,25,1,0,0,,,sword
being_a_pirate,bird,7,21.875,1,0,0,,crow,bird
being_a_pirate,chest,7,21.875,1,0,0,,treaure ,chest
being_a_pirate,crow,7,21.875,1,0,0,,bird,crow
being_a_pirate,island,7,21.875,1,0,0,,,island
being_a_pirate,person,7,21.875,1,0,0,,people,person
being_a_pirate,plank,7,21.875,1,0,0,,"board, timber ",plank
being_a_pirate,rope,7,21.875,1,0,0,,,rope
being_a_pirate,rowboat,7,21.875,1,0,0,,boat ,rowboat
being_a_pirate,shark,7,21.875,1,0,0,,,shark
being_a_pirate,nest,6,18.75,1,0,0,nests,,nest
being_a_pirate,smoke,6,18.75,1,0,0,,,smoke
being_a_pirate,wave,6,18.75,1,0,0,waves,,wave
being_a_pirate,cliff,5,15.625,1,0,0,,,cliff
being_a_pirate,corner,5,15.625,1,0,0,,,corner
being_a_pirate,sailor,5,15.625,1,0,0,,,sailor
being_a_pirate,tentacle,5,15.625,1,0,0,,,tentacle
being_a_pirate,air,4,12.5,1,0,0,,,air
being_a_pirate,battle,4,12.5,1,0,0,,,battle
being_a_pirate,boats,4,12.5,1,0,0,boat,ship,boats
being_a_pirate,book,4,12.5,1,0,0,booklet,,book
