stimuli,lemma,n,percent,isPicturable,notNoun,checkThisWord,duplicateOf,synonymOf,lemma_hc
campsite,10th,1,3.125,0,0,1,,,10th
campsite,ag,1,3.125,0,0,1,,,ag
campsite,ah,1,3.125,0,0,1,,,ah
campsite,alarme,1,3.125,0,0,1,,,alarme
campsite,blah,1,3.125,0,0,1,,,blah
campsite,canva,2,6.25,0,0,1,,,canva
campsite,fou,1,3.125,0,0,1,,,fou
campsite,grad,1,3.125,0,0,1,,,grad
campsite,hedra,1,3.125,0,0,1,,,hedra
campsite,hei,1,3.125,0,0,1,,,hei
campsite,heis,6,18.75,0,0,1,,,heis
campsite,iti,3,9.375,0,0,1,,,iti
campsite,itis,17,53.125,0,0,1,,,itis
campsite,leanto,1,3.125,0,0,1,,,leanto
campsite,oh,1,3.125,0,0,1,,,oh
campsite,onequintilliontwohundredthirtyfourquadrillionfivehundredsixtyseventrillioneighthundredninetyonebillionelevenmilliononehundredtwentyonethousandfourhundredforty,1,3.125,0,0,1,,,onequintilliontwohundredthirtyfourquadrillionfivehundredsixtyseventrillioneighthundredninetyonebillionelevenmilliononehundredtwentyonethousandfourhundredforty
campsite,onethousandtwohundredthirtyfour,1,3.125,0,0,1,,,onethousandtwohundredthirtyfour
campsite,oops,1,3.125,0,0,1,,,oops
campsite,popup,1,3.125,0,0,1,,,popup
campsite,stonewall,1,3.125,0,0,1,,,stonewall
campsite,thati,2,6.25,0,0,1,,,thati
campsite,thatis,13,40.625,0,0,1,,,thatis
campsite,thereis,14,43.75,0,0,1,,,thereis
campsite,theyare,11,34.375,0,0,1,,,theyare
campsite,theyhave,4,12.5,0,0,1,,,theyhave
campsite,timey,1,3.125,0,0,1,,,timey
campsite,tipi,2,6.25,0,0,1,,,tipi
campsite,titis,1,3.125,0,0,1,,,titis
campsite,tp,2,6.25,0,0,1,,,tp
campsite,tthereis,10,31.25,0,0,1,,,tthereis
campsite,uh,3,9.375,0,0,1,,,uh
campsite,um,11,34.375,0,0,1,,,um
campsite,umm,8,25,0,0,1,,,umm
campsite,underside,1,3.125,0,0,1,,,underside
campsite,vand,1,3.125,0,0,1,,,vand
campsite,varietie,1,3.125,0,0,1,,,varietie
campsite,whatis,4,12.5,0,0,1,,,whatis
campsite,whereis,5,15.625,0,0,1,,,whereis
campsite,whois,1,3.125,0,0,1,,,whois
campsite,moat,1,3.125,1,0,0,,,moat
campsite,claus,2,6.25,0,0,0,,,claus
campsite,east,1,3.125,0,0,0,,,east
campsite,fall,4,12.5,0,0,0,,,fall
campsite,pennyfarthing,1,3.125,1,0,0,,,pennyfarthing
campsite,scarve,1,3.125,1,0,0,,,scarve
campsite,smore,1,3.125,1,0,0,,,smore
campsite,alibaba,1,3.125,0,0,0,,,alibaba
campsite,american,1,3.125,0,0,0,,,american
campsite,arab,1,3.125,0,0,0,,,arab
campsite,indian,3,9.375,0,0,0,,,indian
campsite,indiana,1,3.125,0,0,0,,,indiana
campsite,inside,2,6.25,0,0,0,,,inside
campsite,leader,3,9.375,0,0,0,,,leader
campsite,liner,1,3.125,0,0,0,,,liner
campsite,muslim,1,3.125,0,0,0,,,muslim
campsite,number,5,15.625,0,0,0,,,number
campsite,santa,2,6.25,1,0,0,,,santa
campsite,scuba,1,3.125,1,0,0,,,scuba
campsite,shape,3,9.375,0,0,0,,,shape
campsite,site,1,3.125,0,0,0,,,site
campsite,summertime,1,3.125,0,0,0,,,summertime
campsite,venice,1,3.125,0,0,0,,,venice
campsite,waldo,9,28.125,0,0,0,,,waldo
campsite,word,1,3.125,0,0,0,,,word
campsite,world,2,6.25,0,0,0,,,world
campsite,adult,3,9.375,1,0,0,,,adult
campsite,alert,1,3.125,0,0,0,,,alert
campsite,animal,10,31.25,1,0,0,,,animal
campsite,apron,1,3.125,1,0,0,,,apron
campsite,aqueduct,1,3.125,1,0,0,,,aqueduct
campsite,army,1,3.125,1,0,0,,,army
campsite,awning,6,18.75,1,0,0,,,awning
campsite,back,3,9.375,1,0,0,,,back
campsite,backpack,12,37.5,1,0,0,,,backpack
campsite,backpacker,1,3.125,1,0,0,,,backpacker
campsite,badge,1,3.125,1,0,0,,,badge
