stimuli,lemma,n,percent,isPicturable,notNoun,checkThisWord,duplicateOf,synonymOf,lemma_hc
exhibit_12,canvase,1,3.125,1,0,1,,,canvas
exhibit_12,bal,1,3.125,1,0,1,,,ball
exhibit_12,mans,1,3.125,1,0,1,,,man
exhibit_12,outfin,1,3.125,0,0,1,,,outfin
exhibit_12,exhibin,3,9.375,0,1,1,,,exhibin
exhibit_12,curiious,1,3.125,0,1,1,,,curiious
exhibit_12,flotsam,1,3.125,0,1,1,,,flotsam
exhibit_12,letus,1,3.125,0,1,1,,,letus
exhibit_12,miasma,1,3.125,0,1,1,,,miasma
exhibit_12,mishmash,1,3.125,0,1,1,,,mishmash
exhibit_12,outfits,1,3.125,0,1,1,outfit,attire,outfits
exhibit_12,rembrandt,1,3.125,0,1,1,,,rembrandt
exhibit_12,people,29,90.625,1,0,0,person,"individual, human",people
exhibit_12,wall,26,81.25,1,0,0,,,wall
exhibit_12,portrait,24,75,1,0,0,portraits,"picture, artwork, sketch",portrait
exhibit_12,picture,23,71.875,1,0,0,"image, photo, photograph",portrait,picture
exhibit_12,ladder,22,68.75,1,0,0,,,ladder
exhibit_12,lot,22,68.75,1,0,0,,,lot
exhibit_12,clown,16,50,1,0,0,,,clown
exhibit_12,man,16,50,1,0,0,,"guy, gentleman",man
exhibit_12,floor,15,46.875,1,0,0,,,floor
exhibit_12,stair,15,46.875,1,0,0,"staircase, stairway, stairwell",step,stair
exhibit_12,museum,13,40.625,1,0,0,,,museum
exhibit_12,horse,12,37.5,1,0,0,,,horse
exhibit_12,woman,12,37.5,1,0,0,,,woman
exhibit_12,art,11,34.375,1,0,0,,,art
exhibit_12,costume,10,31.25,1,0,0,,,costume
exhibit_12,couple,10,31.25,1,0,0,,,couple
exhibit_12,frame,10,31.25,1,0,0,frames,,frame
exhibit_12,king,10,31.25,1,0,0,,,king
exhibit_12,painting,10,31.25,1,0,0,paint,artwork,painting
exhibit_12,shark,10,31.25,1,0,0,,,shark
exhibit_12,crowd,9,28.125,1,0,0,,,crowd
exhibit_12,ground,9,28.125,1,0,0,,,ground
exhibit_12,building,8,25,1,0,0,,,building
exhibit_12,face,8,25,1,0,0,,,face
exhibit_12,head,8,25,1,0,0,,,head
exhibit_12,staircase,8,25,1,0,0,"stair, stairway, stairwell",,staircase
exhibit_12,suit,8,25,1,0,0,,,suit
exhibit_12,balcony,7,21.875,1,0,0,,,balcony
exhibit_12,hat,7,21.875,1,0,0,,,hat
exhibit_12,police,7,21.875,1,0,0,"policeman, cops",officer,police
exhibit_12,scaffolding,7,21.875,1,0,0,,,scaffolding
exhibit_12,artist,6,18.75,1,0,0,,painter ,artist
exhibit_12,cowboy,6,18.75,1,0,0,,,cowboy
exhibit_12,fish,6,18.75,1,0,0,,,fish
exhibit_12,knight,6,18.75,1,0,0,,,knight
exhibit_12,page,6,18.75,1,0,0,,,page
exhibit_12,policeman,6,18.75,1,0,0,"police, cops",officer,policeman
exhibit_12,space,6,18.75,1,0,0,,,space
exhibit_12,alien,5,15.625,1,0,0,,,alien
exhibit_12,clothes,5,15.625,1,0,0,,dress,clothes
exhibit_12,guy,5,15.625,1,0,0,,"man, gentleman",guy
exhibit_12,hair,5,15.625,1,0,0,,,hair
exhibit_12,hand,5,15.625,1,0,0,,,hand
exhibit_12,mustache,5,15.625,1,0,0,,,mustache
exhibit_12,pilgrim,5,15.625,1,0,0,,,pilgrim
exhibit_12,railing,5,15.625,1,0,0,,,railing
exhibit_12,step,5,15.625,1,0,0,,stair,step
exhibit_12,trunk,5,15.625,1,0,0,,,trunk
exhibit_12,artwork,4,12.5,1,0,0,,"painting, portrait, sketch",artwork
exhibit_12,ball,4,12.5,1,0,0,,,ball
exhibit_12,dress,4,12.5,1,0,0,,clothes,dress
exhibit_12,flower,4,12.5,1,0,0,,,flower
exhibit_12,mask,4,12.5,1,0,0,,,mask
exhibit_12,monk,4,12.5,1,0,0,,,monk
exhibit_12,person,4,12.5,1,0,0,people,"individual, human",person
exhibit_12,photo,4,12.5,1,0,0,"picture, image, photograph", portrait,photo
exhibit_12,pipe,4,12.5,1,0,0,,,pipe
exhibit_12,water,4,12.5,1,0,0,,,water
exhibit_12,bar,3,9.375,1,0,0,,,bar
exhibit_12,body,3,9.375,1,0,0,,,body
exhibit_12,doorway,3,9.375,1,0,0,,,doorway
exhibit_12,group,3,9.375,1,0,0,,,group
exhibit_12,heart,3,9.375,1,0,0,,,heart
exhibit_12,image,3,9.375,1,0,0,"photo, picture",,image
exhibit_12,individual,3,9.375,1,0,0,,"people, person, human",individual
exhibit_12,officer,3,9.375,1,0,0,,"police, policeman",officer
exhibit_12,paint,3,9.375,1,0,0,painting,,paint
exhibit_12,platform,3,9.375,1,0,0,,,platform
exhibit_12,rail,3,9.375,1,0,0,,,rail
exhibit_12,rectangles,3,9.375,1,0,0,,shape,rectangles
exhibit_12,sign,3,9.375,1,0,0,,,sign
exhibit_12,stairway,3,9.375,1,0,0,"stair, stairwell",,stairway
exhibit_12,time,3,9.375,1,0,0,,,time
exhibit_12,window,3,9.375,1,0,0,,,window
exhibit_12,arm,2,6.25,1,0,0,,,arm
exhibit_12,armor,2,6.25,1,0,0,,,armor
exhibit_12,astronaut,2,6.25,1,0,0,,,astronaut
exhibit_12,attire,2,6.25,1,0,0,,"outfit, outfits",attire
exhibit_12,broom,2,6.25,1,0,0,,,broom
exhibit_12,circle,2,6.25,1,0,0,,shape,circle
exhibit_12,coat,2,6.25,1,0,0,,,coat
exhibit_12,diamonds,2,6.25,1,0,0,,,diamonds
exhibit_12,dog,2,6.25,1,0,0,,,dog
exhibit_12,easel,2,6.25,1,0,0,,,easel
exhibit_12,fishing,2,6.25,1,0,0,,,fishing
exhibit_12,gentleman,2,6.25,1,0,0,,"man, guy",gentleman
exhibit_12,headdress,2,6.25,1,0,0,,,headdress
exhibit_12,helmet,2,6.25,1,0,0,,,helmet
exhibit_12,hood,2,6.25,1,0,0,,,hood
exhibit_12,jail,2,6.25,1,0,0,,,jail
exhibit_12,leg,2,6.25,1,0,0,,,leg
exhibit_12,line,2,6.25,1,0,0,,,line
exhibit_12,megaphone,2,6.25,1,0,0,,,megaphone
exhibit_12,nose,2,6.25,1,0,0,,,nose
exhibit_12,outfit,2,6.25,1,0,0,outfits,attire,outfit
exhibit_12,palm,2,6.25,1,0,0,,,palm
exhibit_12,photograph,2,6.25,1,0,0,"picture, photo, image","portrait, portraits",photograph
exhibit_12,portraits,2,6.25,1,0,0,portrait,,portraits
exhibit_12,poster,2,6.25,1,0,0,,,poster
exhibit_12,prisoner,2,6.25,1,0,0,,,prisoner
exhibit_12,robe,2,6.25,1,0,0,,,robe
exhibit_12,rod,2,6.25,1,0,0,,,rod
exhibit_12,rope,2,6.25,1,0,0,,,rope
exhibit_12,row,2,6.25,1,0,0,,,row
exhibit_12,scaffold,2,6.25,1,0,0,,,scaffold
exhibit_12,scuba,2,6.25,1,0,0,,,scuba
exhibit_12,shirt,2,6.25,1,0,0,shirts,,shirt
exhibit_12,smoke,2,6.25,1,0,0,,,smoke
exhibit_12,soccer,2,6.25,1,0,0,,,soccer
exhibit_12,square,2,6.25,1,0,0,,,square
exhibit_12,stairwell,2,6.25,1,0,0,"stair, staircase, stairway",,stairwell
exhibit_12,stool,2,6.25,1,0,0,,,stool
exhibit_12,sword,2,6.25,1,0,0,,,sword
exhibit_12,tree,2,6.25,1,0,0,,,tree
exhibit_12,triangles,2,6.25,1,0,0,,,triangles
exhibit_12,wheelbarrow,2,6.25,1,0,0,,,wheelbarrow
exhibit_12,aquarium,1,3.125,1,0,0,,,aquarium
exhibit_12,banjo,1,3.125,1,0,0,,,banjo
exhibit_12,beach,1,3.125,1,0,0,,,beach
exhibit_12,bench,1,3.125,1,0,0,,,bench
exhibit_12,blazer,1,3.125,1,0,0,,,blazer
exhibit_12,blouse,1,3.125,1,0,0,,,blouse
exhibit_12,boot,1,3.125,1,0,0,,,boot
exhibit_12,bow,1,3.125,1,0,0,,,bow
exhibit_12,bowling,1,3.125,1,0,0,,,bowling
exhibit_12,box,1,3.125,1,0,0,,,box
exhibit_12,brush,1,3.125,1,0,0,,,brush
exhibit_12,cap,1,3.125,1,0,0,,,cap
exhibit_12,card,1,3.125,1,0,0,,,card
exhibit_12,caricature,1,3.125,1,0,0,,,caricature
exhibit_12,cart,1,3.125,1,0,0,,,cart
exhibit_12,case,1,3.125,1,0,0,,,case
exhibit_12,cat,1,3.125,1,0,0,,,cat
exhibit_12,chain,1,3.125,1,0,0,,,chain
exhibit_12,child,1,3.125,1,0,0,,,child
exhibit_12,children,1,3.125,1,0,0,,,children
exhibit_12,cinderella,1,3.125,1,0,0,,,cinderella
exhibit_12,clothing,1,3.125,1,0,0,,,clothing
exhibit_12,coin,1,3.125,1,0,0,,,coin
exhibit_12,cops,1,3.125,1,0,0,"police, policeman",officer,cops
exhibit_12,crown,1,3.125,1,0,0,,,crown
exhibit_12,deck,1,3.125,1,0,0,,,deck
exhibit_12,diver,1,3.125,1,0,0,,,diver
exhibit_12,dracula,1,3.125,1,0,0,,,dracula
exhibit_12,elf,1,3.125,1,0,0,,,elf
exhibit_12,eskimo,1,3.125,1,0,0,,,eskimo
exhibit_12,farm,1,3.125,1,0,0,,,farm
exhibit_12,farmer,1,3.125,1,0,0,,,farmer
exhibit_12,feather,1,3.125,1,0,0,,,feather
exhibit_12,flamingo,1,3.125,1,0,0,,,flamingo
exhibit_12,flapper,1,3.125,1,0,0,,,flapper
exhibit_12,floors,1,3.125,1,0,0,,,floors
exhibit_12,flowers,1,3.125,1,0,0,,,flowers
exhibit_12,foot,1,3.125,1,0,0,,,foot
exhibit_12,frames,1,3.125,1,0,0,frame,,frames
exhibit_12,fur,1,3.125,1,0,0,,,fur
exhibit_12,gem,1,3.125,1,0,0,,,gem
exhibit_12,girl,1,3.125,1,0,0,,,girl
exhibit_12,gladiator,1,3.125,1,0,0,,,gladiator
exhibit_12,glove,1,3.125,1,0,0,,,glove
exhibit_12,glue,1,3.125,1,0,0,,,glue
exhibit_12,gnome,1,3.125,1,0,0,,,gnome
exhibit_12,gold,1,3.125,1,0,0,,,gold
exhibit_12,guard,1,3.125,1,0,0,,,guard
