stimuli,lemma,n,percent,isPicturable,notNoun,checkThisWord,duplicateOf,synonymOf,lemma_hc
journey,pagoday,6,18.75,0,0,1,,,pagoda
journey,bird,28,87.5,1,0,0,,seagull,bird
journey,boat,28,87.5,1,0,0,boats,"steamboat, skiff, sailboat, riverboat, steamboat, rowboat, ship, vehicle, liner, steamship",boat
journey,cage,28,87.5,1,0,0,,,cage
journey,computer,28,87.5,1,0,0,,,computer
journey,door,28,87.5,1,0,0,,,door
journey,tree,28,87.5,1,0,0,,,tree
journey,balloon,27,84.375,1,0,0,,,balloon
journey,carpet,27,84.375,1,0,0,,,carpet
journey,cat,27,84.375,1,0,0,,,cat
journey,boy,26,81.25,1,0,0,,,boy
journey,circle,26,81.25,1,0,0,,,circle
journey,light,26,81.25,1,0,0,,,light
journey,room,26,81.25,1,0,0,,,room
journey,wall,26,81.25,1,0,0,,,wall
journey,palm,25,78.125,1,0,0,,,palm
journey,water,25,78.125,1,0,0,,,water
journey,girl,24,75,1,0,0,,,girl
journey,kitchen,24,75,1,0,0,,,kitchen
journey,kite,24,75,1,0,0,,,kite
journey,mailbox,24,75,1,0,0,,,mailbox
journey,scooter,24,75,1,0,0,,,scooter
journey,sky,24,75,1,0,0,,,sky
journey,bicycle,23,71.875,1,0,0,bike,,bicycle
journey,castle,23,71.875,1,0,0,,,castle
journey,couch,23,71.875,1,0,0,,,couch
journey,floor,23,71.875,1,0,0,,,floor
journey,forest,23,71.875,1,0,0,,,forest
journey,hand,23,71.875,1,0,0,,,hand
journey,waterfall,23,71.875,1,0,0,,,waterfall
journey,lantern,22,68.75,1,0,0,,,lantern
journey,bed,21,65.625,1,0,0,,,bed
journey,house,21,65.625,1,0,0,,"home, townhouse",house
journey,people,21,65.625,1,0,0,,,people
journey,street,21,65.625,1,0,0,,,street
journey,building,20,62.5,1,0,0,,,building
journey,city,20,62.5,1,0,0,,,city
journey,guard,20,62.5,1,0,0,,soldier,guard
journey,ladder,20,62.5,1,0,0,,,ladder
journey,phone,20,62.5,1,0,0,,"telephone, iPhone",phone
journey,picture,20,62.5,1,0,0,,,picture
journey,dock,19,59.375,1,0,0,,,dock
journey,edge,19,59.375,1,0,0,,,edge
journey,man,19,59.375,1,0,0,,,man
journey,wheel,19,59.375,1,0,0,,,wheel
journey,night,18,56.25,1,0,0,,,night
journey,shoulder,18,56.25,1,0,0,,,shoulder
journey,star,18,56.25,1,0,0,stars,,star
journey,bridge,17,53.125,1,0,0,,,bridge
journey,step,17,53.125,1,0,0,,,step
journey,child,16,50,1,0,0,,"kid, kiddie",child
