stimuli,lemma,n,percent,isPicturable,notNoun,checkThisWord,duplicateOf,synonymOf,lemma_hc
make_a_splash,whisle,1,3.125,1,0,1,,,whistle
make_a_splash,wafer,1,3.125,1,0,0,,,wafer
make_a_splash,brian,2,6.25,1,0,1,,,brain
make_a_splash,mans,1,3.125,1,0,1,,,mans
make_a_splash,letus,1,3.125,0,1,1,,,letus
make_a_splash,ma,1,3.125,0,1,1,,,ma
make_a_splash,theloop,1,3.125,0,1,1,,,theloop
make_a_splash,people,28,87.5,1,0,0,person,,people
make_a_splash,slide,28,87.5,1,0,0,,,slide
make_a_splash,water,28,87.5,1,0,0,,,water
make_a_splash,park,24,75,1,0,0,,,park
make_a_splash,kid,21,65.625,1,0,0,,,kid
make_a_splash,ship,21,65.625,1,0,0,,,ship
make_a_splash,lot,21,65.625,1,0,0,,,lot
make_a_splash,dragon,20,62.5,1,0,0,,,dragon
make_a_splash,elephant,20,62.5,1,0,0,,,elephant
make_a_splash,lifeguard,19,59.375,1,0,0,lifegaurds,,lifeguard
make_a_splash,pool,15,46.875,1,0,0,,,pool
make_a_splash,tube,15,46.875,1,0,0,,"raft, float, floaty",tube
make_a_splash,gun,14,43.75,1,0,0,,,gun
make_a_splash,river,14,43.75,1,0,0,,"lake, pond",river
make_a_splash,snake,13,40.625,1,0,0,,"serpent, serpents",snake
make_a_splash,bridge,12,37.5,1,0,0,,,bridge
make_a_splash,penguin,11,34.375,1,0,0,,,penguin
make_a_splash,rainbow,11,34.375,1,0,0,,,rainbow
make_a_splash,mushroom,10,31.25,1,0,0,,,mushroom
make_a_splash,ball,9,28.125,1,0,0,,,ball
make_a_splash,head,9,28.125,1,0,0,,,head
make_a_splash,line,9,28.125,1,0,0,,,line
make_a_splash,mouth,9,28.125,1,0,0,,,mouth
make_a_splash,page,9,28.125,1,0,0,,,page
make_a_splash,sea,9,28.125,1,0,0,,,sea
make_a_splash,blanket,8,25,1,0,0,,,blanket
make_a_splash,boat,8,25,1,0,0,,,boat
make_a_splash,child,8,25,1,0,0,,,child
make_a_splash,couple,8,25,1,0,0,,,couple
make_a_splash,grass,8,25,1,0,0,,,grass
make_a_splash,time,8,25,1,0,0,,,time
make_a_splash,boy,7,21.875,1,0,0,,"guy, man",boy
make_a_splash,cannon,7,21.875,1,0,0,,,cannon
make_a_splash,girl,7,21.875,1,0,0,,woman,girl
make_a_splash,tree,7,21.875,1,0,0,,,tree
make_a_splash,hand,6,18.75,1,0,0,,,hand
make_a_splash,palm,6,18.75,1,0,0,,,palm
make_a_splash,picture,6,18.75,1,0,0,,image,picture
make_a_splash,slides,6,18.75,1,0,0,,,slides
make_a_splash,suits,6,18.75,1,0,0,suit,"trunk, bikini",suits
make_a_splash,towel,6,18.75,1,0,0,,,towel
make_a_splash,trunk,6,18.75,1,0,0,,suits,trunk
make_a_splash,frog,5,15.625,1,0,0,,,frog
make_a_splash,giant,5,15.625,1,0,0,,,giant
make_a_splash,group,5,15.625,1,0,0,,,group
make_a_splash,ladder,5,15.625,1,0,0,,,ladder
make_a_splash,raft,5,15.625,1,0,0,,"tube, floaty, inflatable, float",raft
make_a_splash,serpent,5,15.625,1,0,0,serpents,snake,serpent
make_a_splash,stone,5,15.625,1,0,0,,"rock, boulder",stone
make_a_splash,toy,5,15.625,1,0,0,,,toy
make_a_splash,walkway,5,15.625,1,0,0,,,walkway
make_a_splash,chair,4,12.5,1,0,0,,"bench, seating",chair
make_a_splash,circle,4,12.5,1,0,0,,,circle
make_a_splash,float,4,12.5,1,0,0,"floaty, floating","raft, tube, inflatable",float
make_a_splash,green,4,12.5,0,1,0,,,green
make_a_splash,guy,4,12.5,1,0,0,,"boy, man",guy
make_a_splash,nose,4,12.5,1,0,0,,,nose
make_a_splash,purple,4,12.5,0,1,0,,,purple
make_a_splash,rope,4,12.5,1,0,0,,,rope
