stimuli,lemma,n,percent,isPicturable,notNoun,checkThisWord,duplicateOf,synonymOf,lemma_hc
picture_this,ag,1,3.125,0,0,1,,,ag
picture_this,bluegreen,1,3.125,0,0,1,,,bluegreen
picture_this,fiesof,1,3.125,0,0,1,,,fiesof
picture_this,heis,13,40.625,0,0,1,,,heis
picture_this,hmm,2,6.25,0,0,1,,,hmm
picture_this,Iam,1,3.125,0,0,1,,,Iam
picture_this,icact,1,3.125,0,0,1,,,icact
picture_this,iti,2,6.25,0,0,1,,,iti
picture_this,itis,19,59.375,0,0,1,,,itis
picture_this,letus,3,9.375,0,0,1,,,letus
picture_this,mus,1,3.125,0,0,1,,,mus
picture_this,sheis,2,6.25,0,0,1,,,sheis
picture_this,slippe,1,3.125,0,0,1,,,slipper
picture_this,somebodys,2,6.25,0,0,1,,,somebodys
picture_this,someones,2,6.25,0,0,1,,,someones
picture_this,stoog,1,3.125,0,0,1,,,stoog
picture_this,thati,1,3.125,0,0,1,,,thati
picture_this,thatis,13,40.625,0,0,1,,,thatis
picture_this,thereis,14,43.75,0,0,1,,,thereis
picture_this,theyare,5,15.625,0,0,1,,,theyare
picture_this,theyhave,1,3.125,0,0,1,,,theyhave
picture_this,titis,2,6.25,0,0,1,,,titis
picture_this,tritian,1,3.125,0,0,1,,,tritian
picture_this,tsheis,1,3.125,0,0,1,,,tsheis
picture_this,tthereis,8,25,0,0,1,,,tthereis
picture_this,twhereis,1,3.125,0,0,1,,,twhereis
picture_this,twohead,1,3.125,0,0,1,,,twohead
picture_this,uh,5,15.625,0,0,1,,,uh
picture_this,um,8,25,0,0,1,,,um
picture_this,umm,14,43.75,0,0,1,,,umm
picture_this,waldue,1,3.125,0,0,1,,,waldue
picture_this,wehave,2,6.25,0,0,1,,,wehave
picture_this,whatis,2,6.25,0,0,1,,,whatis
picture_this,whereis,1,3.125,0,0,1,,,whereis
picture_this,whois,6,18.75,0,0,1,,,whois
picture_this,xxx,1,3.125,0,0,1,,,xxx
picture_this,a,1,3.125,0,1,0,,,a
picture_this,abraham,1,3.125,0,0,1,,,abraham
picture_this,action,1,3.125,0,0,0,,,action
picture_this,activity,2,6.25,0,0,0,,,activity
picture_this,addition,1,3.125,0,0,0,,,addition
picture_this,adult,1,3.125,1,0,0,,"person, human",adult
picture_this,adventure,1,3.125,0,0,0,,,adventure
picture_this,air,2,6.25,1,0,0,,,air
picture_this,airplane,2,6.25,1,0,0,,"plane, jet",airplane
picture_this,alien,1,3.125,1,0,0,,,alien
picture_this,alpine,1,3.125,0,1,0,,,alpine
picture_this,angles,1,3.125,0,0,0,,,angles
picture_this,animal,19,59.375,0,0,0,,,animal
picture_this,antler,2,6.25,1,0,0,,,antler
picture_this,apple,1,3.125,1,0,0,,,apple
picture_this,arm,5,15.625,1,0,0,,,arm
picture_this,armor,4,12.5,1,0,0,,,armor
picture_this,arrow,1,3.125,1,0,0,,,arrow
picture_this,art,1,3.125,1,0,0,,,art
picture_this,arthur,1,3.125,0,0,0,,,arthur
picture_this,assume,1,3.125,0,1,0,,,assume
picture_this,awe,1,3.125,0,0,0,,,awe
picture_this,axe,1,3.125,1,0,0,,,axe
picture_this,babydoll,1,3.125,1,0,0,,,babydoll
picture_this,back,3,9.375,0,0,0,,,back
picture_this,background,6,18.75,0,0,0,,,background
picture_this,backpack,4,12.5,1,0,0,,,backpack
picture_this,backpacker,1,3.125,1,0,0,,,backpacker
picture_this,backward,1,3.125,0,1,0,,,backward
picture_this,bag,3,9.375,1,0,0,,,bag
picture_this,bald,2,6.25,0,1,0,,,bald
picture_this,ball,3,9.375,1,0,0,,,ball
picture_this,balloon,1,3.125,1,0,0,,,balloon
picture_this,bar,1,3.125,1,0,0,,,bar
picture_this,barn,1,3.125,1,0,0,,,barn
picture_this,barrel,1,3.125,1,0,0,,,barrel
picture_this,base,1,3.125,0,0,0,,,base
picture_this,baseball,3,9.375,1,0,0,,,baseball
picture_this,bass,1,3.125,1,0,0,,,bass
picture_this,bat,1,3.125,1,0,0,,,bat
picture_this,bathing,3,9.375,0,1,0,,,bathing
picture_this,battle,1,3.125,0,0,0,,,battle
picture_this,beach,2,6.25,1,0,0,,,beach
picture_this,beam,1,3.125,0,0,0,,,beam
picture_this,bear,12,37.5,1,0,0,,,bear
picture_this,beard,3,9.375,1,0,0,,,beard
picture_this,beer,4,12.5,1,0,0,,,beer
picture_this,beige,1,3.125,1,0,0,,,beige
picture_this,belt,1,3.125,1,0,0,,,belt
picture_this,bend,2,6.25,0,0,0,,,bend
picture_this,beret,1,3.125,1,0,0,,,beret
picture_this,bicep,1,3.125,1,0,0,,arm,bicep
picture_this,bird,5,15.625,1,0,0,,,bird
picture_this,birthday,1,3.125,0,0,0,,,birthday
picture_this,bit,3,9.375,0,0,0,,,bit
picture_this,blue,1,3.125,1,0,0,,,blue
picture_this,blunt,1,3.125,0,1,0,,,blunt
picture_this,board,1,3.125,1,0,0,,,board
picture_this,body,7,21.875,1,0,0,,,body
picture_this,bodybuilder,4,12.5,1,0,0,,,bodybuilder
picture_this,bolo,1,3.125,1,0,0,,,bolo
picture_this,book,9,28.125,1,0,0,,,book
picture_this,boone,2,6.25,0,0,0,,,boone
picture_this,booster,1,3.125,0,0,0,,,booster
picture_this,bottom,7,21.875,0,0,0,,,bottom
picture_this,box,2,6.25,1,0,0,,,box
picture_this,boxing,2,6.25,0,1,0,,,boxing
picture_this,boy,2,6.25,1,0,0,,,boy
picture_this,brace,1,3.125,0,0,0,,,brace
picture_this,brick,1,3.125,1,0,0,,,brick
picture_this,briefcase,2,6.25,1,0,0,,,briefcase
picture_this,brother,1,3.125,1,0,0,,,brother
picture_this,brown,1,3.125,1,0,0,,,brown
picture_this,bubble,1,3.125,1,0,0,,,bubble
picture_this,bucket,6,18.75,1,0,0,,,bucket
picture_this,bulletin,1,3.125,1,0,0,,,bulletin
picture_this,bumper,1,3.125,1,0,0,,,bumper
picture_this,bun,1,3.125,1,0,0,,,bun
picture_this,bunch,7,21.875,0,0,0,,,bunch
picture_this,bus,1,3.125,1,0,0,,,bus
picture_this,bushy,1,3.125,0,1,0,,,bushy
picture_this,business,2,6.25,0,0,0,,,business
picture_this,businessman,1,3.125,0,0,0,,,businessman
picture_this,cactus,13,40.625,1,0,0,,,cactus
picture_this,camel,9,28.125,1,0,0,,,camel
picture_this,campbell,1,3.125,0,0,0,,,campbell
picture_this,cap,4,12.5,1,0,0,,hat,cap
picture_this,caption,1,3.125,0,0,0,,,caption
picture_this,car,5,15.625,1,0,0,,,car
picture_this,card,3,9.375,1,0,0,,,card
picture_this,carnival,1,3.125,1,0,0,,,carnival
picture_this,cartoon,3,9.375,0,0,0,,,cartoon
picture_this,castle,2,6.25,1,0,0,,,castle
picture_this,cat,5,15.625,1,0,0,,kitty,cat
picture_this,cave,3,9.375,1,0,0,,,cave
picture_this,caveman,19,59.375,1,0,0,,,caveman
picture_this,cello,1,3.125,1,0,0,,,cello
picture_this,center,2,6.25,0,0,0,,,center
picture_this,chain,1,3.125,1,0,0,,,chain
picture_this,character,8,25,0,0,0,,,character
picture_this,charle,1,3.125,0,0,0,,,charle
picture_this,check,1,3.125,1,0,0,,,check
picture_this,chef,1,3.125,1,0,0,,cook,chef
picture_this,child,1,3.125,1,0,0,,kid,child
picture_this,chimney,2,6.25,1,0,0,,,chimney
picture_this,chimp,1,3.125,1,0,0,,,chimp
picture_this,circle,1,3.125,1,0,0,,,circle
picture_this,clarity,1,3.125,0,0,0,,,clarity
picture_this,clay,1,3.125,1,0,0,,,clay
picture_this,clinging,1,3.125,0,1,0,,,clinging
picture_this,closeup,1,3.125,0,0,0,,,closeup
picture_this,clothes,2,6.25,1,0,0,,"clothing, outfit",clothes
picture_this,clothing,1,3.125,1,0,0,,clothes,clothing
picture_this,clouds,1,3.125,1,0,0,,,clouds
picture_this,clown,2,6.25,1,0,0,,,clown
picture_this,club,2,6.25,1,0,0,,,club
picture_this,coat,2,6.25,1,0,0,,,coat
picture_this,coconut,4,12.5,1,0,0,,,coconut
picture_this,coffee,1,3.125,1,0,0,,,coffee
picture_this,collage,4,12.5,1,0,0,,,collage
picture_this,collar,1,3.125,1,0,0,,,collar
picture_this,collection,1,3.125,0,0,0,,,collection
picture_this,color,5,15.625,0,0,0,colour,,color
picture_this,colour,1,3.125,0,0,1,color,,color
picture_this,competition,1,3.125,0,0,0,,,competition
picture_this,compilation,2,6.25,0,0,0,,,compilation
picture_this,condition,1,3.125,0,0,0,,,condition
picture_this,cone,1,3.125,1,0,0,,,cone
picture_this,conglomeration,1,3.125,0,0,0,,,conglomeration
picture_this,corner,7,21.875,1,0,0,,,corner
picture_this,costume,6,18.75,1,0,0,,outfit,costume
picture_this,cottage,1,3.125,1,0,0,,house,cottage
picture_this,counter,1,3.125,1,0,0,,,counter
picture_this,couple,14,43.75,0,0,0,,,couple
picture_this,court,3,9.375,1,0,0,,,court
picture_this,cow,1,3.125,1,0,0,,,cow
picture_this,cowboy,5,15.625,1,0,0,,,cowboy
picture_this,creature,4,12.5,0,0,0,,,creature
picture_this,crocodile,3,9.375,0,0,0,,,crocodile
picture_this,crown,2,6.25,1,0,0,,,crown
picture_this,culture,1,3.125,0,0,0,,,culture
picture_this,current,1,3.125,0,0,0,,,current
picture_this,dance,1,3.125,0,0,0,,,dance
picture_this,daniel,2,6.25,0,0,0,,,daniel
picture_this,date,1,3.125,0,0,0,,,date
picture_this,day,1,3.125,0,0,0,,,day
picture_this,deer,3,9.375,1,0,0,,,deer
picture_this,depiction,1,3.125,0,0,0,,,depiction
picture_this,difference,1,3.125,0,0,0,,,difference
picture_this,dinosaur,7,21.875,1,0,0,,,dinosaur
picture_this,direct,1,3.125,0,1,0,,,direct
picture_this,direction,2,6.25,0,0,0,,,direction
picture_this,display,5,15.625,0,0,0,,,display
picture_this,do,1,3.125,0,1,0,,,do
picture_this,doctor,1,3.125,1,0,0,,,doctor
picture_this,dog,23,71.875,1,0,0,doggy,,dog
picture_this,doggy,1,3.125,1,0,0,dog,,doggy
picture_this,donkey,3,9.375,1,0,0,,,donkey
picture_this,down,1,3.125,0,0,0,,,down
picture_this,dragon,15,46.875,1,0,0,dragons,,dragon
picture_this,dragons,1,3.125,1,0,0,dragon,,dragons
picture_this,drawing,2,6.25,1,0,0,,illustration,drawing
picture_this,dress,3,9.375,1,0,0,,,dress
picture_this,duck,3,9.375,1,0,0,,,duck
picture_this,dungeon,1,3.125,1,0,0,,,dungeon
picture_this,earring,1,3.125,1,0,0,,,earring
picture_this,edge,2,6.25,1,0,0,,,edge
picture_this,egg,1,3.125,1,0,0,,,egg
picture_this,else,1,3.125,0,0,0,,,else
picture_this,end,1,3.125,0,0,0,,,end
picture_this,engine,1,3.125,1,0,0,,,engine
picture_this,everyone,1,3.125,0,0,0,,,everyone
picture_this,example,1,3.125,0,0,0,,,example
picture_this,exhibition,1,3.125,0,0,0,,,exhibition
picture_this,eye,7,21.875,1,0,0,,,eye
picture_this,eyebrow,1,3.125,1,0,0,,,eyebrow
picture_this,eyeglass,1,3.125,1,0,0,,,eyeglass
picture_this,face,13,40.625,1,0,0,,,face
picture_this,fact,1,3.125,0,0,0,,,fact
picture_this,fantasy,1,3.125,0,0,0,,,fantasy
picture_this,faster,1,3.125,0,1,0,,,faster
picture_this,feel,1,3.125,0,1,0,,,feel
picture_this,fellow,1,3.125,1,0,0,fellows,"man, guy, gentleman",fellow
picture_this,fellows,1,3.125,1,0,0,fellow,"man, guy, gentleman",fellows
picture_this,fence,3,9.375,1,0,0,,,fence
picture_this,few,1,3.125,0,1,0,,,few
picture_this,fight,3,9.375,1,0,0,,,fight
picture_this,fighting,1,3.125,0,1,0,,,fighting
picture_this,figure,4,12.5,0,0,0,,,figure
picture_this,fin,1,3.125,1,0,0,fins,,fin
picture_this,finger,9,28.125,1,0,0,,,finger
picture_this,fins,1,3.125,1,0,0,fin,,fins
picture_this,fish,19,59.375,1,0,0,,,fish
picture_this,fist,2,6.25,1,0,0,,,fist
picture_this,flag,2,6.25,1,0,0,,,flag
picture_this,flagon,1,3.125,1,0,0,,,flagon
picture_this,flipper,3,9.375,1,0,0,,,flipper
picture_this,floor,2,6.25,1,0,0,,,floor
picture_this,food,3,9.375,0,0,0,,,food
picture_this,foot,3,9.375,1,0,0,,,foot
picture_this,forum,1,3.125,0,0,0,,,forum
picture_this,fountain,2,6.25,1,0,0,,,fountain
picture_this,frame,12,37.5,1,0,0,,,frame
picture_this,front,2,6.25,0,0,0,,,front
picture_this,fruit,2,6.25,0,0,0,,,fruit
picture_this,fryer,1,3.125,1,0,0,,,fryer
picture_this,garbage,1,3.125,1,0,0,,,garbage
picture_this,gear,2,6.25,0,0,0,,,gear
picture_this,gender,1,3.125,0,0,0,,,gender
picture_this,gentleman,1,3.125,1,0,0,,"man, guy, fellow, fellows",gentleman
picture_this,gesture,2,6.25,0,0,0,,,gesture
picture_this,get,1,3.125,0,1,0,,,get
picture_this,giant,3,9.375,1,0,0,,,giant
picture_this,giraffe,1,3.125,1,0,0,,,giraffe
picture_this,girl,1,3.125,1,0,0,,,girl
picture_this,gladiator,2,6.25,1,0,0,,,gladiator
picture_this,glass,3,9.375,1,0,0,,,glass
picture_this,globe,1,3.125,1,0,0,,,globe
picture_this,go,1,3.125,0,1,0,,,go
picture_this,gorilla,2,6.25,1,0,0,,,gorilla
picture_this,government,1,3.125,0,0,0,,,government
picture_this,grass,2,6.25,1,0,0,,,grass
picture_this,green,1,3.125,0,0,0,,,green
picture_this,greeting,1,3.125,0,0,0,,,greeting
picture_this,grizzly,1,3.125,1,0,0,,,grizzly
picture_this,grocery,1,3.125,0,0,0,,,grocery
picture_this,gross,1,3.125,0,1,0,,,gross
picture_this,ground,6,18.75,1,0,0,,,ground
picture_this,group,2,6.25,1,0,0,,crowd,group
picture_this,guard,1,3.125,0,0,0,,,guard
picture_this,guess,1,3.125,0,0,0,,,guess
picture_this,guillotine,1,3.125,1,0,0,,,guillotine
picture_this,guy,14,43.75,1,0,0,,"man, fellow, fellow, gentleman",guy
picture_this,hair,6,18.75,1,0,0,,,hair
picture_this,half,3,9.375,0,0,0,,,half
