stimuli,lemma,n,percent,isPicturable,notNoun,checkThisWord,duplicateOf,synonymOf,lemma_hc
return,boxe,1,3.125,1,0,1,box,,box
return,heis,28,87.5,0,1,1,,,heis
return,itis,26,81.25,0,1,1,,,itis
return,thatis,22,68.75,0,1,1,,,thatis
return,theyare,18,56.25,0,1,1,,,theyare
return,sheis,16,50,0,1,1,,,sheis
return,thereis,16,50,0,1,1,,,thereis
return,whatis,15,46.875,0,1,1,,,whatis
return,whois,15,46.875,0,1,1,,,whois
return,iti,11,34.375,0,1,1,,,iti
return,hei,9,28.125,0,1,1,,,hei
return,tthereis,9,28.125,0,1,1,,,tthereis
return,letus,5,15.625,0,1,1,,,letus
return,titis,5,15.625,0,1,1,,,titis
return,thati,4,12.5,0,1,1,,,thati
return,wehave,4,12.5,0,1,1,,,wehave
return,Iam,3,9.375,0,1,1,,,Iam
return,theyhave,3,9.375,0,1,1,,,theyhave
return,tthatis,3,9.375,0,1,1,,,tthatis
return,twostory,3,9.375,0,1,1,,,twostory
return,weare,3,9.375,0,1,1,,,weare
return,Ibe,2,6.25,0,1,1,,,Ibe
return,somebodys,2,6.25,0,1,1,,,somebodys
return,theis,2,6.25,0,1,1,,,theis
return,threepart,2,6.25,0,1,1,,,threepart
return,tsheis,2,6.25,0,1,1,,,tsheis
return,wastebasket,2,6.25,1,0,1,,,wastebasket
return,blu,1,3.125,0,1,1,,,blu
return,fal,1,3.125,0,1,1,,,fal
return,graffito,1,3.125,1,1,1,,,graffiti
return,k,1,3.125,0,1,1,,,k
return,kingsman,1,3.125,0,1,1,,,kingsman
return,posturer,1,3.125,0,1,1,,,posturer
return,sidethey,1,3.125,0,1,1,,,sidethey
return,slbe,1,3.125,0,1,1,,,slbe
return,sreet,1,3.125,0,1,1,,,sreet
return,str,1,3.125,0,1,1,,,str
return,thems,1,3.125,0,1,1,,,thems
return,twhatis,1,3.125,0,1,1,,,twhatis
return,yocentau,1,3.125,0,1,1,,,yocentau
return,youhave,1,3.125,0,1,1,,,youhave
return,bird,29,90.625,1,0,0,,,bird
return,door,29,90.625,1,0,0,,,door
return,kite,29,90.625,1,0,0,kites,,kite
return,wall,29,90.625,1,0,0,,,wall
return,boat,28,87.5,1,0,0,boats,,boat
return,cave,28,87.5,1,0,0,,,cave
return,submarine,28,87.5,1,0,0,,,submarine
return,cage,27,84.375,1,0,0,,,cage
return,sword,27,84.375,1,0,0,,,sword
return,boy,26,81.25,1,0,0,,,boy
return,castle,26,81.25,1,0,0,,,castle
return,king,26,81.25,1,0,0,,,king
return,light,26,81.25,1,0,0,,,light
return,ball,25,78.125,1,0,0,,orb,ball
return,hand,25,78.125,1,0,0,,,hand
return,man,25,78.125,1,0,0,mans,fellow,man
return,picture,25,78.125,1,0,0,pic,,picture
return,crown,24,75,1,0,0,,,crown
return,tree,24,75,1,0,0,,,tree
return,dock,23,71.875,1,0,0,,,dock
return,lantern,23,71.875,1,0,0,lanternd,,lantern
return,drawing,22,68.75,1,0,0,,,drawing
return,forest,22,68.75,1,0,0,,,forest
return,head,22,68.75,1,0,0,,,head
return,house,22,68.75,1,0,0,,,house
return,tail,22,68.75,1,0,0,,,tail
return,box,21,65.625,1,0,0,boxe,,box
return,girl,21,65.625,1,0,0,,,girl
return,wing,21,65.625,1,0,0,,,wing
return,arm,20,62.5,1,0,0,,,arm
return,crayon,20,62.5,1,0,0,,,crayon
return,dragon,20,62.5,1,0,0,dragons,,dragon
return,feather,20,62.5,1,0,0,,,feather
return,stair,20,62.5,1,0,0,,,stair
return,bedroom,19,59.375,1,0,0,,,bedroom
return,bridge,19,59.375,1,0,0,,,bridge
return,kitchen,19,59.375,1,0,0,,,kitchen
return,sky,19,59.375,1,0,0,,,sky
return,fish,18,56.25,1,0,0,fishes,,fish
return,lot,18,56.25,1,0,0,,,lot
return,bathroom,16,50,1,0,0,,lavatory,bathroom
return,bed,15,46.875,1,0,0,,,bed
return,cat,15,46.875,1,0,0,,,cat
return,chair,15,46.875,1,0,0,,,chair
return,moon,15,46.875,1,0,0,,,moon
return,table,15,46.875,1,0,0,,,table
return,balloon,14,43.75,1,0,0,,,balloon
return,butterfly,14,43.75,1,0,0,,,butterfly
return,guy,14,43.75,1,0,0,,,guy
return,horse,14,43.75,1,0,0,,,horse
return,river,14,43.75,1,0,0,,,river
return,rock,14,43.75,1,0,0,,,rock
return,stream,14,43.75,1,0,0,,"creek, brook",stream
return,doorway,13,40.625,1,0,0,,,doorway
return,eye,13,40.625,1,0,0,,,eye
return,periscope,13,40.625,1,0,0,,,periscope
return,soldier,13,40.625,1,0,0,,,soldier
return,desk,12,37.5,1,0,0,,,desk
return,guard,12,37.5,1,0,0,,,guard
return,plant,12,37.5,1,0,0,,,plant
return,sea,12,37.5,1,0,0,,seascape,sea
return,ship,12,37.5,1,0,0,,,ship
return,sink,12,37.5,1,0,0,,,sink
return,throne,12,37.5,1,0,0,,,throne
return,board,11,34.375,1,0,0,,,board
return,dragonfly,11,34.375,1,0,0,,,dragonfly
return,lamp,11,34.375,1,0,0,lamps,,lamp
return,marker,11,34.375,1,0,0,,,marker
return,beard,10,31.25,1,0,0,,,beard
return,daughter,10,31.25,0,0,0,,,daughter
return,couple,9,28.125,1,0,0,,,couple
return,line,9,28.125,1,0,0,,,line
return,mirror,9,28.125,1,0,0,,,mirror
return,office,9,28.125,1,0,0,,,office
return,pen,9,28.125,1,0,0,,,pen
return,shirt,9,28.125,1,0,0,shirts,,shirt
return,shoulder,9,28.125,1,0,0,,,shoulder
return,stove,9,28.125,1,0,0,,,stove
return,street,9,28.125,1,0,0,,,street
return,towers,9,28.125,1,0,0,,,towers
return,archway,8,25,1,0,0,,,archway
return,book,8,25,1,0,0,,,book
return,cabinet,8,25,1,0,0,,,cabinet
return,flag,8,25,1,0,0,,,flag
return,map,8,25,1,0,0,,,map
return,rainbow,8,25,1,0,0,,,rainbow
return,string,8,25,1,0,0,,,string
return,base,7,21.875,1,0,0,,,base
return,bunch,7,21.875,1,0,0,,,bunch
return,coat,7,21.875,1,0,0,,,coat
return,dome,7,21.875,1,0,0,,,dome
return,face,7,21.875,1,0,0,,,face
return,frame,7,21.875,1,0,0,,,frame
return,hat,7,21.875,1,0,0,,,hat
return,ocean,7,21.875,1,0,0,,,ocean
return,pipe,7,21.875,1,0,0,,,pipe
return,ramp,7,21.875,1,0,0,,,ramp
return,stairway,7,21.875,1,0,0,,,stairway
return,star,7,21.875,1,0,0,,,star
return,stool,7,21.875,1,0,0,,,stool
return,window,7,21.875,1,0,0,,,window
return,aqueduct,6,18.75,1,0,0,,,aqueduct
return,couch,6,18.75,1,0,0,,sofa,couch
return,dresser,6,18.75,1,0,0,,,dresser
return,mouth,6,18.75,1,0,0,,,mouth
return,pocket,6,18.75,1,0,0,,,pocket
return,staircase,6,18.75,1,0,0,,stairwell,staircase
return,stone,6,18.75,1,0,0,,,stone
return,swing,6,18.75,1,0,0,,,swing
return,tv,6,18.75,1,0,0,television,,tv
return,cavern,5,15.625,1,0,0,,,cavern
return,armor,5,15.625,1,0,0,,,armor
return,creek,5,15.625,1,0,0,,"stream, brook",creek
return,cross,5,15.625,1,0,0,,,cross
return,gate,5,15.625,1,0,0,,,gate
return,helmet,5,15.625,1,0,0,,,helmet
return,image,5,15.625,1,0,0,,,image
return,island,5,15.625,1,0,0,,,island
return,lion,5,15.625,1,0,0,,,lion
return,octopus,5,15.625,1,0,0,,,octopus
return,pegasus,5,15.625,1,0,0,,,pegasus
return,pier,5,15.625,1,0,0,,,pier
return,pillar,5,15.625,1,0,0,,,pillar
return,roof,5,15.625,1,0,0,,rooftop,roof
