stimuli,lemma,n,percent,isPicturable,notNoun,checkThisWord,duplicateOf,synonymOf,lemma_hc
unfriendly_giants,villag,1,3.125,1,0,1,village,,village
unfriendly_giants,armie,1,3.125,1,1,1,,,army
unfriendly_giants,intereste,1,3.125,0,1,1,,,intereste
unfriendly_giants,giant,28,87.5,1,0,0,giants,,giant
unfriendly_giants,people,26,81.25,1,0,0,,,people
unfriendly_giants,chess,24,75,1,0,0,,,chess
unfriendly_giants,tree,24,75,1,0,0,,,tree
unfriendly_giants,windmill,24,75,1,0,0,,,windmill
unfriendly_giants,castle,20,62.5,1,0,0,,,castle
unfriendly_giants,straw,20,62.5,1,0,0,,,straw
unfriendly_giants,water,20,62.5,1,0,0,,,water
unfriendly_giants,house,19,59.375,1,0,0,,home,house
unfriendly_giants,flower,18,56.25,1,0,0,flowers,,flower
unfriendly_giants,rope,18,56.25,1,0,0,,,rope
unfriendly_giants,belt,17,53.125,1,0,0,,,belt
unfriendly_giants,woman,17,53.125,1,0,0,,"female, lady",woman
unfriendly_giants,head,15,46.875,1,0,0,,,head
unfriendly_giants,giants,14,43.75,1,0,0,giant,,giants
unfriendly_giants,hammer,12,37.5,1,0,0,hammers,,hammer
unfriendly_giants,picture,12,37.5,1,0,0,,,picture
unfriendly_giants,board,11,34.375,1,0,0,,,board
unfriendly_giants,ground,11,34.375,1,0,0,,,ground
unfriendly_giants,hat,11,34.375,1,0,0,,,hat
unfriendly_giants,man,11,34.375,1,0,0,,"male, gentleman, guy",man
unfriendly_giants,bouquet,10,31.25,1,0,0,,,bouquet
unfriendly_giants,hand,10,31.25,1,0,0,,,hand
unfriendly_giants,catapult,9,28.125,1,0,0,,,catapult
unfriendly_giants,couple,9,28.125,1,0,0,,,couple
unfriendly_giants,land,9,28.125,1,0,0,,,land
unfriendly_giants,roof,9,28.125,1,0,0,,,roof
unfriendly_giants,village,8,25,1,0,0,villag,,village
unfriendly_giants,field,7,21.875,1,0,0,,,field
unfriendly_giants,guy,7,21.875,1,0,0,,"man, male, gentleman",guy
