stimuli,lemma,n,percent,isPicturable,notNoun,checkThisWord,duplicateOf,synonymOf,lemma_hc
waldo_1,blu,1,3.125,0,0,1,,,blu
waldo_1,canva,1,3.125,0,0,1,,,canvas
waldo_1,everybodys,1,3.125,0,0,1,,,everybodys
waldo_1,facay,1,3.125,0,0,1,,,facay
waldo_1,havent,1,3.125,0,0,1,,,havent
waldo_1,hei,3,9.375,0,0,1,,,hei
waldo_1,heis,11,34.375,0,0,1,,,heis
waldo_1,hmm,1,3.125,0,0,1,,,hmm
waldo_1,iti,6,18.75,0,0,1,,,iti
waldo_1,itis,21,65.625,0,0,1,,,itis
waldo_1,letus,3,9.375,0,0,1,,,letus
waldo_1,oh,2,6.25,0,0,1,,,oh
waldo_1,ohh,1,3.125,0,0,1,,,ohh
waldo_1,sheis,1,3.125,0,0,1,,,sheis
waldo_1,somebodys,1,3.125,0,0,1,,,somebodys
waldo_1,thatis,15,46.875,0,0,1,,,thatis
waldo_1,thereis,20,62.5,0,0,1,,,thereis
waldo_1,theyare,13,40.625,0,0,1,,,theyare
waldo_1,titis,2,6.25,0,0,1,,,titis
waldo_1,tthatis,2,6.25,0,0,1,,,tthatis
waldo_1,tthereis,6,18.75,0,0,1,,,tthereis
waldo_1,uh,7,21.875,0,0,1,,,uh
waldo_1,um,10,31.25,0,0,1,,,um
waldo_1,umm,10,31.25,0,0,1,,,umm
waldo_1,wehave,1,3.125,0,0,1,,,wehave
waldo_1,whatis,3,9.375,0,0,1,,,whatis
waldo_1,whereis,4,12.5,0,0,1,,,whereis
waldo_1,whois,3,9.375,0,0,1,,,whois
waldo_1,accident,12,37.5,0,0,0,,,accident
waldo_1,activity,2,6.25,0,0,0,,,activity
waldo_1,adult,1,3.125,0,0,0,,,adult
waldo_1,age,1,3.125,0,0,0,,,age
waldo_1,air,4,12.5,1,0,0,,,air
waldo_1,altercation,1,3.125,0,0,0,,,altercation
waldo_1,ambulance,9,28.125,1,0,0,,,ambulance
waldo_1,angle,1,3.125,1,0,0,,,angle
waldo_1,animal,1,3.125,0,0,0,,,animal
waldo_1,antenna,1,3.125,1,0,0,,,antenna
waldo_1,apart,1,3.125,0,1,0,,,apart
waldo_1,apartment,4,12.5,1,0,0,,,apartment
waldo_1,archer,3,9.375,1,0,0,,,archer
waldo_1,area,9,28.125,0,0,0,,,area
waldo_1,arena,1,3.125,1,0,0,,,arena
