"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"quest","boy",29,90.625,"","","","",""
"quest","bridge",29,90.625,"","","","",""
"quest","crown",29,90.625,"","","","",""
"quest","door",29,90.625,"","","","",""
"quest","rainbow",29,90.625,"","","","",""
"quest","top",29,90.625,"","","","",""
"quest","water",29,90.625,"","","","",""
"quest","bird",28,87.5,"","","","",""
"quest","boat",28,87.5,"","","","",""
"quest","key",28,87.5,"","","","",""
"quest","map",28,87.5,"","","","",""
"quest","theyare",28,87.5,"","","","",""
"quest","heis",27,84.375,"","","","",""
"quest","rhinocero",27,84.375,"","","","",""
"quest","city",26,81.25,"","","","",""
"quest","itis",26,81.25,"","","","",""
"quest","king",26,81.25,"","","","",""
"quest","light",26,81.25,"","","","",""
"quest","mountain",26,81.25,"","","","",""
"quest","tree",26,81.25,"","","","",""
"quest","castle",25,78.125,"","","","",""
"quest","people",25,78.125,"","","","",""
"quest","rock",25,78.125,"","","","",""
"quest","statue",25,78.125,"","","","",""
"quest","swing",25,78.125,"","","","",""
"quest","color",24,75,"","","","",""
"quest","kind",24,75,"","","","",""
"quest","park",24,75,"","","","",""
"quest","air",23,71.875,"","","","",""
"quest","circle",23,71.875,"","","","",""
"quest","girl",23,71.875,"","","","",""
"quest","hand",23,71.875,"","","","",""
"quest","one",23,71.875,"","","","",""
"quest","palm",23,71.875,"","","","",""
"quest","purple",23,71.875,"","","","",""
"quest","side",23,71.875,"","","","",""
"quest","thatis",23,71.875,"","","","",""
"quest","way",23,71.875,"","","","",""
"quest","dragonfly",22,68.75,"","","","",""
"quest","rope",22,68.75,"","","","",""
"quest","sky",22,68.75,"","","","",""
"quest","thing",22,68.75,"","","","",""
"quest","building",21,65.625,"","","","",""
"quest","bench",20,62.5,"","","","",""
"quest","man",20,62.5,"","","","",""
"quest","octopus",20,62.5,"","","","",""
"quest","paper",20,62.5,"","","","",""
"quest","picture",20,62.5,"","","","",""
"quest","shoulder",20,62.5,"","","","",""
"quest","fire",19,59.375,"","","","",""
"quest","flipper",19,59.375,"","","","",""
"quest","guard",19,59.375,"","","","",""
"quest","head",19,59.375,"","","","",""
"quest","island",19,59.375,"","","","",""
"quest","lot",19,59.375,"","","","",""
"quest","rain",19,59.375,"","","","",""
"quest","seahorse",19,59.375,"","","","",""
"quest","child",18,56.25,"","","","",""
"quest","waterfall",18,56.25,"","","","",""
"quest","wing",18,56.25,"","","","",""
"quest","background",17,53.125,"","","","",""
"quest","bicycle",17,53.125,"","","","",""
"quest","crayon",17,53.125,"","","","",""
"quest","doorway",17,53.125,"","","","",""
"quest","fish",17,53.125,"","","","",""
"quest","ground",17,53.125,"","","","",""
"quest","hold",17,53.125,"","","","",""
"quest","kid",17,53.125,"","","","",""
"quest","piece",17,53.125,"","","","",""
"quest","soldier",17,53.125,"","","","",""
"quest","spear",17,53.125,"","","","",""
"quest","thereis",17,53.125,"","","","",""
"quest","tower",17,53.125,"","","","",""
"quest","um",17,53.125,"","","","",""
"quest","belt",16,50,"","","","",""
"quest","cage",16,50,"","","","",""
"quest","end",16,50,"","","","",""
"quest","land",16,50,"","","","",""
"quest","part",16,50,"","","","",""
"quest","place",16,50,"","","","",""
"quest","type",16,50,"","","","",""
"quest","umm",16,50,"","","","",""
"quest","page",15,46.875,"","","","",""
"quest","sea",15,46.875,"","","","",""
"quest","sort",15,46.875,"","","","",""
"quest","temple",15,46.875,"","","","",""
"quest","wheel",15,46.875,"","","","",""
"quest","area",14,43.75,"","","","",""
"quest","draw",14,43.75,"","","","",""
"quest","front",14,43.75,"","","","",""
"quest","helmet",14,43.75,"","","","",""
"quest","scene",14,43.75,"","","","",""
"quest","sheis",14,43.75,"","","","",""
"quest","ship",14,43.75,"","","","",""
