"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"airport","airport",30,93.75,"","","","",""
"airport","people",30,93.75,"","","","",""
"airport","plane",29,90.625,"","","","",""
"airport","luggage",27,84.375,"","","","",""
"airport","fire",26,81.25,"","","","",""
"airport","air",25,78.125,"","","","",""
"airport","balloon",24,75,"","","","",""
"airport","airplane",22,68.75,"","","","",""
"airport","bus",22,68.75,"","","","",""
"airport","thereis",21,65.625,"","","","",""
"airport","truck",21,65.625,"","","","",""
"airport","itis",20,62.5,"","","","",""
"airport","scene",19,59.375,"","","","",""
"airport","helicopter",18,56.25,"","","","",""
"airport","thatis",18,56.25,"","","","",""
"airport","elephant",17,53.125,"","","","",""
"airport","lot",17,53.125,"","","","",""
"airport","kind",16,50,"","","","",""
"airport","man",16,50,"","","","",""
"airport","spade",16,50,"","","","",""
"airport","ace",15,46.875,"","","","",""
"airport","flag",15,46.875,"","","","",""
"airport","theyare",15,46.875,"","","","",""
"airport","baggage",14,43.75,"","","","",""
"airport","line",14,43.75,"","","","",""
"airport","smoke",14,43.75,"","","","",""
"airport","thing",14,43.75,"","","","",""
"airport","cart",13,40.625,"","","","",""
"airport","couple",13,40.625,"","","","",""
"airport","jet",13,40.625,"","","","",""
"airport","sky",13,40.625,"","","","",""
"airport","top",13,40.625,"","","","",""
"airport","tower",13,40.625,"","","","",""
"airport","water",13,40.625,"","","","",""
"airport","biplane",12,37.5,"","","","",""
"airport","ground",12,37.5,"","","","",""
"airport","hose",12,37.5,"","","","",""
"airport","rocket",12,37.5,"","","","",""
"airport","um",12,37.5,"","","","",""
"airport","watch",12,37.5,"","","","",""
"airport","blimp",11,34.375,"","","","",""
"airport","bottom",11,34.375,"","","","",""
"airport","control",11,34.375,"","","","",""
"airport","one",11,34.375,"","","","",""
"airport","waldo",11,34.375,"","","","",""
"airport","wing",11,34.375,"","","","",""
"airport","worker",11,34.375,"","","","",""
"airport","area",10,31.25,"","","","",""
"airport","attendant",10,31.25,"","","","",""
"airport","background",10,31.25,"","","","",""
"airport","card",10,31.25,"","","","",""
"airport","flight",10,31.25,"","","","",""
"airport","stair",10,31.25,"","","","",""
"airport","tarmac",10,31.25,"","","","",""
"airport","break",9,28.125,"","","","",""
"airport","building",9,28.125,"","","","",""
"airport","center",9,28.125,"","","","",""
"airport","coat",9,28.125,"","","","",""
"airport","engine",9,28.125,"","","","",""
"airport","guy",9,28.125,"","","","",""
"airport","person",9,28.125,"","","","",""
"airport","spaceship",9,28.125,"","","","",""
"airport","umm",9,28.125,"","","","",""
"airport","back",8,25,"","","","",""
"airport","flagpole",8,25,"","","","",""
"airport","forklift",8,25,"","","","",""
"airport","fuel",8,25,"","","","",""
"airport","jumbo",8,25,"","","","",""
"airport","nose",8,25,"","","","",""
"airport","picture",8,25,"","","","",""
"airport","pilot",8,25,"","","","",""
"airport","security",8,25,"","","","",""
"airport","suitcase",8,25,"","","","",""
"airport","ticket",8,25,"","","","",""
"airport","traffic",8,25,"","","","",""
"airport","tthereis",8,25,"","","","",""
"airport","vehicle",8,25,"","","","",""
"airport","way",8,25,"","","","",""
"airport","box",7,21.875,"","","","",""
"airport","claim",7,21.875,"","","","",""
"airport","country",7,21.875,"","","","",""
"airport","desk",7,21.875,"","","","",""
"airport","door",7,21.875,"","","","",""
"airport","fork",7,21.875,"","","","",""
"airport","heis",7,21.875,"","","","",""
"airport","inside",7,21.875,"","","","",""
"airport","page",7,21.875,"","","","",""
"airport","stripe",7,21.875,"","","","",""
"airport","stuff",7,21.875,"","","","",""
"airport","uh",7,21.875,"","","","",""
"airport","whatis",7,21.875,"","","","",""
"airport","bunch",6,18.75,"","","","",""
"airport","cargo",6,18.75,"","","","",""
"airport","carousel",6,18.75,"","","","",""
"airport","cockpit",6,18.75,"","","","",""
"airport","corner",6,18.75,"","","","",""
"airport","left",6,18.75,"","","","",""
"airport","part",6,18.75,"","","","",""
"airport","passengers",6,18.75,"","","","",""
"airport","place",6,18.75,"","","","",""
"airport","runway",6,18.75,"","","","",""
"airport","smuggler",6,18.75,"","","","",""
"airport","terminal",6,18.75,"","","","",""
"airport","trucks",6,18.75,"","","","",""
"airport","type",6,18.75,"","","","",""
"airport","uniform",6,18.75,"","","","",""
"airport","animal",5,15.625,"","","","",""
"airport","bag",5,15.625,"","","","",""
"airport","beard",5,15.625,"","","","",""
"airport","belt",5,15.625,"","","","",""
"airport","color",5,15.625,"","","","",""
"airport","day",5,15.625,"","","","",""
"airport","folk",5,15.625,"","","","",""
"airport","foreground",5,15.625,"","","","",""
"airport","front",5,15.625,"","","","",""
"airport","herd",5,15.625,"","","","",""
"airport","iti",5,15.625,"","","","",""
"airport","knife",5,15.625,"","","","",""
"airport","middle",5,15.625,"","","","",""
"airport","passenger",5,15.625,"","","","",""
"airport","right",5,15.625,"","","","",""
"airport","side",5,15.625,"","","","",""
"airport","wehave",5,15.625,"","","","",""
"airport","work",5,15.625,"","","","",""
"airport","world",5,15.625,"","","","",""
"airport","airline",4,12.5,"","","","",""
"airport","bed",4,12.5,"","","","",""
"airport","book",4,12.5,"","","","",""
"airport","boy",4,12.5,"","","","",""
"airport","car",4,12.5,"","","","",""
"airport","chaos",4,12.5,"","","","",""
"airport","concord",4,12.5,"","","","",""
"airport","counter",4,12.5,"","","","",""
"airport","crate",4,12.5,"","","","",""
"airport","deck",4,12.5,"","","","",""
"airport","food",4,12.5,"","","","",""
"airport","gas",4,12.5,"","","","",""
"airport","group",4,12.5,"","","","",""
"airport","hand",4,12.5,"","","","",""
"airport","handler",4,12.5,"","","","",""
"airport","hat",4,12.5,"","","","",""
"airport","lift",4,12.5,"","","","",""
"airport","observation",4,12.5,"","","","",""
"airport","postcard",4,12.5,"","","","",""
"airport","ramp",4,12.5,"","","","",""
"airport","shirt",4,12.5,"","","","",""
"airport","shoe",4,12.5,"","","","",""
"airport","smoking",4,12.5,"","","","",""
"airport","sort",4,12.5,"","","","",""
"airport","time",4,12.5,"","","","",""
"airport","tractor",4,12.5,"","","","",""
"airport","war",4,12.5,"","","","",""
"airport","whereis",4,12.5,"","","","",""
"airport","woman",4,12.5,"","","","",""
"airport","activity",3,9.375,"","","","",""
"airport","aircraft",3,9.375,"","","","",""
"airport","arm",3,9.375,"","","","",""
"airport","bit",3,9.375,"","","","",""
"airport","boxe",3,9.375,"","","","",""
"airport","carpet",3,9.375,"","","","",""
"airport","case",3,9.375,"","","","",""
"airport","check",3,9.375,"","","","",""
"airport","cigarette",3,9.375,"","","","",""
"airport","concorde",3,9.375,"","","","",""
"airport","crates",3,9.375,"","","","",""
"airport","employee",3,9.375,"","","","",""
"airport","fact",3,9.375,"","","","",""
"airport","fighter",3,9.375,"","","","",""
"airport","guard",3,9.375,"","","","",""
"airport","idea",3,9.375,"","","","",""
"airport","item",3,9.375,"","","","",""
"airport","load",3,9.375,"","","","",""
"airport","paper",3,9.375,"","","","",""
"airport","police",3,9.375,"","","","",""
"airport","policeman",3,9.375,"","","","",""
"airport","saucer",3,9.375,"","","","",""
"airport","screen",3,9.375,"","","","",""
"airport","service",3,9.375,"","","","",""
"airport","ship",3,9.375,"","","","",""
"airport","stamp",3,9.375,"","","","",""
"airport","step",3,9.375,"","","","",""
"airport","style",3,9.375,"","","","",""
"airport","tail",3,9.375,"","","","",""
"airport","train",3,9.375,"","","","",""
"airport","weapon",3,9.375,"","","","",""
"airport","weare",3,9.375,"","","","",""
"airport","whois",3,9.375,"","","","",""
"airport","window",3,9.375,"","","","",""
"airport","airliner",2,6.25,"","","","",""
"airport","airship",2,6.25,"","","","",""
"airport","angle",2,6.25,"","","","",""
"airport","bird",2,6.25,"","","","",""
"airport","boarding",2,6.25,"","","","",""
"airport","body",2,6.25,"","","","",""
"airport","care",2,6.25,"","","","",""
"airport","carpeting",2,6.25,"","","","",""
"airport","cartoon",2,6.25,"","","","",""
"airport","character",2,6.25,"","","","",""
"airport","code",2,6.25,"","","","",""
"airport","collection",2,6.25,"","","","",""
"airport","cone",2,6.25,"","","","",""
"airport","cow",2,6.25,"","","","",""
"airport","crowd",2,6.25,"","","","",""
"airport","direction",2,6.25,"","","","",""
"airport","dirigible",2,6.25,"","","","",""
"airport","eagle",2,6.25,"","","","",""
"airport","elephants",2,6.25,"","","","",""
"airport","england",2,6.25,"","","","",""
"airport","era",2,6.25,"","","","",""
"airport","face",2,6.25,"","","","",""
"airport","fireman",2,6.25,"","","","",""
"airport","fly",2,6.25,"","","","",""
"airport","foot",2,6.25,"","","","",""
"airport","freight",2,6.25,"","","","",""
"airport","half",2,6.25,"","","","",""
"airport","head",2,6.25,"","","","",""
"airport","help",2,6.25,"","","","",""
"airport","image",2,6.25,"","","","",""
"airport","interior",2,6.25,"","","","",""
"airport","jacket",2,6.25,"","","","",""
"airport","kid",2,6.25,"","","","",""
"airport","loading",2,6.25,"","","","",""
"airport","look",2,6.25,"","","","",""
"airport","morne",2,6.25,"","","","",""
"airport","morning",2,6.25,"","","","",""
"airport","mover",2,6.25,"","","","",""
"airport","name",2,6.25,"","","","",""
"airport","newspaper",2,6.25,"","","","",""
"airport","number",2,6.25,"","","","",""
"airport","officer",2,6.25,"","","","",""
"airport","ohh",2,6.25,"","","","",""
"airport","photo",2,6.25,"","","","",""
"airport","plate",2,6.25,"","","","",""
"airport","point",2,6.25,"","","","",""
"airport","propeller",2,6.25,"","","","",""
"airport","reason",2,6.25,"","","","",""
"airport","roof",2,6.25,"","","","",""
"airport","seat",2,6.25,"","","","",""
"airport","set",2,6.25,"","","","",""
"airport","spread",2,6.25,"","","","",""
"airport","stack",2,6.25,"","","","",""
"airport","staff",2,6.25,"","","","",""
"airport","suit",2,6.25,"","","","",""
"airport","tanker",2,6.25,"","","","",""
"airport","thati",2,6.25,"","","","",""
"airport","titis",2,6.25,"","","","",""
"airport","towards",2,6.25,"","","","",""
"airport","track",2,6.25,"","","","",""
"airport","trailer",2,6.25,"","","","",""
"airport","transport",2,6.25,"","","","",""
"airport","trench",2,6.25,"","","","",""
"airport","trolley",2,6.25,"","","","",""
"airport","tsa",2,6.25,"","","","",""
"airport","tthatis",2,6.25,"","","","",""
"airport","ufo",2,6.25,"","","","",""
"airport","waldue",2,6.25,"","","","",""
"airport","wall",2,6.25,"","","","",""
"airport","zeppelin",2,6.25,"","","","",""
"airport","a",1,3.125,"","","","",""
"airport","accident",1,3.125,"","","","",""
"airport","action",1,3.125,"","","","",""
"airport","ad",1,3.125,"","","","",""
"airport","age",1,3.125,"","","","",""
"airport","airfield",1,3.125,"","","","",""
"airport","amount",1,3.125,"","","","",""
"airport","antenna",1,3.125,"","","","",""
"airport","art",1,3.125,"","","","",""
"airport","assessment",1,3.125,"","","","",""
"airport","attention",1,3.125,"","","","",""
"airport","balcony",1,3.125,"","","","",""
"airport","band",1,3.125,"","","","",""
"airport","base",1,3.125,"","","","",""
"airport","bat",1,3.125,"","","","",""
"airport","beanies",1,3.125,"","","","",""
"airport","bear",1,3.125,"","","","",""
"airport","beige",1,3.125,"","","","",""
"airport","binocular",1,3.125,"","","","",""
"airport","bishop",1,3.125,"","","","",""
"airport","blintz",1,3.125,"","","","",""
"airport","board",1,3.125,"","","","",""
"airport","bobble",1,3.125,"","","","",""
"airport","boss",1,3.125,"","","","",""
"airport","briefcase",1,3.125,"","","","",""
"airport","brigade",1,3.125,"","","","",""
"airport","britain",1,3.125,"","","","",""
"airport","british",1,3.125,"","","","",""
"airport","brother",1,3.125,"","","","",""
"airport","brothers",1,3.125,"","","","",""
"airport","brown",1,3.125,"","","","",""
"airport","build",1,3.125,"","","","",""
"airport","buse",1,3.125,"","","","",""
"airport","cabin",1,3.125,"","","","",""
"airport","camel",1,3.125,"","","","",""
"airport","carriage",1,3.125,"","","","",""
"airport","carrier",1,3.125,"","","","",""
"airport","castle",1,3.125,"","","","",""
"airport","cause",1,3.125,"","","","",""
"airport","cessna",1,3.125,"","","","",""
"airport","child",1,3.125,"","","","",""
"airport","chuck",1,3.125,"","","","",""
"airport","chute",1,3.125,"","","","",""
"airport","circle",1,3.125,"","","","",""
"airport","city",1,3.125,"","","","",""
"airport","clothing",1,3.125,"","","","",""
"airport","cloud",1,3.125,"","","","",""
"airport","controller",1,3.125,"","","","",""
"airport","controllers",1,3.125,"","","","",""
"airport","conveyor",1,3.125,"","","","",""
"airport","craziness",1,3.125,"","","","",""
"airport","crew",1,3.125,"","","","",""
"airport","custom",1,3.125,"","","","",""
"airport","customer",1,3.125,"","","","",""
"airport","cut",1,3.125,"","","","",""
"airport","cutaway",1,3.125,"","","","",""
"airport","decker",1,3.125,"","","","",""
"airport","define",1,3.125,"","","","",""
"airport","delegation",1,3.125,"","","","",""
"airport","department",1,3.125,"","","","",""
"airport","departure",1,3.125,"","","","",""
"airport","device",1,3.125,"","","","",""
"airport","diesel",1,3.125,"","","","",""
"airport","disease",1,3.125,"","","","",""
"airport","disembark",1,3.125,"","","","",""
"airport","distance",1,3.125,"","","","",""
"airport","distinguisher",1,3.125,"","","","",""
