"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"being_a_pirate","pirate",29,90.625,"","","","",""
"being_a_pirate","ship",29,90.625,"","","","",""
"being_a_pirate","boat",28,87.5,"","","","",""
"being_a_pirate","people",27,84.375,"","","","",""
"being_a_pirate","water",25,78.125,"","","","",""
"being_a_pirate","flag",23,71.875,"","","","",""
"being_a_pirate","cannon",21,65.625,"","","","",""
"being_a_pirate","lot",19,59.375,"","","","",""
"being_a_pirate","octopus",19,59.375,"","","","",""
"being_a_pirate","tree",19,59.375,"","","","",""
"being_a_pirate","palm",17,53.125,"","","","",""
"being_a_pirate","top",16,50,"","","","",""
"being_a_pirate","side",15,46.875,"","","","",""
"being_a_pirate","skull",14,43.75,"","","","",""
"being_a_pirate","crossbone",13,40.625,"","","","",""
"being_a_pirate","scene",13,40.625,"","","","",""
"being_a_pirate","couple",12,37.5,"","","","",""
"being_a_pirate","mast",12,37.5,"","","","",""
"being_a_pirate","sea",12,37.5,"","","","",""
"being_a_pirate","treasure",12,37.5,"","","","",""
"being_a_pirate","beach",11,34.375,"","","","",""
"being_a_pirate","land",11,34.375,"","","","",""
"being_a_pirate","man",11,34.375,"","","","",""
"being_a_pirate","one",11,34.375,"","","","",""
"being_a_pirate","picture",11,34.375,"","","","",""
"being_a_pirate","shore",11,34.375,"","","","",""
"being_a_pirate","half",10,31.25,"","","","",""
"being_a_pirate","kind",10,31.25,"","","","",""
"being_a_pirate","sail",10,31.25,"","","","",""
"being_a_pirate","umm",10,31.25,"","","","",""
"being_a_pirate","row",9,28.125,"","","","",""
"being_a_pirate","thing",9,28.125,"","","","",""
"being_a_pirate","chest",8,25,"","","","",""
"being_a_pirate","hand",8,25,"","","","",""
"being_a_pirate","island",8,25,"","","","",""
"being_a_pirate","left",8,25,"","","","",""
"being_a_pirate","middle",8,25,"","","","",""
"being_a_pirate","nest",8,25,"","","","",""
"being_a_pirate","ocean",8,25,"","","","",""
"being_a_pirate","page",8,25,"","","","",""
"being_a_pirate","plank",8,25,"","","","",""
"being_a_pirate","rope",8,25,"","","","",""
"being_a_pirate","shark",8,25,"","","","",""
"being_a_pirate","sword",8,25,"","","","",""
"being_a_pirate","uh",8,25,"","","","",""
"being_a_pirate","way",8,25,"","","","",""
"being_a_pirate","year",8,25,"","","","",""
"being_a_pirate","background",7,21.875,"","","","",""
"being_a_pirate","bird",7,21.875,"","","","",""
"being_a_pirate","bunch",7,21.875,"","","","",""
