"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"dinosaurs_spacemen_and_ghouls","dinosaur",27,84.375,"","","","",""
"dinosaurs_spacemen_and_ghouls","people",26,81.25,"","","","",""
"dinosaurs_spacemen_and_ghouls","caveman",23,71.875,"","","","",""
"dinosaurs_spacemen_and_ghouls","light",23,71.875,"","","","",""
"dinosaurs_spacemen_and_ghouls","space",22,68.75,"","","","",""
"dinosaurs_spacemen_and_ghouls","volcano",21,65.625,"","","","",""
"dinosaurs_spacemen_and_ghouls","movie",20,62.5,"","","","",""
"dinosaurs_spacemen_and_ghouls","scene",20,62.5,"","","","",""
"dinosaurs_spacemen_and_ghouls","spaceman",20,62.5,"","","","",""
"dinosaurs_spacemen_and_ghouls","mummy",19,59.375,"","","","",""
"dinosaurs_spacemen_and_ghouls","side",19,59.375,"","","","",""
"dinosaurs_spacemen_and_ghouls","lot",18,56.25,"","","","",""
"dinosaurs_spacemen_and_ghouls","room",18,56.25,"","","","",""
"dinosaurs_spacemen_and_ghouls","kind",17,53.125,"","","","",""
"dinosaurs_spacemen_and_ghouls","spaceship",17,53.125,"","","","",""
"dinosaurs_spacemen_and_ghouls","cafeteria",16,50,"","","","",""
"dinosaurs_spacemen_and_ghouls","picture",16,50,"","","","",""
"dinosaurs_spacemen_and_ghouls","tree",16,50,"","","","",""
"dinosaurs_spacemen_and_ghouls","camera",15,46.875,"","","","",""
"dinosaurs_spacemen_and_ghouls","food",15,46.875,"","","","",""
"dinosaurs_spacemen_and_ghouls","set",15,46.875,"","","","",""
"dinosaurs_spacemen_and_ghouls","alien",14,43.75,"","","","",""
"dinosaurs_spacemen_and_ghouls","area",14,43.75,"","","","",""
"dinosaurs_spacemen_and_ghouls","color",14,43.75,"","","","",""
"dinosaurs_spacemen_and_ghouls","ghoul",14,43.75,"","","","",""
"dinosaurs_spacemen_and_ghouls","hand",14,43.75,"","","","",""
"dinosaurs_spacemen_and_ghouls","actor",13,40.625,"","","","",""
"dinosaurs_spacemen_and_ghouls","top",13,40.625,"","","","",""
"dinosaurs_spacemen_and_ghouls","costume",12,37.5,"","","","",""
"dinosaurs_spacemen_and_ghouls","door",12,37.5,"","","","",""
"dinosaurs_spacemen_and_ghouls","saucer",12,37.5,"","","","",""
"dinosaurs_spacemen_and_ghouls","type",12,37.5,"","","","",""
"dinosaurs_spacemen_and_ghouls","makeup",11,34.375,"","","","",""
"dinosaurs_spacemen_and_ghouls","pie",11,34.375,"","","","",""
"dinosaurs_spacemen_and_ghouls","astronaut",10,31.25,"","","","",""
"dinosaurs_spacemen_and_ghouls","bottom",10,31.25,"","","","",""
"dinosaurs_spacemen_and_ghouls","ground",10,31.25,"","","","",""
"dinosaurs_spacemen_and_ghouls","one",10,31.25,"","","","",""
"dinosaurs_spacemen_and_ghouls","page",10,31.25,"","","","",""
"dinosaurs_spacemen_and_ghouls","rocket",10,31.25,"","","","",""
"dinosaurs_spacemen_and_ghouls","ship",10,31.25,"","","","",""
"dinosaurs_spacemen_and_ghouls","stage",10,31.25,"","","","",""
"dinosaurs_spacemen_and_ghouls","table",10,31.25,"","","","",""
"dinosaurs_spacemen_and_ghouls","thing",10,31.25,"","","","",""
"dinosaurs_spacemen_and_ghouls","corner",9,28.125,"","","","",""
"dinosaurs_spacemen_and_ghouls","dressing",9,28.125,"","","","",""
"dinosaurs_spacemen_and_ghouls","ice",9,28.125,"","","","",""
"dinosaurs_spacemen_and_ghouls","line",9,28.125,"","","","",""
"dinosaurs_spacemen_and_ghouls","mirror",9,28.125,"","","","",""
"dinosaurs_spacemen_and_ghouls","part",9,28.125,"","","","",""
"dinosaurs_spacemen_and_ghouls","sky",9,28.125,"","","","",""
"dinosaurs_spacemen_and_ghouls","sort",9,28.125,"","","","",""
"dinosaurs_spacemen_and_ghouls","um",9,28.125,"","","","",""
"dinosaurs_spacemen_and_ghouls","background",8,25,"","","","",""
"dinosaurs_spacemen_and_ghouls","cone",8,25,"","","","",""
"dinosaurs_spacemen_and_ghouls","couple",8,25,"","","","",""
"dinosaurs_spacemen_and_ghouls","creature",8,25,"","","","",""
"dinosaurs_spacemen_and_ghouls","crew",8,25,"","","","",""
"dinosaurs_spacemen_and_ghouls","film",8,25,"","","","",""
"dinosaurs_spacemen_and_ghouls","man",8,25,"","","","",""
"dinosaurs_spacemen_and_ghouls","rope",8,25,"","","","",""
"dinosaurs_spacemen_and_ghouls","star",8,25,"","","","",""
"dinosaurs_spacemen_and_ghouls","umm",8,25,"","","","",""
"dinosaurs_spacemen_and_ghouls","wall",8,25,"","","","",""
"dinosaurs_spacemen_and_ghouls","buffet",7,21.875,"","","","",""
"dinosaurs_spacemen_and_ghouls","bunch",7,21.875,"","","","",""
