"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"exhibit_12","people",30,93.75,"","","","",""
"exhibit_12","wall",27,84.375,"","","","",""
"exhibit_12","picture",24,75,"","","","",""
"exhibit_12","portrait",24,75,"","","","",""
"exhibit_12","ladder",23,71.875,"","","","",""
"exhibit_12","lot",23,71.875,"","","","",""
"exhibit_12","level",18,56.25,"","","","",""
"exhibit_12","clown",16,50,"","","","",""
"exhibit_12","floor",16,50,"","","","",""
"exhibit_12","man",16,50,"","","","",""
"exhibit_12","stair",16,50,"","","","",""
"exhibit_12","kind",14,43.75,"","","","",""
"exhibit_12","exhibit",13,40.625,"","","","",""
"exhibit_12","horse",13,40.625,"","","","",""
"exhibit_12","museum",13,40.625,"","","","",""
"exhibit_12","exhibition",12,37.5,"","","","",""
"exhibit_12","thing",12,37.5,"","","","",""
"exhibit_12","umm",12,37.5,"","","","",""
"exhibit_12","woman",12,37.5,"","","","",""
"exhibit_12","art",11,34.375,"","","","",""
"exhibit_12","couple",11,34.375,"","","","",""
"exhibit_12","gallery",11,34.375,"","","","",""
"exhibit_12","king",11,34.375,"","","","",""
"exhibit_12","one",11,34.375,"","","","",""
"exhibit_12","side",11,34.375,"","","","",""
"exhibit_12","bunch",10,31.25,"","","","",""
"exhibit_12","costume",10,31.25,"","","","",""
"exhibit_12","frame",10,31.25,"","","","",""
"exhibit_12","ground",10,31.25,"","","","",""
"exhibit_12","painting",10,31.25,"","","","",""
"exhibit_12","scene",10,31.25,"","","","",""
"exhibit_12","shark",10,31.25,"","","","",""
"exhibit_12","building",9,28.125,"","","","",""
"exhibit_12","crowd",9,28.125,"","","","",""
"exhibit_12","head",9,28.125,"","","","",""
"exhibit_12","top",9,28.125,"","","","",""
"exhibit_12","face",8,25,"","","","",""
"exhibit_12","place",8,25,"","","","",""
"exhibit_12","room",8,25,"","","","",""
"exhibit_12","scaffolding",8,25,"","","","",""
"exhibit_12","set",8,25,"","","","",""
"exhibit_12","staircase",8,25,"","","","",""
"exhibit_12","suit",8,25,"","","","",""
"exhibit_12","um",8,25,"","","","",""
"exhibit_12","balcony",7,21.875,"","","","",""
"exhibit_12","hat",7,21.875,"","","","",""
"exhibit_12","mark",7,21.875,"","","","",""
"exhibit_12","police",7,21.875,"","","","",""
"exhibit_12","question",7,21.875,"","","","",""
"exhibit_12","sort",7,21.875,"","","","",""
"exhibit_12","type",7,21.875,"","","","",""
"exhibit_12","area",6,18.75,"","","","",""
