"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"journey","bird",28,87.5,"","","","",""
"journey","boat",28,87.5,"","","","",""
"journey","cage",28,87.5,"","","","",""
"journey","computer",28,87.5,"","","","",""
"journey","door",28,87.5,"","","","",""
"journey","tree",28,87.5,"","","","",""
"journey","balloon",27,84.375,"","","","",""
"journey","carpet",27,84.375,"","","","",""
"journey","cat",27,84.375,"","","","",""
"journey","boy",26,81.25,"","","","",""
"journey","circle",26,81.25,"","","","",""
"journey","light",26,81.25,"","","","",""
"journey","room",26,81.25,"","","","",""
"journey","wall",26,81.25,"","","","",""
"journey","palm",25,78.125,"","","","",""
"journey","water",25,78.125,"","","","",""
"journey","girl",24,75,"","","","",""
"journey","kitchen",24,75,"","","","",""
"journey","kite",24,75,"","","","",""
"journey","mailbox",24,75,"","","","",""
"journey","scooter",24,75,"","","","",""
"journey","side",24,75,"","","","",""
"journey","sky",24,75,"","","","",""
"journey","bicycle",23,71.875,"","","","",""
"journey","castle",23,71.875,"","","","",""
"journey","couch",23,71.875,"","","","",""
"journey","floor",23,71.875,"","","","",""
"journey","forest",23,71.875,"","","","",""
"journey","hand",23,71.875,"","","","",""
"journey","waterfall",23,71.875,"","","","",""
"journey","air",22,68.75,"","","","",""
"journey","lantern",22,68.75,"","","","",""
"journey","magic",22,68.75,"","","","",""
"journey","bed",21,65.625,"","","","",""
"journey","house",21,65.625,"","","","",""
"journey","kind",21,65.625,"","","","",""
"journey","people",21,65.625,"","","","",""
"journey","street",21,65.625,"","","","",""
"journey","building",20,62.5,"","","","",""
"journey","city",20,62.5,"","","","",""
"journey","end",20,62.5,"","","","",""
"journey","guard",20,62.5,"","","","",""
"journey","ladder",20,62.5,"","","","",""
"journey","phone",20,62.5,"","","","",""
"journey","picture",20,62.5,"","","","",""
"journey","dock",19,59.375,"","","","",""
"journey","edge",19,59.375,"","","","",""
"journey","man",19,59.375,"","","","",""
"journey","top",19,59.375,"","","","",""
"journey","wheel",19,59.375,"","","","",""
"journey","lot",18,56.25,"","","","",""
"journey","night",18,56.25,"","","","",""
"journey","shoulder",18,56.25,"","","","",""
"journey","star",18,56.25,"","","","",""
"journey","way",18,56.25,"","","","",""
"journey","bridge",17,53.125,"","","","",""
"journey","front",17,53.125,"","","","",""
"journey","step",17,53.125,"","","","",""
"journey","child",16,50,"","","","",""
"journey","cloud",16,50,"","","","",""
"journey","net",16,50,"","","","",""
"journey","papers",16,50,"","","","",""
"journey","sister",16,50,"","","","",""
"journey","thing",16,50,"","","","",""
"journey","ball",15,46.875,"","","","",""
"journey","level",15,46.875,"","","","",""
"journey","page",15,46.875,"","","","",""
"journey","rectangle",15,46.875,"","","","",""
"journey","river",15,46.875,"","","","",""
"journey","ship",15,46.875,"","","","",""
"journey","stream",15,46.875,"","","","",""
"journey","tower",15,46.875,"","","","",""
"journey","doorway",14,43.75,"","","","",""
"journey","moat",14,43.75,"","","","",""
"journey","mother",14,43.75,"","","","",""
"journey","person",14,43.75,"","","","",""
"journey","um",14,43.75,"","","","",""
"journey","woman",14,43.75,"","","","",""
"journey","area",13,40.625,"","","","",""
"journey","arm",13,40.625,"","","","",""
"journey","back",13,40.625,"","","","",""
"journey","book",13,40.625,"","","","",""
"journey","crayon",13,40.625,"","","","",""
"journey","dad",13,40.625,"","","","",""
"journey","dome",13,40.625,"","","","",""
"journey","dragon",13,40.625,"","","","",""
"journey","land",13,40.625,"","","","",""
"journey","machine",13,40.625,"","","","",""
"journey","mom",13,40.625,"","","","",""
"journey","one",13,40.625,"","","","",""
"journey","story",13,40.625,"","","","",""
"journey","type",13,40.625,"","","","",""
"journey","attention",12,37.5,"","","","",""
"journey","background",12,37.5,"","","","",""
"journey","bedroom",12,37.5,"","","","",""
"journey","chair",12,37.5,"","","","",""
"journey","couple",12,37.5,"","","","",""
"journey","gold",12,37.5,"","","","",""
"journey","lamp",12,37.5,"","","","",""
"journey","mountain",12,37.5,"","","","",""
"journey","part",12,37.5,"","","","",""
"journey","propeller",12,37.5,"","","","",""
"journey","right",12,37.5,"","","","",""
"journey","tail",12,37.5,"","","","",""
"journey","window",12,37.5,"","","","",""
"journey","world",12,37.5,"","","","",""
"journey","base",11,34.375,"","","","",""
"journey","basket",11,34.375,"","","","",""
"journey","bottom",11,34.375,"","","","",""
"journey","clouds",11,34.375,"","","","",""
"journey","color",11,34.375,"","","","",""
"journey","draw",11,34.375,"","","","",""
"journey","fire",11,34.375,"","","","",""
"journey","ground",11,34.375,"","","","",""
"journey","map",11,34.375,"","","","",""
"journey","marker",11,34.375,"","","","",""
"journey","paddle",11,34.375,"","","","",""
"journey","purple",11,34.375,"","","","",""
"journey","towers",11,34.375,"","","","",""
"journey","dresser",10,31.25,"","","","",""
"journey","father",10,31.25,"","","","",""
"journey","head",10,31.25,"","","","",""
"journey","kid",10,31.25,"","","","",""
"journey","platform",10,31.25,"","","","",""
"journey","scene",10,31.25,"","","","",""
"journey","sort",10,31.25,"","","","",""
"journey","stove",10,31.25,"","","","",""
"journey","string",10,31.25,"","","","",""
"journey","uh",10,31.25,"","","","",""
"journey","apartment",9,28.125,"","","","",""
"journey","bit",9,28.125,"","","","",""
"journey","counter",9,28.125,"","","","",""
"journey","desk",9,28.125,"","","","",""
