"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"make_a_splash","people",29,90.625,"","","","",""
"make_a_splash","slide",29,90.625,"","","","",""
"make_a_splash","water",29,90.625,"","","","",""
"make_a_splash","park",24,75,"","","","",""
"make_a_splash","lot",22,68.75,"","","","",""
"make_a_splash","ship",22,68.75,"","","","",""
"make_a_splash","kid",21,65.625,"","","","",""
"make_a_splash","dragon",20,62.5,"","","","",""
"make_a_splash","elephant",20,62.5,"","","","",""
"make_a_splash","lifeguard",20,62.5,"","","","",""
"make_a_splash","side",20,62.5,"","","","",""
"make_a_splash","kind",17,53.125,"","","","",""
"make_a_splash","pool",16,50,"","","","",""
"make_a_splash","gun",15,46.875,"","","","",""
"make_a_splash","river",15,46.875,"","","","",""
"make_a_splash","tube",15,46.875,"","","","",""
"make_a_splash","one",14,43.75,"","","","",""
"make_a_splash","thing",14,43.75,"","","","",""
"make_a_splash","area",13,40.625,"","","","",""
"make_a_splash","bridge",13,40.625,"","","","",""
"make_a_splash","color",13,40.625,"","","","",""
"make_a_splash","snake",13,40.625,"","","","",""
"make_a_splash","top",13,40.625,"","","","",""
"make_a_splash","penguin",12,37.5,"","","","",""
"make_a_splash","rainbow",11,34.375,"","","","",""
"make_a_splash","splash",11,34.375,"","","","",""
"make_a_splash","um",11,34.375,"","","","",""
"make_a_splash","umm",11,34.375,"","","","",""
"make_a_splash","mushroom",10,31.25,"","","","",""
"make_a_splash","scene",10,31.25,"","","","",""
"make_a_splash","ball",9,28.125,"","","","",""
"make_a_splash","head",9,28.125,"","","","",""
"make_a_splash","line",9,28.125,"","","","",""
"make_a_splash","mouth",9,28.125,"","","","",""
"make_a_splash","page",9,28.125,"","","","",""
"make_a_splash","sea",9,28.125,"","","","",""
"make_a_splash","tree",9,28.125,"","","","",""
"make_a_splash","blanket",8,25,"","","","",""
"make_a_splash","boat",8,25,"","","","",""
"make_a_splash","boy",8,25,"","","","",""
"make_a_splash","bunch",8,25,"","","","",""
