"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"picture_this","hand",26,81.25,"","","","",""
"picture_this","people",26,81.25,"","","","",""
"picture_this","picture",26,81.25,"","","","",""
"picture_this","tree",25,78.125,"","","","",""
"picture_this","dog",24,75,"","","","",""
"picture_this","head",24,75,"","","","",""
"picture_this","man",24,75,"","","","",""
"picture_this","palm",21,65.625,"","","","",""
"picture_this","animal",20,62.5,"","","","",""
"picture_this","caveman",19,59.375,"","","","",""
"picture_this","fish",19,59.375,"","","","",""
"picture_this","person",19,59.375,"","","","",""
"picture_this","thing",19,59.375,"","","","",""
"picture_this","dragon",17,53.125,"","","","",""
"picture_this","hat",17,53.125,"","","","",""
"picture_this","portrait",17,53.125,"","","","",""
"picture_this","guy",16,50,"","","","",""
"picture_this","sumo",16,50,"","","","",""
"picture_this","top",16,50,"","","","",""
"picture_this","bear",15,46.875,"","","","",""
"picture_this","couple",15,46.875,"","","","",""
"picture_this","face",15,46.875,"","","","",""
"picture_this","kind",15,46.875,"","","","",""
"picture_this","side",15,46.875,"","","","",""
"picture_this","umm",15,46.875,"","","","",""
"picture_this","wrestler",15,46.875,"","","","",""
"picture_this","cactus",14,43.75,"","","","",""
"picture_this","lot",14,43.75,"","","","",""
"picture_this","frame",13,40.625,"","","","",""
"picture_this","woman",13,40.625,"","","","",""
"picture_this","sword",11,34.375,"","","","",""
"picture_this","water",11,34.375,"","","","",""
"picture_this","one",10,31.25,"","","","",""
"picture_this","page",10,31.25,"","","","",""
"picture_this","scene",10,31.25,"","","","",""
"picture_this","suit",10,31.25,"","","","",""
"picture_this","tongue",10,31.25,"","","","",""
"picture_this","book",9,28.125,"","","","",""
"picture_this","bottom",9,28.125,"","","","",""
"picture_this","camel",9,28.125,"","","","",""
"picture_this","eye",9,28.125,"","","","",""
"picture_this","finger",9,28.125,"","","","",""
"picture_this","hippopotamus",9,28.125,"","","","",""
"picture_this","leg",9,28.125,"","","","",""
"picture_this","ring",9,28.125,"","","","",""
"picture_this","shirt",9,28.125,"","","","",""
"picture_this","umbrella",9,28.125,"","","","",""
"picture_this","body",8,25,"","","","",""
"picture_this","character",8,25,"","","","",""
"picture_this","hair",8,25,"","","","",""
"picture_this","left",8,25,"","","","",""
"picture_this","motorcycle",8,25,"","","","",""
"picture_this","roof",8,25,"","","","",""
"picture_this","shoulder",8,25,"","","","",""
"picture_this","snowball",8,25,"","","","",""
"picture_this","sort",8,25,"","","","",""
"picture_this","viking",8,25,"","","","",""
"picture_this","wheel",8,25,"","","","",""
"picture_this","arm",7,21.875,"","","","",""
"picture_this","bunch",7,21.875,"","","","",""
"picture_this","corner",7,21.875,"","","","",""
"picture_this","costume",7,21.875,"","","","",""
"picture_this","dinosaur",7,21.875,"","","","",""
"picture_this","ground",7,21.875,"","","","",""
"picture_this","joker",7,21.875,"","","","",""
"picture_this","look",7,21.875,"","","","",""
"picture_this","type",7,21.875,"","","","",""
"picture_this","um",7,21.875,"","","","",""
"picture_this","background",6,18.75,"","","","",""
"picture_this","bird",6,18.75,"","","","",""
"picture_this","bucket",6,18.75,"","","","",""
"picture_this","car",6,18.75,"","","","",""
"picture_this","image",6,18.75,"","","","",""
"picture_this","knight",6,18.75,"","","","",""
"picture_this","leash",6,18.75,"","","","",""
"picture_this","photo",6,18.75,"","","","",""
"picture_this","rocket",6,18.75,"","","","",""
"picture_this","spare",6,18.75,"","","","",""
"picture_this","armor",5,15.625,"","","","",""
"picture_this","backpack",5,15.625,"","","","",""
"picture_this","cat",5,15.625,"","","","",""
"picture_this","color",5,15.625,"","","","",""
"picture_this","cowboy",5,15.625,"","","","",""
"picture_this","display",5,15.625,"","","","",""
"picture_this","horse",5,15.625,"","","","",""
"picture_this","knights",5,15.625,"","","","",""
"picture_this","mummy",5,15.625,"","","","",""
"picture_this","mustache",5,15.625,"","","","",""
"picture_this","part",5,15.625,"","","","",""
"picture_this","travel",5,15.625,"","","","",""
"picture_this","uh",5,15.625,"","","","",""
"picture_this","waldo",5,15.625,"","","","",""
"picture_this","witch",5,15.625,"","","","",""
"picture_this","back",4,12.5,"","","","",""
"picture_this","bag",4,12.5,"","","","",""
"picture_this","ball",4,12.5,"","","","",""
"picture_this","bathing",4,12.5,"","","","",""
"picture_this","beer",4,12.5,"","","","",""
"picture_this","bit",4,12.5,"","","","",""
"picture_this","bodybuilder",4,12.5,"","","","",""
"picture_this","cap",4,12.5,"","","","",""
"picture_this","coconut",4,12.5,"","","","",""
"picture_this","collage",4,12.5,"","","","",""
"picture_this","creature",4,12.5,"","","","",""
"picture_this","crocodile",4,12.5,"","","","",""
"picture_this","duck",4,12.5,"","","","",""
"picture_this","fight",4,12.5,"","","","",""
"picture_this","figure",4,12.5,"","","","",""
"picture_this","fountain",4,12.5,"","","","",""
"picture_this","half",4,12.5,"","","","",""
"picture_this","hippo",4,12.5,"","","","",""
"picture_this","house",4,12.5,"","","","",""
"picture_this","jacket",4,12.5,"","","","",""
"picture_this","kid",4,12.5,"","","","",""
"picture_this","pants",4,12.5,"","","","",""
"picture_this","place",4,12.5,"","","","",""
"picture_this","plane",4,12.5,"","","","",""
"picture_this","rock",4,12.5,"","","","",""
"picture_this","rope",4,12.5,"","","","",""
"picture_this","skirt",4,12.5,"","","","",""
"picture_this","soldier",4,12.5,"","","","",""
"picture_this","somebody",4,12.5,"","","","",""
"picture_this","suitcase",4,12.5,"","","","",""
"picture_this","time",4,12.5,"","","","",""
"picture_this","tire",4,12.5,"","","","",""
"picture_this","tooth",4,12.5,"","","","",""
"picture_this","wizard",4,12.5,"","","","",""
"picture_this","wood",4,12.5,"","","","",""
"picture_this","baseball",3,9.375,"","","","",""
"picture_this","beard",3,9.375,"","","","",""
"picture_this","boxing",3,9.375,"","","","",""
"picture_this","card",3,9.375,"","","","",""
"picture_this","cartoon",3,9.375,"","","","",""
"picture_this","cave",3,9.375,"","","","",""
"picture_this","chimney",3,9.375,"","","","",""
"picture_this","clothes",3,9.375,"","","","",""
"picture_this","coat",3,9.375,"","","","",""
"picture_this","compilation",3,9.375,"","","","",""
"picture_this","court",3,9.375,"","","","",""
"picture_this","deer",3,9.375,"","","","",""
"picture_this","donkey",3,9.375,"","","","",""
"picture_this","dress",3,9.375,"","","","",""
"picture_this","fence",3,9.375,"","","","",""
"picture_this","flipper",3,9.375,"","","","",""
"picture_this","food",3,9.375,"","","","",""
"picture_this","foot",3,9.375,"","","","",""
"picture_this","front",3,9.375,"","","","",""
"picture_this","giant",3,9.375,"","","","",""
"picture_this","glass",3,9.375,"","","","",""
"picture_this","helmet",3,9.375,"","","","",""
"picture_this","horn",3,9.375,"","","","",""
"picture_this","jester",3,9.375,"","","","",""
"picture_this","king",3,9.375,"","","","",""
"picture_this","ladder",3,9.375,"","","","",""
"picture_this","leave",3,9.375,"","","","",""
"picture_this","mask",3,9.375,"","","","",""
"picture_this","middle",3,9.375,"","","","",""
"picture_this","muscle",3,9.375,"","","","",""
"picture_this","note",3,9.375,"","","","",""
"picture_this","number",3,9.375,"","","","",""
"picture_this","random",3,9.375,"","","","",""
"picture_this","right",3,9.375,"","","","",""
"picture_this","shape",3,9.375,"","","","",""
"picture_this","shield",3,9.375,"","","","",""
"picture_this","shoulders",3,9.375,"","","","",""
"picture_this","snorkel",3,9.375,"","","","",""
"picture_this","square",3,9.375,"","","","",""
"picture_this","stack",3,9.375,"","","","",""
"picture_this","stomach",3,9.375,"","","","",""
"picture_this","theme",3,9.375,"","","","",""
"picture_this","violin",3,9.375,"","","","",""
"picture_this","wheelbarrow",3,9.375,"","","","",""
"picture_this","activity",2,6.25,"","","","",""
"picture_this","adult",2,6.25,"","","","",""
"picture_this","air",2,6.25,"","","","",""
"picture_this","airplane",2,6.25,"","","","",""
"picture_this","antler",2,6.25,"","","","",""
"picture_this","bald",2,6.25,"","","","",""
"picture_this","beach",2,6.25,"","","","",""
"picture_this","beam",2,6.25,"","","","",""
"picture_this","belt",2,6.25,"","","","",""
"picture_this","boone",2,6.25,"","","","",""
"picture_this","box",2,6.25,"","","","",""
"picture_this","boy",2,6.25,"","","","",""
"picture_this","briefcase",2,6.25,"","","","",""
"picture_this","bumper",2,6.25,"","","","",""
"picture_this","business",2,6.25,"","","","",""
"picture_this","castle",2,6.25,"","","","",""
"picture_this","center",2,6.25,"","","","",""
"picture_this","clothing",2,6.25,"","","","",""
"picture_this","clown",2,6.25,"","","","",""
"picture_this","club",2,6.25,"","","","",""
"picture_this","crown",2,6.25,"","","","",""
"picture_this","daniel",2,6.25,"","","","",""
"picture_this","direction",2,6.25,"","","","",""
"picture_this","drawing",2,6.25,"","","","",""
"picture_this","edge",2,6.25,"","","","",""
"picture_this","eyebrow",2,6.25,"","","","",""
"picture_this","fellow",2,6.25,"","","","",""
"picture_this","fist",2,6.25,"","","","",""
"picture_this","flag",2,6.25,"","","","",""
"picture_this","floor",2,6.25,"","","","",""
"picture_this","fruit",2,6.25,"","","","",""
"picture_this","gear",2,6.25,"","","","",""
"picture_this","gentleman",2,6.25,"","","","",""
"picture_this","gesture",2,6.25,"","","","",""
"picture_this","gladiator",2,6.25,"","","","",""
"picture_this","go",2,6.25,"","","","",""
"picture_this","gorilla",2,6.25,"","","","",""
"picture_this","grass",2,6.25,"","","","",""
"picture_this","group",2,6.25,"","","","",""
"picture_this","guard",2,6.25,"","","","",""
"picture_this","hmm",2,6.25,"","","","",""
"picture_this","in",2,6.25,"","","","",""
"picture_this","instance",2,6.25,"","","","",""
"picture_this","instruction",2,6.25,"","","","",""
"picture_this","instrument",2,6.25,"","","","",""
"picture_this","kart",2,6.25,"","","","",""
"picture_this","lift",2,6.25,"","","","",""
"picture_this","loincloth",2,6.25,"","","","",""
"picture_this","manhole",2,6.25,"","","","",""
"picture_this","mishmash",2,6.25,"","","","",""
"picture_this","mouth",2,6.25,"","","","",""
"picture_this","notebook",2,6.25,"","","","",""
"picture_this","ohh",2,6.25,"","","","",""
"picture_this","outfit",2,6.25,"","","","",""
"picture_this","pie",2,6.25,"","","","",""
"picture_this","pig",2,6.25,"","","","",""
"picture_this","pointy",2,6.25,"","","","",""
"picture_this","pot",2,6.25,"","","","",""
"picture_this","races",2,6.25,"","","","",""
"picture_this","rest",2,6.25,"","","","",""
"picture_this","rhinocero",2,6.25,"","","","",""
"picture_this","robe",2,6.25,"","","","",""
