"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"waldo_1","people",31,96.875,"","","","",""
"waldo_1","building",30,93.75,"","","","",""
"waldo_1","car",30,93.75,"","","","",""
"waldo_1","window",29,90.625,"","","","",""
"waldo_1","fountain",28,87.5,"","","","",""
"waldo_1","roof",27,84.375,"","","","",""
"waldo_1","street",24,75,"","","","",""
"waldo_1","top",24,75,"","","","",""
"waldo_1","fire",23,71.875,"","","","",""
"waldo_1","truck",23,71.875,"","","","",""
"waldo_1","lot",22,68.75,"","","","",""
"waldo_1","dog",21,65.625,"","","","",""
"waldo_1","scene",21,65.625,"","","","",""
"waldo_1","man",20,62.5,"","","","",""
"waldo_1","ladder",17,53.125,"","","","",""
"waldo_1","plant",17,53.125,"","","","",""
"waldo_1","school",17,53.125,"","","","",""
"waldo_1","market",16,50,"","","","",""
"waldo_1","middle",16,50,"","","","",""
"waldo_1","motorcycle",16,50,"","","","",""
"waldo_1","station",16,50,"","","","",""
"waldo_1","statue",16,50,"","","","",""
"waldo_1","town",16,50,"","","","",""
"waldo_1","awning",15,46.875,"","","","",""
"waldo_1","center",15,46.875,"","","","",""
"waldo_1","child",15,46.875,"","","","",""
"waldo_1","shop",15,46.875,"","","","",""
"waldo_1","side",15,46.875,"","","","",""
"waldo_1","bicycle",14,43.75,"","","","",""
"waldo_1","kind",14,43.75,"","","","",""
"waldo_1","person",14,43.75,"","","","",""
"waldo_1","triangle",14,43.75,"","","","",""
"waldo_1","city",13,40.625,"","","","",""
"waldo_1","head",13,40.625,"","","","",""
"waldo_1","water",13,40.625,"","","","",""
"waldo_1","accident",12,37.5,"","","","",""
"waldo_1","couple",12,37.5,"","","","",""
"waldo_1","door",12,37.5,"","","","",""
"waldo_1","mop",12,37.5,"","","","",""
"waldo_1","thing",12,37.5,"","","","",""
"waldo_1","bike",11,34.375,"","","","",""
"waldo_1","engine",11,34.375,"","","","",""
"waldo_1","guard",11,34.375,"","","","",""
"waldo_1","store",11,34.375,"","","","",""
"waldo_1","bow",10,31.25,"","","","",""
"waldo_1","crossing",10,31.25,"","","","",""
"waldo_1","hotel",10,31.25,"","","","",""
"waldo_1","manhole",10,31.25,"","","","",""
"waldo_1","picture",10,31.25,"","","","",""
"waldo_1","snorkel",10,31.25,"","","","",""
"waldo_1","umm",10,31.25,"","","","",""
"waldo_1","ambulance",9,28.125,"","","","",""
"waldo_1","area",9,28.125,"","","","",""
"waldo_1","arrow",9,28.125,"","","","",""
"waldo_1","bottom",9,28.125,"","","","",""
"waldo_1","fireman",9,28.125,"","","","",""
"waldo_1","garage",9,28.125,"","","","",""
"waldo_1","gas",9,28.125,"","","","",""
"waldo_1","guy",9,28.125,"","","","",""
"waldo_1","hand",9,28.125,"","","","",""
"waldo_1","house",9,28.125,"","","","",""
"waldo_1","office",9,28.125,"","","","",""
"waldo_1","square",9,28.125,"","","","",""
