"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"wanderer","bird",30,93.75,"","","","",""
"wanderer","boat",30,93.75,"","","","",""
"wanderer","fish",30,93.75,"","","","",""
"wanderer","horse",30,93.75,"","","","",""
"wanderer","people",30,93.75,"","","","",""
"wanderer","water",30,93.75,"","","","",""
"wanderer","wave",30,93.75,"","","","",""
"wanderer","whale",30,93.75,"","","","",""
"wanderer","fishing",29,90.625,"","","","",""
"wanderer","light",29,90.625,"","","","",""
"wanderer","lot",29,90.625,"","","","",""
"wanderer","paper",29,90.625,"","","","",""
"wanderer","sea",29,90.625,"","","","",""
"wanderer","seahorse",29,90.625,"","","","",""
"wanderer","sky",29,90.625,"","","","",""
"wanderer","top",29,90.625,"","","","",""
"wanderer","creature",28,87.5,"","","","",""
"wanderer","eye",28,87.5,"","","","",""
"wanderer","lighthouse",28,87.5,"","","","",""
"wanderer","night",28,87.5,"","","","",""
"wanderer","ship",28,87.5,"","","","",""
"wanderer","tree",28,87.5,"","","","",""
"wanderer","turtle",28,87.5,"","","","",""
"wanderer","cat",27,84.375,"","","","",""
"wanderer","head",27,84.375,"","","","",""
"wanderer","kind",27,84.375,"","","","",""
"wanderer","submarine",27,84.375,"","","","",""
"wanderer","crane",26,81.25,"","","","",""
"wanderer","hand",26,81.25,"","","","",""
"wanderer","man",26,81.25,"","","","",""
"wanderer","moon",26,81.25,"","","","",""
"wanderer","side",26,81.25,"","","","",""
"wanderer","star",26,81.25,"","","","",""
"wanderer","bottom",25,78.125,"","","","",""
"wanderer","city",25,78.125,"","","","",""
"wanderer","couple",25,78.125,"","","","",""
"wanderer","horn",25,78.125,"","","","",""
"wanderer","jellyfish",25,78.125,"","","","",""
"wanderer","thing",25,78.125,"","","","",""
"wanderer","time",25,78.125,"","","","",""
"wanderer","building",24,75,"","","","",""
"wanderer","hat",24,75,"","","","",""
"wanderer","lobster",24,75,"","","","",""
"wanderer","one",24,75,"","","","",""
"wanderer","person",24,75,"","","","",""
"wanderer","sail",24,75,"","","","",""
"wanderer","sailboat",24,75,"","","","",""
"wanderer","school",24,75,"","","","",""
"wanderer","airplane",23,71.875,"","","","",""
"wanderer","background",23,71.875,"","","","",""
"wanderer","diver",23,71.875,"","","","",""
"wanderer","elephant",23,71.875,"","","","",""
"wanderer","kite",23,71.875,"","","","",""
"wanderer","life",23,71.875,"","","","",""
"wanderer","ocean",23,71.875,"","","","",""
"wanderer","animal",22,68.75,"","","","",""
"wanderer","bunch",22,68.75,"","","","",""
"wanderer","house",22,68.75,"","","","",""
"wanderer","picture",22,68.75,"","","","",""
"wanderer","seal",22,68.75,"","","","",""
"wanderer","smoke",22,68.75,"","","","",""
"wanderer","back",21,65.625,"","","","",""
"wanderer","buoy",21,65.625,"","","","",""
"wanderer","fin",21,65.625,"","","","",""
"wanderer","hole",21,65.625,"","","","",""
"wanderer","iceberg",21,65.625,"","","","",""
"wanderer","net",21,65.625,"","","","",""
"wanderer","piece",21,65.625,"","","","",""
"wanderer","sort",21,65.625,"","","","",""
"wanderer","tentacle",21,65.625,"","","","",""
"wanderer","type",21,65.625,"","","","",""
"wanderer","um",21,65.625,"","","","",""
"wanderer","way",21,65.625,"","","","",""
"wanderer","area",20,62.5,"","","","",""
"wanderer","bridge",20,62.5,"","","","",""
"wanderer","leg",20,62.5,"","","","",""
"wanderer","page",20,62.5,"","","","",""
"wanderer","part",20,62.5,"","","","",""
"wanderer","plant",20,62.5,"","","","",""
"wanderer","coral",19,59.375,"","","","",""
"wanderer","end",19,59.375,"","","","",""
"wanderer","land",19,59.375,"","","","",""
"wanderer","air",18,56.25,"","","","",""
"wanderer","bottle",18,56.25,"","","","",""
"wanderer","front",18,56.25,"","","","",""
"wanderer","half",18,56.25,"","","","",""
"wanderer","scene",18,56.25,"","","","",""
"wanderer","surface",18,56.25,"","","","",""
"wanderer","tail",18,56.25,"","","","",""
"wanderer","tunnel",18,56.25,"","","","",""
"wanderer","uh",18,56.25,"","","","",""
"wanderer","umm",18,56.25,"","","","",""
"wanderer","anchor",17,53.125,"","","","",""
"wanderer","arm",17,53.125,"","","","",""
"wanderer","body",17,53.125,"","","","",""
"wanderer","cloud",17,53.125,"","","","",""
"wanderer","dock",17,53.125,"","","","",""
"wanderer","eel",17,53.125,"","","","",""
"wanderer","foot",17,53.125,"","","","",""
"wanderer","ice",17,53.125,"","","","",""
"wanderer","middle",17,53.125,"","","","",""
"wanderer","mouth",17,53.125,"","","","",""
"wanderer","pipe",17,53.125,"","","","",""
"wanderer","propeller",17,53.125,"","","","",""
"wanderer","shirt",17,53.125,"","","","",""
"wanderer","snake",17,53.125,"","","","",""
"wanderer","step",17,53.125,"","","","",""
"wanderer","street",17,53.125,"","","","",""
"wanderer","suit",17,53.125,"","","","",""
"wanderer","wall",17,53.125,"","","","",""
"wanderer","window",17,53.125,"","","","",""
"wanderer","wing",17,53.125,"","","","",""
"wanderer","cave",16,50,"","","","",""
"wanderer","fins",16,50,"","","","",""
"wanderer","line",16,50,"","","","",""
"wanderer","look",16,50,"","","","",""
"wanderer","nose",16,50,"","","","",""
"wanderer","reef",16,50,"","","","",""
"wanderer","rocket",16,50,"","","","",""
"wanderer","stair",16,50,"","","","",""
"wanderer","storm",16,50,"","","","",""
"wanderer","bit",15,46.875,"","","","",""
"wanderer","claw",15,46.875,"","","","",""
