"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"arrival_6","envelope",26,81.25,"","","","",""
"arrival_6","man",26,81.25,"","","","",""
"arrival_6","bird",25,78.125,"","","","",""
"arrival_6","hat",25,78.125,"","","","",""
"arrival_6","cup",24,75,"","","","",""
"arrival_6","flower",24,75,"","","","",""
"arrival_6","heis",24,75,"","","","",""
"arrival_6","itis",24,75,"","","","",""
"arrival_6","letter",24,75,"","","","",""
"arrival_6","window",24,75,"","","","",""
"arrival_6","ladder",23,71.875,"","","","",""
"arrival_6","money",23,71.875,"","","","",""
"arrival_6","picture",23,71.875,"","","","",""
"arrival_6","woman",23,71.875,"","","","",""
"arrival_6","family",22,68.75,"","","","",""
"arrival_6","kind",22,68.75,"","","","",""
"arrival_6","leaf",22,68.75,"","","","",""
"arrival_6","stamp",22,68.75,"","","","",""
"arrival_6","bed",21,65.625,"","","","",""
"arrival_6","boot",21,65.625,"","","","",""
"arrival_6","building",21,65.625,"","","","",""
"arrival_6","girl",21,65.625,"","","","",""
"arrival_6","ground",21,65.625,"","","","",""
"arrival_6","hand",21,65.625,"","","","",""
"arrival_6","paper",21,65.625,"","","","",""
"arrival_6","shape",21,65.625,"","","","",""
"arrival_6","sheis",21,65.625,"","","","",""
"arrival_6","thing",21,65.625,"","","","",""
"arrival_6","bowl",20,62.5,"","","","",""
"arrival_6","pot",20,62.5,"","","","",""
"arrival_6","table",20,62.5,"","","","",""
"arrival_6","child",19,59.375,"","","","",""
"arrival_6","coin",19,59.375,"","","","",""
"arrival_6","drawing",19,59.375,"","","","",""
"arrival_6","lot",19,59.375,"","","","",""
"arrival_6","origami",18,56.25,"","","","",""
"arrival_6","thatis",18,56.25,"","","","",""
"arrival_6","top",18,56.25,"","","","",""
"arrival_6","animal",17,53.125,"","","","",""
"arrival_6","coffee",17,53.125,"","","","",""
"arrival_6","leave",17,53.125,"","","","",""
"arrival_6","side",17,53.125,"","","","",""
"arrival_6","snow",17,53.125,"","","","",""
"arrival_6","mailbox",16,50,"","","","",""
"arrival_6","sky",16,50,"","","","",""
"arrival_6","wall",16,50,"","","","",""
"arrival_6","piece",15,46.875,"","","","",""
"arrival_6","stair",15,46.875,"","","","",""
"arrival_6","tree",15,46.875,"","","","",""
"arrival_6","balloon",14,43.75,"","","","",""
"arrival_6","creature",14,43.75,"","","","",""
"arrival_6","desk",14,43.75,"","","","",""
"arrival_6","floor",14,43.75,"","","","",""
"arrival_6","newspaper",14,43.75,"","","","",""
"arrival_6","pen",14,43.75,"","","","",""
"arrival_6","tail",14,43.75,"","","","",""
"arrival_6","time",14,43.75,"","","","",""
"arrival_6","um",14,43.75,"","","","",""
"arrival_6","umm",14,43.75,"","","","",""
"arrival_6","background",13,40.625,"","","","",""
"arrival_6","basket",13,40.625,"","","","",""
"arrival_6","dish",13,40.625,"","","","",""
"arrival_6","food",13,40.625,"","","","",""
"arrival_6","person",13,40.625,"","","","",""
"arrival_6","thereis",13,40.625,"","","","",""
"arrival_6","air",12,37.5,"","","","",""
"arrival_6","direction",12,37.5,"","","","",""
"arrival_6","end",12,37.5,"","","","",""
"arrival_6","father",12,37.5,"","","","",""
"arrival_6","hole",12,37.5,"","","","",""
"arrival_6","iti",12,37.5,"","","","",""
"arrival_6","lamp",12,37.5,"","","","",""
"arrival_6","people",12,37.5,"","","","",""
"arrival_6","room",12,37.5,"","","","",""
"arrival_6","sort",12,37.5,"","","","",""
"arrival_6","way",12,37.5,"","","","",""
"arrival_6","boat",11,34.375,"","","","",""
"arrival_6","city",11,34.375,"","","","",""
"arrival_6","edge",11,34.375,"","","","",""
"arrival_6","front",11,34.375,"","","","",""
"arrival_6","light",11,34.375,"","","","",""
"arrival_6","mirror",11,34.375,"","","","",""
"arrival_6","mouse",11,34.375,"","","","",""
"arrival_6","petal",11,34.375,"","","","",""
"arrival_6","seed",11,34.375,"","","","",""
"arrival_6","split",11,34.375,"","","","",""
"arrival_6","type",11,34.375,"","","","",""
"arrival_6","wife",11,34.375,"","","","",""
"arrival_6","baby",10,31.25,"","","","",""
"arrival_6","couple",10,31.25,"","","","",""
"arrival_6","finger",10,31.25,"","","","",""
"arrival_6","frame",10,31.25,"","","","",""
"arrival_6","head",10,31.25,"","","","",""
"arrival_6","hook",10,31.25,"","","","",""
"arrival_6","machine",10,31.25,"","","","",""
"arrival_6","one",10,31.25,"","","","",""
"arrival_6","page",10,31.25,"","","","",""
"arrival_6","smokestack",10,31.25,"","","","",""
"arrival_6","stem",10,31.25,"","","","",""
"arrival_6","box",9,28.125,"","","","",""
"arrival_6","center",9,28.125,"","","","",""
"arrival_6","chimney",9,28.125,"","","","",""
"arrival_6","coat",9,28.125,"","","","",""
"arrival_6","dandelion",9,28.125,"","","","",""
"arrival_6","face",9,28.125,"","","","",""
"arrival_6","insect",9,28.125,"","","","",""
"arrival_6","left",9,28.125,"","","","",""
"arrival_6","mother",9,28.125,"","","","",""
"arrival_6","mouth",9,28.125,"","","","",""
"arrival_6","object",9,28.125,"","","","",""
"arrival_6","part",9,28.125,"","","","",""
"arrival_6","pet",9,28.125,"","","","",""
"arrival_6","plant",9,28.125,"","","","",""
"arrival_6","scene",9,28.125,"","","","",""
"arrival_6","shoe",9,28.125,"","","","",""
"arrival_6","smoke",9,28.125,"","","","",""
"arrival_6","step",9,28.125,"","","","",""
"arrival_6","wing",9,28.125,"","","","",""
"arrival_6","winter",9,28.125,"","","","",""
"arrival_6","write",9,28.125,"","","","",""
"arrival_6","bit",8,25,"","","","",""
"arrival_6","circle",8,25,"","","","",""
"arrival_6","daughter",8,25,"","","","",""
"arrival_6","house",8,25,"","","","",""
"arrival_6","ink",8,25,"","","","",""
"arrival_6","photo",8,25,"","","","",""
"arrival_6","rack",8,25,"","","","",""
"arrival_6","rain",8,25,"","","","",""
"arrival_6","saucer",8,25,"","","","",""
"arrival_6","story",8,25,"","","","",""
"arrival_6","street",8,25,"","","","",""
"arrival_6","tea",8,25,"","","","",""
"arrival_6","uh",8,25,"","","","",""
"arrival_6","vase",8,25,"","","","",""
"arrival_6","chair",7,21.875,"","","","",""
"arrival_6","door",7,21.875,"","","","",""
"arrival_6","draw",7,21.875,"","","","",""
"arrival_6","half",7,21.875,"","","","",""
"arrival_6","handle",7,21.875,"","","","",""
"arrival_6","laundry",7,21.875,"","","","",""
"arrival_6","line",7,21.875,"","","","",""
"arrival_6","middle",7,21.875,"","","","",""
"arrival_6","right",7,21.875,"","","","",""
"arrival_6","season",7,21.875,"","","","",""
"arrival_6","sepia",7,21.875,"","","","",""
"arrival_6","shelf",7,21.875,"","","","",""
"arrival_6","ship",7,21.875,"","","","",""
"arrival_6","structure",7,21.875,"","","","",""
"arrival_6","theyare",7,21.875,"","","","",""
"arrival_6","tthereis",7,21.875,"","","","",""
"arrival_6","bill",6,18.75,"","","","",""
"arrival_6","book",6,18.75,"","","","",""
"arrival_6","bottom",6,18.75,"","","","",""
"arrival_6","bunch",6,18.75,"","","","",""
"arrival_6","button",6,18.75,"","","","",""
"arrival_6","cone",6,18.75,"","","","",""
"arrival_6","contraption",6,18.75,"","","","",""
"arrival_6","distance",6,18.75,"","","","",""
"arrival_6","figure",6,18.75,"","","","",""
"arrival_6","fish",6,18.75,"","","","",""
"arrival_6","fork",6,18.75,"","","","",""
"arrival_6","friend",6,18.75,"","","","",""
"arrival_6","item",6,18.75,"","","","",""
"arrival_6","message",6,18.75,"","","","",""
"arrival_6","oil",6,18.75,"","","","",""
"arrival_6","pick",6,18.75,"","","","",""
"arrival_6","place",6,18.75,"","","","",""
"arrival_6","point",6,18.75,"","","","",""
"arrival_6","portrait",6,18.75,"","","","",""
"arrival_6","steam",6,18.75,"","","","",""
"arrival_6","teepee",6,18.75,"","","","",""
"arrival_6","titis",6,18.75,"","","","",""
"arrival_6","writing",6,18.75,"","","","",""
"arrival_6","area",5,15.625,"","","","",""
"arrival_6","back",5,15.625,"","","","",""
"arrival_6","beak",5,15.625,"","","","",""
"arrival_6","clothes",5,15.625,"","","","",""
"arrival_6","egg",5,15.625,"","","","",""
"arrival_6","fruit",5,15.625,"","","","",""
"arrival_6","hold",5,15.625,"","","","",""
"arrival_6","home",5,15.625,"","","","",""
"arrival_6","kid",5,15.625,"","","","",""
"arrival_6","land",5,15.625,"","","","",""
"arrival_6","leg",5,15.625,"","","","",""
"arrival_6","mail",5,15.625,"","","","",""
"arrival_6","maker",5,15.625,"","","","",""
"arrival_6","mans",5,15.625,"","","","",""
"arrival_6","meal",5,15.625,"","","","",""
"arrival_6","night",5,15.625,"","","","",""
"arrival_6","note",5,15.625,"","","","",""
"arrival_6","number",5,15.625,"","","","",""
"arrival_6","opening",5,15.625,"","","","",""
"arrival_6","post",5,15.625,"","","","",""
"arrival_6","set",5,15.625,"","","","",""
"arrival_6","skeleton",5,15.625,"","","","",""
"arrival_6","sock",5,15.625,"","","","",""
"arrival_6","spout",5,15.625,"","","","",""
"arrival_6","towel",5,15.625,"","","","",""
"arrival_6","whatis",5,15.625,"","","","",""
"arrival_6","whois",5,15.625,"","","","",""
"arrival_6","wind",5,15.625,"","","","",""
"arrival_6","apartment",4,12.5,"","","","",""
"arrival_6","change",4,12.5,"","","","",""
"arrival_6","cityscape",4,12.5,"","","","",""
"arrival_6","close",4,12.5,"","","","",""
"arrival_6","clothesline",4,12.5,"","","","",""
"arrival_6","cloud",4,12.5,"","","","",""
"arrival_6","crane",4,12.5,"","","","",""
"arrival_6","day",4,12.5,"","","","",""
"arrival_6","design",4,12.5,"","","","",""
"arrival_6","fabric",4,12.5,"","","","",""
"arrival_6","fantasy",4,12.5,"","","","",""
"arrival_6","fly",4,12.5,"","","","",""
"arrival_6","fountain",4,12.5,"","","","",""
"arrival_6","giant",4,12.5,"","","","",""
"arrival_6","guy",4,12.5,"","","","",""
"arrival_6","image",4,12.5,"","","","",""
"arrival_6","kitchen",4,12.5,"","","","",""
"arrival_6","landscape",4,12.5,"","","","",""
"arrival_6","level",4,12.5,"","","","",""
"arrival_6","life",4,12.5,"","","","",""
"arrival_6","look",4,12.5,"","","","",""
"arrival_6","mantle",4,12.5,"","","","",""
"arrival_6","metal",4,12.5,"","","","",""
"arrival_6","outline",4,12.5,"","","","",""
"arrival_6","pants",4,12.5,"","","","",""
"arrival_6","plate",4,12.5,"","","","",""
"arrival_6","pots",4,12.5,"","","","",""
"arrival_6","row",4,12.5,"","","","",""
