"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"deep_sea_divers","fish",26,81.25,"","","","",""
"deep_sea_divers","people",26,81.25,"","","","",""
"deep_sea_divers","boat",25,78.125,"","","","",""
"deep_sea_divers","water",25,78.125,"","","","",""
"deep_sea_divers","mermaid",24,75,"","","","",""
"deep_sea_divers","lot",22,68.75,"","","","",""
"deep_sea_divers","rock",20,62.5,"","","","",""
"deep_sea_divers","sea",19,59.375,"","","","",""
"deep_sea_divers","itis",17,53.125,"","","","",""
"deep_sea_divers","bottom",16,50,"","","","",""
"deep_sea_divers","net",16,50,"","","","",""
"deep_sea_divers","thereis",16,50,"","","","",""
"deep_sea_divers","top",16,50,"","","","",""
"deep_sea_divers","arrow",13,40.625,"","","","",""
"deep_sea_divers","diver",13,40.625,"","","","",""
"deep_sea_divers","face",13,40.625,"","","","",""
"deep_sea_divers","shark",13,40.625,"","","","",""
"deep_sea_divers","thing",13,40.625,"","","","",""
"deep_sea_divers","kind",12,37.5,"","","","",""
"deep_sea_divers","man",12,37.5,"","","","",""
"deep_sea_divers","person",12,37.5,"","","","",""
"deep_sea_divers","school",12,37.5,"","","","",""
"deep_sea_divers","thatis",12,37.5,"","","","",""
"deep_sea_divers","chest",11,34.375,"","","","",""
"deep_sea_divers","fishing",11,34.375,"","","","",""
"deep_sea_divers","octopus",11,34.375,"","","","",""
"deep_sea_divers","scene",11,34.375,"","","","",""
"deep_sea_divers","shape",11,34.375,"","","","",""
"deep_sea_divers","stripe",11,34.375,"","","","",""
"deep_sea_divers","hand",10,31.25,"","","","",""
"deep_sea_divers","creature",9,28.125,"","","","",""
"deep_sea_divers","ocean",9,28.125,"","","","",""
"deep_sea_divers","bunch",8,25,"","","","",""
"deep_sea_divers","fisherman",8,25,"","","","",""
"deep_sea_divers","heis",8,25,"","","","",""
"deep_sea_divers","line",8,25,"","","","",""
"deep_sea_divers","one",8,25,"","","","",""
"deep_sea_divers","scuba",8,25,"","","","",""
"deep_sea_divers","swordfish",8,25,"","","","",""
"deep_sea_divers","treasure",8,25,"","","","",""
"deep_sea_divers","um",8,25,"","","","",""
"deep_sea_divers","color",7,21.875,"","","","",""
"deep_sea_divers","eye",7,21.875,"","","","",""
"deep_sea_divers","floor",7,21.875,"","","","",""
"deep_sea_divers","picture",7,21.875,"","","","",""
"deep_sea_divers","sail",7,21.875,"","","","",""
