"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"flowerman","heis",27,84.375,"","","","",""
"flowerman","house",27,84.375,"","","","",""
"flowerman","man",27,84.375,"","","","",""
"flowerman","people",27,84.375,"","","","",""
"flowerman","flower",26,81.25,"","","","",""
"flowerman","girl",26,81.25,"","","","",""
"flowerman","itis",26,81.25,"","","","",""
"flowerman","street",26,81.25,"","","","",""
"flowerman","car",25,78.125,"","","","",""
"flowerman","color",25,78.125,"","","","",""
"flowerman","roof",25,78.125,"","","","",""
"flowerman","tree",25,78.125,"","","","",""
"flowerman","window",25,78.125,"","","","",""
"flowerman","bridge",24,75,"","","","",""
"flowerman","person",24,75,"","","","",""
"flowerman","shutter",24,75,"","","","",""
"flowerman","bar",23,71.875,"","","","",""
"flowerman","fountain",23,71.875,"","","","",""
"flowerman","gas",23,71.875,"","","","",""
"flowerman","hat",23,71.875,"","","","",""
"flowerman","kind",23,71.875,"","","","",""
"flowerman","light",23,71.875,"","","","",""
"flowerman","lot",23,71.875,"","","","",""
"flowerman","picture",23,71.875,"","","","",""
"flowerman","sign",23,71.875,"","","","",""
"flowerman","thatis",23,71.875,"","","","",""
"flowerman","thereis",23,71.875,"","","","",""
"flowerman","woman",23,71.875,"","","","",""
"flowerman","building",22,68.75,"","","","",""
"flowerman","couple",22,68.75,"","","","",""
"flowerman","dog",22,68.75,"","","","",""
"flowerman","front",22,68.75,"","","","",""
"flowerman","sale",22,68.75,"","","","",""
"flowerman","sheis",22,68.75,"","","","",""
"flowerman","shop",22,68.75,"","","","",""
"flowerman","thing",22,68.75,"","","","",""
"flowerman","time",22,68.75,"","","","",""
"flowerman","town",22,68.75,"","","","",""
"flowerman","truck",22,68.75,"","","","",""
"flowerman","bait",21,65.625,"","","","",""
"flowerman","boy",21,65.625,"","","","",""
"flowerman","night",21,65.625,"","","","",""
"flowerman","station",21,65.625,"","","","",""
"flowerman","cafe",20,62.5,"","","","",""
"flowerman","door",20,62.5,"","","","",""
"flowerman","hair",20,62.5,"","","","",""
"flowerman","place",20,62.5,"","","","",""
"flowerman","water",20,62.5,"","","","",""
"flowerman","hand",19,59.375,"","","","",""
"flowerman","milk",19,59.375,"","","","",""
"flowerman","top",19,59.375,"","","","",""
"flowerman","side",18,56.25,"","","","",""
"flowerman","sky",18,56.25,"","","","",""
"flowerman","child",17,53.125,"","","","",""
"flowerman","mover",17,53.125,"","","","",""
"flowerman","one",17,53.125,"","","","",""
"flowerman","story",17,53.125,"","","","",""
"flowerman","bag",16,50,"","","","",""
"flowerman","corner",16,50,"","","","",""
"flowerman","ferris",16,50,"","","","",""
"flowerman","motorcycle",16,50,"","","","",""
"flowerman","scene",16,50,"","","","",""
"flowerman","telescope",16,50,"","","","",""
"flowerman","um",16,50,"","","","",""
"flowerman","wheel",16,50,"","","","",""
"flowerman","yard",16,50,"","","","",""
"flowerman","artist",15,46.875,"","","","",""
"flowerman","bit",15,46.875,"","","","",""
"flowerman","cart",15,46.875,"","","","",""
"flowerman","guy",15,46.875,"","","","",""
"flowerman","milkman",15,46.875,"","","","",""
"flowerman","mower",15,46.875,"","","","",""
"flowerman","part",15,46.875,"","","","",""
"flowerman","scooter",15,46.875,"","","","",""
"flowerman","umm",15,46.875,"","","","",""
"flowerman","wheelchair",15,46.875,"","","","",""
"flowerman","balcony",14,43.75,"","","","",""
"flowerman","chimney",14,43.75,"","","","",""
"flowerman","day",14,43.75,"","","","",""
"flowerman","grass",14,43.75,"","","","",""
"flowerman","lawn",14,43.75,"","","","",""
"flowerman","leg",14,43.75,"","","","",""
"flowerman","life",14,43.75,"","","","",""
"flowerman","sidewalk",14,43.75,"","","","",""
"flowerman","theyare",14,43.75,"","","","",""
"flowerman","tthereis",14,43.75,"","","","",""
"flowerman","apartment",13,40.625,"","","","",""
"flowerman","background",13,40.625,"","","","",""
"flowerman","family",13,40.625,"","","","",""
"flowerman","fire",13,40.625,"","","","",""
"flowerman","floor",13,40.625,"","","","",""
"flowerman","page",13,40.625,"","","","",""
"flowerman","painting",13,40.625,"","","","",""
"flowerman","shirt",13,40.625,"","","","",""
"flowerman","smoke",13,40.625,"","","","",""
"flowerman","way",13,40.625,"","","","",""
"flowerman","whois",13,40.625,"","","","",""
"flowerman","activity",12,37.5,"","","","",""
"flowerman","brick",12,37.5,"","","","",""
"flowerman","cat",12,37.5,"","","","",""
"flowerman","clock",12,37.5,"","","","",""
"flowerman","face",12,37.5,"","","","",""
"flowerman","fence",12,37.5,"","","","",""
"flowerman","lady",12,37.5,"","","","",""
"flowerman","rooftop",12,37.5,"","","","",""
"flowerman","skirt",12,37.5,"","","","",""
"flowerman","step",12,37.5,"","","","",""
"flowerman","uh",12,37.5,"","","","",""
"flowerman","area",11,34.375,"","","","",""
"flowerman","awning",11,34.375,"","","","",""
"flowerman","back",11,34.375,"","","","",""
"flowerman","clown",11,34.375,"","","","",""
"flowerman","coat",11,34.375,"","","","",""
"flowerman","daytime",11,34.375,"","","","",""
"flowerman","edge",11,34.375,"","","","",""
"flowerman","home",11,34.375,"","","","",""
"flowerman","iti",11,34.375,"","","","",""
"flowerman","kid",11,34.375,"","","","",""
"flowerman","left",11,34.375,"","","","",""
"flowerman","room",11,34.375,"","","","",""
"flowerman","shaker",11,34.375,"","","","",""
"flowerman","tent",11,34.375,"","","","",""
"flowerman","towel",11,34.375,"","","","",""
"flowerman","whatis",11,34.375,"","","","",""
"flowerman","daughter",10,31.25,"","","","",""
"flowerman","everything",10,31.25,"","","","",""
"flowerman","gentleman",10,31.25,"","","","",""
"flowerman","glass",10,31.25,"","","","",""
"flowerman","horse",10,31.25,"","","","",""
"flowerman","hydrant",10,31.25,"","","","",""
"flowerman","ladder",10,31.25,"","","","",""
"flowerman","mother",10,31.25,"","","","",""
"flowerman","neighborhood",10,31.25,"","","","",""
"flowerman","statue",10,31.25,"","","","",""
"flowerman","stone",10,31.25,"","","","",""
"flowerman","tie",10,31.25,"","","","",""
"flowerman","umbrella",10,31.25,"","","","",""
"flowerman","animal",9,28.125,"","","","",""
"flowerman","ball",9,28.125,"","","","",""
"flowerman","bath",9,28.125,"","","","",""
"flowerman","bottom",9,28.125,"","","","",""
"flowerman","character",9,28.125,"","","","",""
"flowerman","cloud",9,28.125,"","","","",""
"flowerman","cobblestone",9,28.125,"","","","",""
"flowerman","cream",9,28.125,"","","","",""
"flowerman","eye",9,28.125,"","","","",""
"flowerman","ice",9,28.125,"","","","",""
"flowerman","jacket",9,28.125,"","","","",""
"flowerman","middle",9,28.125,"","","","",""
"flowerman","neighbor",9,28.125,"","","","",""
"flowerman","pipe",9,28.125,"","","","",""
"flowerman","rest",9,28.125,"","","","",""
"flowerman","right",9,28.125,"","","","",""
"flowerman","road",9,28.125,"","","","",""
"flowerman","sort",9,28.125,"","","","",""
"flowerman","titis",9,28.125,"","","","",""
"flowerman","type",9,28.125,"","","","",""
"flowerman","village",9,28.125,"","","","",""
"flowerman","anchor",8,25,"","","","",""
"flowerman","cast",8,25,"","","","",""
"flowerman","chair",8,25,"","","","",""
"flowerman","city",8,25,"","","","",""
"flowerman","dancing",8,25,"","","","",""
"flowerman","delivery",8,25,"","","","",""
"flowerman","evening",8,25,"","","","",""
"flowerman","look",8,25,"","","","",""
"flowerman","river",8,25,"","","","",""
"flowerman","scarf",8,25,"","","","",""
"flowerman","view",8,25,"","","","",""
"flowerman","walk",8,25,"","","","",""
"flowerman","baby",7,21.875,"","","","",""
