"participant","file","session","stimuli","occurrence","start","end","duration"
"Participant1","Participant1_Session1_Corrected.vtt","Session1","wanderer",1,2023-08-14 00:02:56.93,2023-08-14 00:13:29.98,10.5508333325386
"Participant1","Participant1_Session1_Corrected.vtt","Session1","arrival_2",1,2023-08-14 00:15:25,2023-08-14 00:20:10.5,4.75833333333333
"Participant1","Participant1_Session1_Corrected.vtt","Session1","quest",1,2023-08-14 00:21:32.002,2023-08-14 00:48:53.1,27.3516333301862
"Participant1","Participant1_Session1_Corrected.vtt","Session1","return",1,2023-08-14 00:51:16.17,2023-08-14 01:14:06.32,22.8358333309491
"Participant1","Participant1_Session1_Corrected.vtt","Session1","escape_from_the_zoo",1,2023-08-14 01:15:47.77,2023-08-14 01:19:53.03,4.08766666650772
"Participant1","Participant1_Session1_Corrected.vtt","Session1","unfriendly_giants",1,2023-08-14 01:21:08.11,2023-08-14 01:24:46.69,3.64300000270208
"Participant1","Participant1_Session1_Corrected.vtt","Session1","wild_west",1,2023-08-14 01:25:51.69,2023-08-14 01:29:58.715,4.11708333094915
"Participant1","Participant1_Session2_Corrected.vtt","Session2","flowerman",1,2023-08-14 00:03:59.98,2023-08-14 00:35:49.129,31.8191499988238
"Participant1","Participant1_Session2_Corrected.vtt","Session2","arrival_4",1,2023-08-14 00:37:14.59,2023-08-14 01:04:39.06,27.4078333338102
"Participant1","Participant1_Session2_Corrected.vtt","Session2","arrival_3",1,2023-08-14 01:05:38.67,2023-08-14 01:12:37.26,6.97649999856949
"Participant1","Participant1_Session2_Corrected.vtt","Session2","arrival_1",1,2023-08-14 01:13:52.7,2023-08-14 01:20:30.41,6.62850000063578
"Participant1","Participant1_Session2_Corrected.vtt","Session2","exhibit_12",1,2023-08-14 01:21:38.85,2023-08-14 01:24:43,3.06916666825612
"Participant1","Participant1_Session2_Corrected.vtt","Session2","by_the_lake",1,2023-08-14 01:25:32.55,2023-08-14 01:29:13.73,3.68633333444595
"Participant1","Participant1_Session2_Corrected.vtt","Session2","make_a_splash",1,2023-08-14 01:30:05.33,2023-08-14 01:33:07.629,3.03831666707993
"Participant1","Participant1_Session2_Corrected.vtt","Session2","being_a_pirate",1,2023-08-14 01:33:59.72,2023-08-14 01:38:42.453,4.71221666733424
"Participant1","Participant1_Session2_Corrected.vtt","Session2","ancient_rome",1,2023-08-14 01:39:24.2,2023-08-14 01:43:02.98,3.6463333328565
"Participant1","Participant1_Session2_Corrected.vtt","Session2","journey",1,2023-08-14 01:43:50.48,2023-08-14 02:05:57.59,22.1184999982516
"Participant1","Participant1_Session3_Corrected.vtt","Session3","dinosaurs_spacemen_and_ghouls",1,2023-08-14 00:03:33.46,2023-08-14 00:10:14.77,6.68849999904633
"Participant1","Participant1_Session3_Corrected.vtt","Session3","picture_this",1,2023-08-14 00:11:11.2,2023-08-14 00:15:32.95,4.3625
"Participant1","Participant1_Session3_Corrected.vtt","Session3","waldo_1",1,2023-08-14 00:16:37.236,2023-08-14 00:19:48.88,3.19406666755676
