"","lemma","source","agreement","target","stimuli"
"1","polarbear","brodeur",90,"polarbear.jpg","escape_from_the_zoo"
"2","palmtree","moreno-martinez",97,"palm_tree.jpg","journey, quest, picture_this, being_a_pirate, make_a_splash"
"3","paperairplane",NA,NA,NA,"wanderer"
"4","hotdog","brodeur",74,"hotdog.jpg","escape_from_the_zoo"
"5","fishingpole","DR2",94.2857143,"fishingpole_01_og.jpg","wanderer"
"6","lawnmower","brodeur",98,"lawnmower.jpg","flowerman"
"7","icecream cone",NA,NA,NA,"escape_from_the_zoo, dinosaurs_spacemen_and_ghouls"
"8","chessboard",NA,NA,NA,"unfriendly_giants"
"9","firehydrant","DR2",100,"firehydrant_02_og.jpg","journey, flowerman"
"10","jetski",NA,NA,NA,"by_the_lake"
"11","pirateflag","brodeur",74,"pirateflag.jpg","being_a_pirate"
"12","fishingrod","brodeur",72,"fishingrod.jpg","wanderer"
"13","trafficlight",NA,NA,NA,"journey"
"14","ace",NA,NA,NA,"airport"
"15","air",NA,NA,NA,"airport, arrival_2, arrival_4, arrival_5, arrival_6, journey, quest, return, wanderer"
"16","airplane","DR2",95.4545455,"airplane_01_og.jpg","airport, wanderer"
"17","airport",NA,NA,NA,"airport"
"18","area",NA,NA,NA,"airport, ancient_rome, arrival_4, campsite, dinosaurs_spacemen_and_ghouls, escape_from_the_zoo, flowerman, journey, make_a_splash, quest, return, waldo_1, wanderer"
"19","attendant",NA,NA,NA,"airport"
"20","back",NA,NA,NA,"airport, ancient_rome, arrival_3, escape_from_the_zoo, flowerman, journey, quest, return, wanderer"
"21","background",NA,NA,NA,"airport, arrival_2, arrival_4, arrival_5, arrival_6, by_the_lake, campsite, dinosaurs_spacemen_and_ghouls, escape_from_the_zoo, flowerman, journey, quest, return, wanderer"
"22","baggage",NA,NA,NA,"airport"
"23","balloon","boss",87,"balloon01b.jpg","airport, arrival_6, birthday_party_fun, journey, quest, return"
"24","biplane",NA,NA,NA,"airport"
"25","blimp","DR2",91.3,"blimp_01_og.jpg","airport, quest"
"26","bottom",NA,NA,NA,"airport, ancient_rome, deep_sea_divers, dinosaurs_spacemen_and_ghouls, flowerman, journey, picture_this, quest, return, unfriendly_giants, waldo_1, wanderer"
"27","break",NA,NA,NA,"airport"
"28","building",NA,NA,NA,"airport, arrival_1, arrival_3, arrival_4, arrival_5, arrival_6, by_the_lake, escape_from_the_zoo, exhibit_12, flowerman, journey, quest, return, waldo_1, wanderer, wild_west"
"29","bus","moreno-martinez",76,"bus.jpg","airport"
"30","card",NA,NA,NA,"airport"
"31","cart","moreno-martinez",75,"cart.jpg","airport, arrival_3, arrival_5, flowerman"
"32","center",NA,NA,NA,"airport, arrival_4, arrival_6, escape_from_the_zoo, quest, waldo_1"
"33","coat","moreno-martinez",96,"coat.jpg","airport, arrival_1, arrival_4, arrival_5, arrival_6, flowerman, journey, wild_west"
"34","control",NA,NA,NA,"airport"
"35","couple",NA,NA,NA,"airport, ancient_rome, arrival_1, arrival_3, arrival_6, being_a_pirate, by_the_lake, campsite, dinosaurs_spacemen_and_ghouls, escape_from_the_zoo, exhibit_12, flowerman, journey, make_a_splash, picture_this, quest, return, unfriendly_giants, waldo_1, wanderer, wild_west"
