,id,stimuli,n,percent,lemma_dis,lemma_naming,source,agreement,dist,match
1,737,deep_sea_divers,15,46.875,fishingrod,fishing,brodeur,72,0.1,
2,1397,return,10,31.25,ceilingfan,ceiling,brodeur,71,0.1,
3,1650,wanderer,30,93.75,fishingrod,fishing,brodeur,72,0.1,
4,218,arrival_3,19,59.375,lighter,light,boss,95,0.095238095,
5,292,arrival_4,11,34.375,glasses,glass,dr2,100,0.095238095,
6,391,arrival_5,14,43.75,glasses,glass,dr2,100,0.095238095,
7,497,arrival_6,11,34.375,lighter,light,boss,95,0.095238095,
8,784,dinosaurs_spacemen_and_ghouls,25,78.125,lighter,light,boss,95,0.095238095,
9,836,escape_from_the_zoo,21,65.625,grill,gorilla,dr2,100,0.095238095,
10,908,flowerman,16,50,bacon,balcony,brodeur,77,0.095238095,
11,953,flowerman,11,34.375,glasses,glass,dr2,100,0.095238095,
12,971,flowerman,26,81.25,lighter,light,boss,95,0.095238095,
13,1054,journey,12,37.5,broom,bedroom,boss,94,0.095238095,
14,1087,journey,11,34.375,dress,dresser,dr2,95.4545455,0.095238095,
15,1113,journey,28,87.5,lighter,light,boss,95,0.095238095,
16,1282,quest,19,59.375,slipper,flipper,dr2,95.6521739,0.095238095,
17,1302,quest,26,81.25,lighter,light,boss,95,0.095238095,
18,1346,quest,17,53.125,speaker,spear,boss,87,0.095238095,
19,1382,return,19,59.375,broom,bedroom,boss,94,0.095238095,
20,1441,return,26,81.25,lighter,light,boss,95,0.095238095,
21,1683,wanderer,30,93.75,lighter,light,boss,95,0.095238095,
22,948,flowerman,26,81.25,fountainpen,fountain,mm,88,0.090909091,
23,1546,waldo_1,29,90.625,fountainpen,fountain,mm,88,0.090909091,
24,15,airport,10,31.25,car,card,mm,93,0.083333333,
25,16,airport,14,43.75,cat,cart,brodeur,88,0.083333333,
26,16,airport,14,43.75,car,cart,mm,93,0.083333333,
27,17,airport,10,31.25,cat,coat,brodeur,88,0.083333333,
28,27,airport,12,37.5,hoe,hose,dr2,92.3076923,0.083333333,
29,88,arrival_1,11,34.375,bowl,bow,boss,85,0.083333333,
30,89,arrival_1,20,62.5,owl,bowl,brodeur,100,0.083333333,
31,89,arrival_1,20,62.5,bow,bowl,mm,99,0.083333333,
32,94,arrival_1,12,37.5,cat,coat,brodeur,88,0.083333333,
33,102,arrival_1,10,31.25,pear,ear,boss,100,0.083333333,
34,102,arrival_1,10,31.25,bear,ear,dr2,100,0.083333333,
35,159,arrival_2,28,87.5,bat,boat,mm,96,0.083333333,
36,203,arrival_3,20,62.5,cat,cart,brodeur,88,0.083333333,
37,203,arrival_3,20,62.5,car,cart,mm,93,0.083333333,
38,204,arrival_3,27,84.375,coat,cat,mm,96,0.083333333,
39,204,arrival_3,27,84.375,cart,cat,mm,75,0.083333333,
40,238,arrival_3,18,56.25,tie,time,dr2,100,0.083333333,
41,256,arrival_4,12,37.5,bit,bite,mm,73,0.083333333,
42,257,arrival_4,27,84.375,bat,boat,mm,96,0.083333333,
43,259,arrival_4,13,40.625,owl,bowl,brodeur,100,0.083333333,
44,259,arrival_4,13,40.625,bow,bowl,mm,99,0.083333333,
45,266,arrival_4,10,31.25,cart,car,mm,75,0.083333333,
46,267,arrival_4,24,75,coat,cat,mm,96,0.083333333,
47,267,arrival_4,24,75,cart,cat,mm,75,0.083333333,
48,279,arrival_4,12,37.5,pear,ear,boss,100,0.083333333,
49,279,arrival_4,12,37.5,bear,ear,dr2,100,0.083333333,
50,331,arrival_4,18,56.25,hoe,shoe,dr2,92.3076923,0.083333333,
51,351,arrival_4,16,50,tie,time,dr2,100,0.083333333,
52,372,arrival_5,25,78.125,bat,boat,mm,96,0.083333333,
53,373,arrival_5,21,65.625,owl,bowl,brodeur,100,0.083333333,
54,373,arrival_5,21,65.625,bow,bowl,mm,99,0.083333333,
55,376,arrival_5,13,40.625,cat,cart,brodeur,88,0.083333333,
56,376,arrival_5,13,40.625,car,cart,mm,93,0.083333333,
57,377,arrival_5,26,81.25,coat,cat,mm,96,0.083333333,
58,377,arrival_5,26,81.25,cart,cat,mm,75,0.083333333,
59,405,arrival_5,16,50,bowl,owl,boss,85,0.083333333,
60,430,arrival_5,12,37.5,tie,time,dr2,100,0.083333333,
61,452,arrival_6,14,43.75,bat,boat,mm,96,0.083333333,
62,454,arrival_6,22,68.75,owl,bowl,brodeur,100,0.083333333,
63,454,arrival_6,22,68.75,bow,bowl,mm,99,0.083333333,
64,461,arrival_6,10,31.25,cat,coat,brodeur,88,0.083333333,
65,488,arrival_6,15,46.875,hoe,hole,dr2,92.3076923,0.083333333,
66,527,arrival_6,10,31.25,hoe,shoe,dr2,92.3076923,0.083333333,
67,544,arrival_6,14,43.75,tie,time,dr2,100,0.083333333,
68,559,being_a_pirate,28,87.5,bat,boat,mm,96,0.083333333,
69,578,being_a_pirate,12,37.5,seal,sea,brodeur,88,0.083333333,
70,592,birthday_party_fun,16,50,boat,bat,mm,86,0.083333333,
71,643,by_the_lake,26,81.25,bat,boat,mm,96,0.083333333,
72,663,by_the_lake,10,31.25,fountain,mountain,dr2,100,0.083333333,
73,689,campsite,24,75,bat,boat,mm,96,0.083333333,
74,728,deep_sea_divers,30,93.75,bat,boat,mm,96,0.083333333,
75,755,deep_sea_divers,24,75,seal,sea,brodeur,88,0.083333333,
76,782,dinosaurs_spacemen_and_ghouls,10,31.25,dice,ice,boss,97,0.083333333,
77,782,dinosaurs_spacemen_and_ghouls,10,31.25,rice,ice,boss,92,0.083333333,
78,795,dinosaurs_spacemen_and_ghouls,13,40.625,pipe,pie,brodeur,83,0.083333333,
79,822,escape_from_the_zoo,27,84.375,ear,bear,mm,99,0.083333333,
80,837,escape_from_the_zoo,29,90.625,dice,ice,boss,97,0.083333333,
81,837,escape_from_the_zoo,29,90.625,rice,ice,boss,92,0.083333333,
82,865,exhibit_12,11,34.375,dart,art,mm,95,0.083333333,
83,865,exhibit_12,11,34.375,cart,art,mm,75,0.083333333,
84,907,flowerman,23,71.875,bat,bait,mm,96,0.083333333,
85,907,flowerman,23,71.875,bit,bait,mm,73,0.083333333,
86,910,flowerman,25,78.125,barn,bar,brodeur,71,0.083333333,
87,910,flowerman,25,78.125,bear,bar,dr2,100,0.083333333,
88,911,flowerman,10,31.25,bat,bath,mm,96,0.083333333,
89,919,flowerman,28,87.5,cart,car,mm,75,0.083333333,
90,920,flowerman,17,53.125,cat,cart,brodeur,88,0.083333333,
91,920,flowerman,17,53.125,car,cart,mm,93,0.083333333,
92,921,flowerman,14,43.75,coat,cat,mm,96,0.083333333,
93,921,flowerman,14,43.75,cart,cat,mm,75,0.083333333,
94,928,flowerman,13,40.625,cat,coat,brodeur,88,0.083333333,
95,948,flowerman,26,81.25,mountain,fountain,mm,83,0.083333333,
96,959,flowerman,11,34.375,hoe,home,dr2,92.3076923,0.083333333,
97,962,flowerman,11,34.375,dice,ice,boss,97,0.083333333,
98,962,flowerman,11,34.375,rice,ice,boss,92,0.083333333,
99,1022,flowerman,12,37.5,tile,tie,boss,91,0.083333333,
100,1022,flowerman,12,37.5,tire,tie,dr2,88.1,0.083333333,
101,1023,flowerman,24,75,tie,time,dr2,100,0.083333333,
102,1057,journey,30,93.75,bat,boat,mm,96,0.083333333,
103,1066,journey,29,90.625,coat,cat,mm,96,0.083333333,
104,1066,journey,29,90.625,cart,cat,mm,75,0.083333333,
105,1124,journey,12,37.5,fountain,mountain,dr2,100,0.083333333,
106,1212,picture_this,15,46.875,ear,bear,mm,99,0.083333333,
107,1258,quest,28,87.5,bat,boat,mm,96,0.083333333,
108,1285,quest,12,37.5,ear,gear,mm,99,0.083333333,
109,1295,quest,28,87.5,keys,key,brodeur,81,0.083333333,1
110,1309,quest,26,81.25,fountain,mountain,dr2,100,0.083333333,
111,1336,quest,15,46.875,seal,sea,brodeur,88,0.083333333,
112,1338,quest,11,34.375,sea,seat,mm,93,0.083333333,
113,1356,quest,13,40.625,tie,time,dr2,100,0.083333333,
114,1386,return,28,87.5,bat,boat,mm,96,0.083333333,
115,1395,return,15,46.875,coat,cat,mm,96,0.083333333,
116,1395,return,15,46.875,cart,cat,mm,75,0.083333333,
117,1461,return,12,37.5,seal,sea,brodeur,88,0.083333333,
118,1481,return,12,37.5,tie,time,dr2,100,0.083333333,
119,1520,unfriendly_giants,10,31.25,tie,time,dr2,100,0.083333333,
120,1533,waldo_1,10,31.25,bowl,bow,boss,85,0.083333333,
121,1535,waldo_1,31,96.875,cart,car,mm,75,0.083333333,
122,1546,waldo_1,29,90.625,mountain,fountain,mm,83,0.083333333,
123,1602,wanderer,10,31.25,boat,bat,mm,86,0.083333333,
124,1605,wanderer,31,96.875,bat,boat,mm,96,0.083333333,
125,1617,wanderer,12,37.5,cane,can,boss,71,0.083333333,
126,1618,wanderer,10,31.25,cap,cape,mm,96,0.083333333,
127,1619,wanderer,28,87.5,coat,cat,mm,96,0.083333333,
128,1619,wanderer,28,87.5,cart,cat,mm,75,0.083333333,
