,source,agreement,stimuli,n,percent,lemma_naming,lemma_dis,dist,match
1,boss,94,arrival_1,8,25.80645161,broom,room,0.066666667,NA
2,boss,94,arrival_4,8,25.80645161,broom,room,0.066666667,NA
3,boss,94,arrival_6,14,45.16129032,broom,room,0.066666667,NA
4,boss,94,dinosaurs_spacemen_and_ghouls,18,58.06451613,broom,room,0.066666667,NA
5,boss,94,exhibit_12,8,25.80645161,broom,room,0.066666667,NA
6,boss,94,flowerman,12,38.70967742,broom,room,0.066666667,NA
7,boss,94,journey,27,87.09677419,broom,room,0.066666667,NA
8,boss,94,return,27,87.09677419,broom,room,0.066666667,NA
9,boss,71,wanderer,24,77.41935484,cane,crane,0.066666667,NA
10,boss,92,journey,10,32.25806452,clock,lock,0.066666667,NA
11,boss,77,being_a_pirate,12,38.70967742,shoe,shore,0.066666667,NA
12,boss,77,wanderer,9,29.03225806,shoe,shore,0.066666667,NA
13,boss,78,arrival_3,16,51.61290323,nail,snail,0.066666667,NA
14,boss,100,ancient_rome,8,25.80645161,pear,spear,0.066666667,NA
15,boss,100,journey,8,25.80645161,pear,spear,0.066666667,NA
16,boss,100,quest,17,54.83870968,pear,spear,0.066666667,NA
17,boss,100,wanderer,10,32.25806452,pear,pearl,0.066666667,NA
18,boss,84,flowerman,23,74.19354839,scale,sale,0.066666667,NA
19,boss,100,dinosaurs_spacemen_and_ghouls,8,25.80645161,screw,crew,0.066666667,NA
20,brodeur,88,flowerman,21,67.74193548,chair,hair,0.066666667,NA
21,brodeur,88,picture_this,8,25.80645161,chair,hair,0.066666667,NA
22,brodeur,100,airport,12,38.70967742,horse,hose,0.066666667,NA
23,brodeur,98,by_the_lake,10,32.25806452,kite,kites,0.066666667,1
24,brodeur,88,ancient_rome,27,87.09677419,lion,lions,0.066666667,1
25,brodeur,88,escape_from_the_zoo,14,45.16129032,lion,lions,0.066666667,1
26,brodeur,98,airport,11,35.48387097,swing,wing,0.066666667,NA
27,brodeur,98,arrival_6,9,29.03225806,swing,wing,0.066666667,NA
28,brodeur,98,quest,18,58.06451613,swing,wing,0.066666667,NA
29,brodeur,98,return,20,64.51612903,swing,wing,0.066666667,NA
30,brodeur,98,wanderer,17,54.83870968,swing,wing,0.066666667,NA
31,moreno-martinez,86,arrival_6,8,25.80645161,brain,rain,0.066666667,NA
32,moreno-martinez,86,quest,19,61.29032258,brain,rain,0.066666667,NA
33,moreno-martinez,72,airport,11,35.48387097,chard,card,0.066666667,NA
34,moreno-martinez,93,airport,12,38.70967742,house,hose,0.066666667,NA
35,moreno-martinez,97,wanderer,8,25.80645161,sword,word,0.066666667,NA
36,moreno-martinez,93,arrival_6,8,25.80645161,train,rain,0.066666667,NA
37,moreno-martinez,93,quest,19,61.29032258,train,rain,0.066666667,NA
38,DR2,100,quest,9,29.03225806,bear,beard,0.066666667,NA
39,DR2,100,return,10,32.25806452,bear,beard,0.066666667,NA
40,DR2,100,journey,10,32.25806452,block,lock,0.066666667,NA
41,DR2,100,arrival_1,26,83.87096774,lock,clock,0.066666667,NA
42,DR2,100,arrival_3,17,54.83870968,lock,clock,0.066666667,NA
43,DR2,100,flowerman,12,38.70967742,lock,clock,0.066666667,NA
44,DR2,100,arrival_5,11,35.48387097,medal,meal,0.066666667,NA
45,DR2,95.5,ancient_rome,12,38.70967742,slide,side,0.066666667,NA
46,DR2,95.5,arrival_1,15,48.38709677,slide,side,0.066666667,NA
47,DR2,95.5,arrival_2,9,29.03225806,slide,side,0.066666667,NA
48,DR2,95.5,arrival_3,9,29.03225806,slide,side,0.066666667,NA
49,DR2,95.5,arrival_4,16,51.61290323,slide,side,0.066666667,NA
50,DR2,95.5,arrival_5,14,45.16129032,slide,side,0.066666667,NA
51,DR2,95.5,arrival_6,19,61.29032258,slide,side,0.066666667,NA
52,DR2,95.5,being_a_pirate,15,48.38709677,slide,side,0.066666667,NA
53,DR2,95.5,birthday_party_fun,13,41.93548387,slide,side,0.066666667,NA
54,DR2,95.5,by_the_lake,15,48.38709677,slide,side,0.066666667,NA
55,DR2,95.5,campsite,23,74.19354839,slide,side,0.066666667,NA
56,DR2,95.5,dinosaurs_spacemen_and_ghouls,20,64.51612903,slide,side,0.066666667,NA
57,DR2,95.5,escape_from_the_zoo,11,35.48387097,slide,side,0.066666667,NA
58,DR2,95.5,exhibit_12,10,32.25806452,slide,side,0.066666667,NA
59,DR2,95.5,flowerman,19,61.29032258,slide,side,0.066666667,NA
60,DR2,95.5,journey,24,77.41935484,slide,side,0.066666667,NA
61,DR2,95.5,make_a_splash,19,61.29032258,slide,side,0.066666667,NA
62,DR2,95.5,picture_this,14,45.16129032,slide,side,0.066666667,NA
63,DR2,95.5,quest,23,74.19354839,slide,side,0.066666667,NA
64,DR2,95.5,return,17,54.83870968,slide,side,0.066666667,NA
65,DR2,95.5,unfriendly_giants,11,35.48387097,slide,side,0.066666667,NA
66,DR2,95.5,waldo_1,15,48.38709677,slide,side,0.066666667,NA
67,DR2,95.5,wanderer,24,77.41935484,slide,side,0.066666667,NA
68,DR2,95.5,wild_west,14,45.16129032,slide,side,0.066666667,NA
69,boss,82,arrival_4,9,29.03225806,tshirt,shirt,0.055555556,1
70,boss,82,arrival_5,17,54.83870968,tshirt,shirt,0.055555556,1
71,boss,82,flowerman,14,45.16129032,tshirt,shirt,0.055555556,1
72,boss,82,journey,8,25.80645161,tshirt,shirt,0.055555556,1
73,boss,82,picture_this,9,29.03225806,tshirt,shirt,0.055555556,1
74,boss,82,return,8,25.80645161,tshirt,shirt,0.055555556,1
75,boss,82,wanderer,15,48.38709677,tshirt,shirt,0.055555556,1
76,brodeur,95,journey,12,38.70967742,cloud,clouds,0.055555556,1
77,brodeur,73,arrival_4,23,74.19354839,monkey,money,0.055555556,NA
78,brodeur,73,arrival_5,9,29.03225806,monkey,money,0.055555556,NA
79,brodeur,73,arrival_6,24,77.41935484,monkey,money,0.055555556,NA
80,brodeur,73,wild_west,9,29.03225806,monkey,money,0.055555556,NA
81,brodeur,81,wild_west,13,41.93548387,table,stable,0.055555556,NA
82,moreno-martinez,78,journey,12,38.70967742,tower,towers,0.055555556,1
83,moreno-martinez,78,quest,9,29.03225806,tower,towers,0.055555556,1
84,moreno-martinez,78,return,9,29.03225806,tower,towers,0.055555556,1
85,moreno-martinez,99,escape_from_the_zoo,18,58.06451613,zebra,zebras,0.055555556,1
86,DR2,73.8095238,flowerman,13,41.93548387,bricks,brick,0.055555556,1
87,DR2,73.8095238,wanderer,9,29.03225806,bricks,brick,0.055555556,1
88,DR2,92.9,arrival_4,14,45.16129032,bride,bridge,0.055555556,NA
89,DR2,92.9,campsite,21,67.74193548,bride,bridge,0.055555556,NA
90,DR2,92.9,flowerman,25,80.64516129,bride,bridge,0.055555556,NA
91,DR2,92.9,journey,18,58.06451613,bride,bridge,0.055555556,NA
92,DR2,92.9,make_a_splash,13,41.93548387,bride,bridge,0.055555556,NA
93,DR2,92.9,quest,29,93.5483871,bride,bridge,0.055555556,NA
94,DR2,92.9,return,19,61.29032258,bride,bridge,0.055555556,NA
95,DR2,92.9,wanderer,19,61.29032258,bride,bridge,0.055555556,NA
96,DR2,72.7,journey,18,58.06451613,paper,papers,0.055555556,1
97,DR2,99.9,airport,9,29.03225806,stairs,stair,0.055555556,1
98,DR2,99.9,arrival_4,8,25.80645161,stairs,stair,0.055555556,1
99,DR2,99.9,arrival_5,12,38.70967742,stairs,stair,0.055555556,1
100,DR2,99.9,arrival_6,16,51.61290323,stairs,stair,0.055555556,1
101,DR2,99.9,exhibit_12,15,48.38709677,stairs,stair,0.055555556,1
102,DR2,99.9,return,19,61.29032258,stairs,stair,0.055555556,1
103,DR2,99.9,wanderer,16,51.61290323,stairs,stair,0.055555556,1
104,DR2,97.1428571,airport,13,41.93548387,waiter,water,0.055555556,NA
105,DR2,97.1428571,arrival_2,14,45.16129032,waiter,water,0.055555556,NA
106,DR2,97.1428571,arrival_4,9,29.03225806,waiter,water,0.055555556,NA
107,DR2,97.1428571,arrival_5,18,58.06451613,waiter,water,0.055555556,NA
108,DR2,97.1428571,being_a_pirate,25,80.64516129,waiter,water,0.055555556,NA
109,DR2,97.1428571,birthday_party_fun,20,64.51612903,waiter,water,0.055555556,NA
110,DR2,97.1428571,by_the_lake,27,87.09677419,waiter,water,0.055555556,NA
111,DR2,97.1428571,campsite,16,51.61290323,waiter,water,0.055555556,NA
112,DR2,97.1428571,deep_sea_divers,28,90.32258065,waiter,water,0.055555556,NA
113,DR2,97.1428571,escape_from_the_zoo,15,48.38709677,waiter,water,0.055555556,NA
114,DR2,97.1428571,flowerman,21,67.74193548,waiter,water,0.055555556,NA
115,DR2,97.1428571,journey,26,83.87096774,waiter,water,0.055555556,NA
116,DR2,97.1428571,make_a_splash,28,90.32258065,waiter,water,0.055555556,NA
117,DR2,97.1428571,picture_this,12,38.70967742,waiter,water,0.055555556,NA
118,DR2,97.1428571,quest,29,93.5483871,waiter,water,0.055555556,NA
119,DR2,97.1428571,return,26,83.87096774,waiter,water,0.055555556,NA
120,DR2,97.1428571,unfriendly_giants,21,67.74193548,waiter,water,0.055555556,NA
121,DR2,97.1428571,waldo_1,13,41.93548387,waiter,water,0.055555556,NA
122,DR2,97.1428571,wanderer,28,90.32258065,waiter,water,0.055555556,NA
123,boss,100,arrival_1,16,51.61290323,feather,father,0.047619048,NA
124,boss,100,arrival_4,17,54.83870968,feather,father,0.047619048,NA
125,boss,100,arrival_5,9,29.03225806,feather,father,0.047619048,NA
126,boss,100,arrival_6,12,38.70967742,feather,father,0.047619048,NA
127,boss,100,journey,12,38.70967742,feather,father,0.047619048,NA
128,boss,100,return,13,41.93548387,feather,father,0.047619048,NA
129,DR2,93.3333333,wanderer,8,25.80645161,stoplight,spotlight,0.037037037,NA
130,DR2,100,escape_from_the_zoo,25,80.64516129,rhinoceros,rhinocero,0.033333333,1
131,DR2,100,quest,26,83.87096774,rhinoceros,rhinocero,0.033333333,1
132,DR2,90,escape_from_the_zoo,13,40.625,icecreamcone,icecream cone,0.025641026,1
133,DR2,90,dinosaurs_spacemen_and_ghouls,8,25,icecreamcone,icecream cone,0.025641026,1
134,boss,87,airport,24,77.41935484,balloon,balloon,0,1
