"modal_with_spaces","stimuli","total_found","percent_found"
"50 bill","airport",0,0
"50 bill","ancient_rome",0,0
"50 bill","arrival_1",0,0
"50 bill","arrival_2",0,0
"50 bill","arrival_3",0,0
"50 bill","arrival_4",0,0
"50 bill","arrival_5",0,0
"50 bill","arrival_6",0,0
"50 bill","being_a_pirate",0,0
"50 bill","birthday_party_fun",0,0
"50 bill","by_the_lake",0,0
"50 bill","campsite",0,0
"50 bill","deep_sea_divers",0,0
"50 bill","dinosaurs_spacemen_and_ghouls",0,0
"50 bill","escape_from_the_zoo",0,0
"50 bill","exhibit_12",0,0
"50 bill","flowerman",0,0
"50 bill","journey",0,0
"50 bill","make_a_splash",0,0
"50 bill","picture_this",0,0
"50 bill","quest",0,0
"50 bill","return",0,0
"50 bill","unfriendly_giants",0,0
"50 bill","waldo_1",0,0
"50 bill","wanderer",0,0
"50 bill","wild_west",0,0
"8 ball","airport",0,0
"8 ball","ancient_rome",0,0
"8 ball","arrival_1",0,0
"8 ball","arrival_2",0,0
"8 ball","arrival_3",0,0
"8 ball","arrival_4",0,0
"8 ball","arrival_5",0,0
"8 ball","arrival_6",0,0
"8 ball","being_a_pirate",0,0
"8 ball","birthday_party_fun",0,0
"8 ball","by_the_lake",0,0
"8 ball","campsite",0,0
"8 ball","deep_sea_divers",0,0
"8 ball","dinosaurs_spacemen_and_ghouls",0,0
"8 ball","escape_from_the_zoo",0,0
"8 ball","exhibit_12",0,0
"8 ball","flowerman",0,0
"8 ball","journey",0,0
"8 ball","make_a_splash",0,0
"8 ball","picture_this",0,0
"8 ball","quest",0,0
"8 ball","return",0,0
"8 ball","unfriendly_giants",0,0
"8 ball","waldo_1",0,0
"8 ball","wanderer",0,0
"8 ball","wild_west",0,0
"ace of diamond","airport",0,0
"ace of diamond","ancient_rome",0,0
"ace of diamond","arrival_1",0,0
"ace of diamond","arrival_2",0,0
"ace of diamond","arrival_3",0,0
"ace of diamond","arrival_4",0,0
"ace of diamond","arrival_5",0,0
"ace of diamond","arrival_6",0,0
"ace of diamond","being_a_pirate",0,0
"ace of diamond","birthday_party_fun",0,0
"ace of diamond","by_the_lake",0,0
"ace of diamond","campsite",0,0
"ace of diamond","deep_sea_divers",0,0
"ace of diamond","dinosaurs_spacemen_and_ghouls",0,0
"ace of diamond","escape_from_the_zoo",0,0
"ace of diamond","exhibit_12",0,0
"ace of diamond","flowerman",0,0
"ace of diamond","journey",0,0
"ace of diamond","make_a_splash",0,0
"ace of diamond","picture_this",0,0
"ace of diamond","quest",0,0
"ace of diamond","return",0,0
"ace of diamond","unfriendly_giants",0,0
"ace of diamond","waldo_1",0,0
"ace of diamond","wanderer",0,0
"ace of diamond","wild_west",0,0
"air compressor","airport",0,0
"air compressor","ancient_rome",0,0
"air compressor","arrival_1",0,0
"air compressor","arrival_2",0,0
"air compressor","arrival_3",0,0
"air compressor","arrival_4",0,0
"air compressor","arrival_5",0,0
"air compressor","arrival_6",0,0
"air compressor","being_a_pirate",0,0
"air compressor","birthday_party_fun",0,0
"air compressor","by_the_lake",0,0
"air compressor","campsite",0,0
"air compressor","deep_sea_divers",0,0
"air compressor","dinosaurs_spacemen_and_ghouls",0,0
"air compressor","escape_from_the_zoo",0,0
"air compressor","exhibit_12",0,0
"air compressor","flowerman",0,0
"air compressor","journey",0,0
"air compressor","make_a_splash",0,0
"air compressor","picture_this",0,0
"air compressor","quest",0,0
"air compressor","return",0,0
"air compressor","unfriendly_giants",0,0
"air compressor","waldo_1",0,0
"air compressor","wanderer",0,0
"air compressor","wild_west",0,0
"air conditioner","airport",0,0
"air conditioner","ancient_rome",0,0
"air conditioner","arrival_1",0,0
"air conditioner","arrival_2",0,0
"air conditioner","arrival_3",0,0
"air conditioner","arrival_4",0,0
"air conditioner","arrival_5",0,0
"air conditioner","arrival_6",0,0
"air conditioner","being_a_pirate",0,0
"air conditioner","birthday_party_fun",0,0
"air conditioner","by_the_lake",0,0
"air conditioner","campsite",0,0
"air conditioner","deep_sea_divers",0,0
"air conditioner","dinosaurs_spacemen_and_ghouls",0,0
"air conditioner","escape_from_the_zoo",0,0
"air conditioner","exhibit_12",0,0
"air conditioner","flowerman",0,0
"air conditioner","journey",0,0
"air conditioner","make_a_splash",0,0
"air conditioner","picture_this",0,0
"air conditioner","quest",0,0
"air conditioner","return",0,0
"air conditioner","unfriendly_giants",0,0
"air conditioner","waldo_1",0,0
"air conditioner","wanderer",0,0
"air conditioner","wild_west",0,0
"air hockey table","airport",0,0
"air hockey table","ancient_rome",0,0
"air hockey table","arrival_1",0,0
"air hockey table","arrival_2",0,0
"air hockey table","arrival_3",0,0
"air hockey table","arrival_4",0,0
"air hockey table","arrival_5",0,0
"air hockey table","arrival_6",0,0
"air hockey table","being_a_pirate",0,0
"air hockey table","birthday_party_fun",0,0
"air hockey table","by_the_lake",0,0
"air hockey table","campsite",0,0
"air hockey table","deep_sea_divers",0,0
"air hockey table","dinosaurs_spacemen_and_ghouls",0,0
"air hockey table","escape_from_the_zoo",0,0
"air hockey table","exhibit_12",0,0
"air hockey table","flowerman",0,0
"air hockey table","journey",0,0
"air hockey table","make_a_splash",0,0
"air hockey table","picture_this",0,0
"air hockey table","quest",0,0
"air hockey table","return",0,0
"air hockey table","unfriendly_giants",0,0
"air hockey table","waldo_1",0,0
"air hockey table","wanderer",0,0
"air hockey table","wild_west",0,0
"air pump","airport",0,0
"air pump","ancient_rome",0,0
"air pump","arrival_1",0,0
"air pump","arrival_2",0,0
"air pump","arrival_3",0,0
"air pump","arrival_4",0,0
"air pump","arrival_5",0,0
"air pump","arrival_6",0,0
"air pump","being_a_pirate",0,0
"air pump","birthday_party_fun",0,0
"air pump","by_the_lake",0,0
"air pump","campsite",0,0
"air pump","deep_sea_divers",0,0
"air pump","dinosaurs_spacemen_and_ghouls",0,0
"air pump","escape_from_the_zoo",0,0
"air pump","exhibit_12",0,0
"air pump","flowerman",0,0
"air pump","journey",0,0
"air pump","make_a_splash",0,0
"air pump","picture_this",0,0
"air pump","quest",0,0
"air pump","return",0,0
"air pump","unfriendly_giants",0,0
"air pump","waldo_1",0,0
"air pump","wanderer",1,0.03125
"air pump","wild_west",0,0
"alarm clock","airport",0,0
"alarm clock","ancient_rome",0,0
"alarm clock","arrival_1",1,0.03125
"alarm clock","arrival_2",0,0
"alarm clock","arrival_3",0,0
"alarm clock","arrival_4",0,0
"alarm clock","arrival_5",0,0
"alarm clock","arrival_6",0,0
"alarm clock","being_a_pirate",0,0
"alarm clock","birthday_party_fun",0,0
"alarm clock","by_the_lake",0,0
"alarm clock","campsite",0,0
"alarm clock","deep_sea_divers",0,0
"alarm clock","dinosaurs_spacemen_and_ghouls",0,0
"alarm clock","escape_from_the_zoo",0,0
"alarm clock","exhibit_12",0,0
"alarm clock","flowerman",0,0
"alarm clock","journey",0,0
"alarm clock","make_a_splash",0,0
"alarm clock","picture_this",0,0
"alarm clock","quest",0,0
"alarm clock","return",0,0
"alarm clock","unfriendly_giants",0,0
"alarm clock","waldo_1",0,0
"alarm clock","wanderer",0,0
"alarm clock","wild_west",0,0
"alarm system","airport",0,0
"alarm system","ancient_rome",0,0
"alarm system","arrival_1",0,0
"alarm system","arrival_2",0,0
"alarm system","arrival_3",0,0
"alarm system","arrival_4",0,0
"alarm system","arrival_5",0,0
"alarm system","arrival_6",0,0
"alarm system","being_a_pirate",0,0
"alarm system","birthday_party_fun",0,0
"alarm system","by_the_lake",0,0
"alarm system","campsite",0,0
"alarm system","deep_sea_divers",0,0
"alarm system","dinosaurs_spacemen_and_ghouls",0,0
"alarm system","escape_from_the_zoo",0,0
"alarm system","exhibit_12",0,0
"alarm system","flowerman",0,0
"alarm system","journey",0,0
"alarm system","make_a_splash",0,0
"alarm system","picture_this",0,0
"alarm system","quest",0,0
"alarm system","return",0,0
"alarm system","unfriendly_giants",0,0
"alarm system","waldo_1",0,0
"alarm system","wanderer",0,0
"alarm system","wild_west",0,0
"aluminum foil","airport",0,0
"aluminum foil","ancient_rome",0,0
"aluminum foil","arrival_1",0,0
"aluminum foil","arrival_2",0,0
"aluminum foil","arrival_3",0,0
"aluminum foil","arrival_4",0,0
"aluminum foil","arrival_5",0,0
"aluminum foil","arrival_6",0,0
"aluminum foil","being_a_pirate",0,0
"aluminum foil","birthday_party_fun",0,0
"aluminum foil","by_the_lake",0,0
"aluminum foil","campsite",0,0
"aluminum foil","deep_sea_divers",0,0
"aluminum foil","dinosaurs_spacemen_and_ghouls",0,0
"aluminum foil","escape_from_the_zoo",0,0
"aluminum foil","exhibit_12",0,0
"aluminum foil","flowerman",0,0
"aluminum foil","journey",0,0
"aluminum foil","make_a_splash",0,0
"aluminum foil","picture_this",0,0
"aluminum foil","quest",0,0
"aluminum foil","return",0,0
"aluminum foil","unfriendly_giants",0,0
"aluminum foil","waldo_1",0,0
"aluminum foil","wanderer",0,0
"aluminum foil","wild_west",0,0
"angel statue","airport",0,0
"angel statue","ancient_rome",0,0
"angel statue","arrival_1",0,0
"angel statue","arrival_2",0,0
"angel statue","arrival_3",0,0
"angel statue","arrival_4",0,0
"angel statue","arrival_5",0,0
"angel statue","arrival_6",0,0
"angel statue","being_a_pirate",0,0
"angel statue","birthday_party_fun",0,0
"angel statue","by_the_lake",0,0
"angel statue","campsite",0,0
"angel statue","deep_sea_divers",0,0
"angel statue","dinosaurs_spacemen_and_ghouls",0,0
"angel statue","escape_from_the_zoo",0,0
"angel statue","exhibit_12",0,0
"angel statue","flowerman",0,0
"angel statue","journey",0,0
"angel statue","make_a_splash",0,0
"angel statue","picture_this",0,0
"angel statue","quest",1,0.03125
"angel statue","return",0,0
"angel statue","unfriendly_giants",0,0
"angel statue","waldo_1",0,0
"angel statue","wanderer",0,0
"angel statue","wild_west",0,0
"animal cage","airport",0,0
"animal cage","ancient_rome",0,0
"animal cage","arrival_1",0,0
"animal cage","arrival_2",0,0
"animal cage","arrival_3",0,0
"animal cage","arrival_4",0,0
"animal cage","arrival_5",0,0
"animal cage","arrival_6",0,0
"animal cage","being_a_pirate",0,0
"animal cage","birthday_party_fun",0,0
"animal cage","by_the_lake",0,0
"animal cage","campsite",0,0
"animal cage","deep_sea_divers",0,0
"animal cage","dinosaurs_spacemen_and_ghouls",0,0
"animal cage","escape_from_the_zoo",0,0
"animal cage","exhibit_12",0,0
"animal cage","flowerman",0,0
"animal cage","journey",0,0
"animal cage","make_a_splash",0,0
"animal cage","picture_this",0,0
"animal cage","quest",0,0
"animal cage","return",0,0
"animal cage","unfriendly_giants",0,0
"animal cage","waldo_1",0,0
"animal cage","wanderer",0,0
"animal cage","wild_west",0,0
"antenna for a car","airport",0,0
"antenna for a car","ancient_rome",0,0
"antenna for a car","arrival_1",0,0
"antenna for a car","arrival_2",0,0
"antenna for a car","arrival_3",0,0
"antenna for a car","arrival_4",0,0
"antenna for a car","arrival_5",0,0
"antenna for a car","arrival_6",0,0
"antenna for a car","being_a_pirate",0,0
"antenna for a car","birthday_party_fun",0,0
"antenna for a car","by_the_lake",0,0
"antenna for a car","campsite",0,0
"antenna for a car","deep_sea_divers",0,0
"antenna for a car","dinosaurs_spacemen_and_ghouls",0,0
"antenna for a car","escape_from_the_zoo",0,0
"antenna for a car","exhibit_12",0,0
"antenna for a car","flowerman",0,0
"antenna for a car","journey",0,0
"antenna for a car","make_a_splash",0,0
"antenna for a car","picture_this",0,0
"antenna for a car","quest",0,0
"antenna for a car","return",0,0
"antenna for a car","unfriendly_giants",0,0
"antenna for a car","waldo_1",0,0
"antenna for a car","wanderer",0,0
"antenna for a car","wild_west",0,0
"applesauce jar","airport",0,0
"applesauce jar","ancient_rome",0,0
"applesauce jar","arrival_1",0,0
"applesauce jar","arrival_2",0,0
"applesauce jar","arrival_3",0,0
"applesauce jar","arrival_4",0,0
"applesauce jar","arrival_5",0,0
"applesauce jar","arrival_6",0,0
"applesauce jar","being_a_pirate",0,0
"applesauce jar","birthday_party_fun",0,0
"applesauce jar","by_the_lake",0,0
"applesauce jar","campsite",0,0
"applesauce jar","deep_sea_divers",0,0
"applesauce jar","dinosaurs_spacemen_and_ghouls",0,0
"applesauce jar","escape_from_the_zoo",0,0
"applesauce jar","exhibit_12",0,0
"applesauce jar","flowerman",0,0
"applesauce jar","journey",0,0
"applesauce jar","make_a_splash",0,0
"applesauce jar","picture_this",0,0
"applesauce jar","quest",0,0
"applesauce jar","return",0,0
"applesauce jar","unfriendly_giants",0,0
"applesauce jar","waldo_1",0,0
"applesauce jar","wanderer",0,0
"applesauce jar","wild_west",0,0
"ash tray","airport",0,0
"ash tray","ancient_rome",0,0
"ash tray","arrival_1",0,0
"ash tray","arrival_2",0,0
"ash tray","arrival_3",0,0
"ash tray","arrival_4",0,0
"ash tray","arrival_5",0,0
"ash tray","arrival_6",0,0
"ash tray","being_a_pirate",0,0
"ash tray","birthday_party_fun",0,0
"ash tray","by_the_lake",0,0
"ash tray","campsite",0,0
"ash tray","deep_sea_divers",0,0
"ash tray","dinosaurs_spacemen_and_ghouls",0,0
"ash tray","escape_from_the_zoo",0,0
"ash tray","exhibit_12",0,0
"ash tray","flowerman",0,0
"ash tray","journey",0,0
"ash tray","make_a_splash",0,0
"ash tray","picture_this",0,0
"ash tray","quest",0,0
"ash tray","return",0,0
"ash tray","unfriendly_giants",0,0
"ash tray","waldo_1",0,0
"ash tray","wanderer",0,0
"ash tray","wild_west",0,0
"baby bottle","airport",0,0
"baby bottle","ancient_rome",0,0
"baby bottle","arrival_1",0,0
"baby bottle","arrival_2",0,0
"baby bottle","arrival_3",0,0
"baby bottle","arrival_4",0,0
