"Word","LgSUBTLCD","Age_Of_Acquisition","NPhon","Handcoded by RA","Comments","LgSUBTLCD2","Age_Of_Acquisition2"
"acorn","1.23",5.95,5,"NA",NA,"1.23","5.95"
"airplane","2.5499999999999998",3.94,6,"NA",NA,"2.5499999999999998","3.94"
"almonds","1.58",7.67,6,"NA",NA,"1.58","7.67"
"anchor","2.2759999999999998",5.72,4,"NA",NA,"2.2759999999999998","5.72"
"anchovy","0.90300000000000002",9.32,6,"NA",NA,"0.90300000000000002","9.32"
"ant","2.0489999999999999",4.32,3,"NA",NA,"2.0489999999999999","4.32"
"antenna","1.9139999999999999",7.05,6,"NA",NA,"1.9139999999999999","7.05"
"antlers","1.518",NA,6,"NA",NA,"1.518","6.39"
"anvil","1.3979999999999999",10.79,4,"NA",NA,"1.3979999999999999","10.79"
"apple","2.839",4.15,3,"NA",NA,"2.839","4.15"
"apron","2.0329999999999999",6.75,5,"NA",NA,"2.0329999999999999","6.75"
"arm","3.2890000000000001",3.26,3,"NA",NA,"3.2890000000000001","3.26"
"armadillo","1.3420000000000001",8.609,8,"NA",NA,"1.3420000000000001","8.609"
"armchair","1.3009999999999999",6.56,6,"NA",NA,"1.3009999999999999","6.56"
"armour","1.7849999999999999",NA,4,"NA",NA,"1.7849999999999999",NA
"arrow","2.2970000000000002",6.07,3,"NA",NA,"2.2970000000000002","6.07"
"artichoke","1.38",10,7,"NA",NA,"1.38","10"
"ashtray","2.0720000000000001",5.95,5,"NA",NA,"2.0720000000000001","5.95"
"asparagus","1.633",6.79,9,"NA",NA,"1.633","6.79"
"avocado","1.643",9.29,7,"NA",NA,"1.643","9.29"
"axe","2.1850000000000001",6.11,3,"NA",NA,"2.1850000000000001","6.11"
"backpack","2.121",5.38,6,"NA",NA,"2.121","5.38"
"bacon","2.6019999999999999",5,5,"NA",NA,"2.6019999999999999","5"
"balcony","2.4279999999999999",8.1,7,"NA",NA,"2.4279999999999999","8.1"
"ball","3.3159999999999998",2.9,3,"NA",NA,"3.3159999999999998","2.9"
"balloon","2.4180000000000001",4.37,5,"NA",NA,"2.4180000000000001","4.37"
"banana","2.5129999999999999",3.78,6,"NA",NA,"2.5129999999999999","3.78"
