"file","participant","session","stimuli","lemma"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","itis"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","city"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","time"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","airport"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","window"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","bit"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","concord"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","world"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","war"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","biplane"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","rocket"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","fire"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","flaming"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","tail"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","saucer"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","airline"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","sky"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","air"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","balloon"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","ground"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","line"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","stripe"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","center"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","image"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","horizontal"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","engine"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","disease"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","fireman"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","thing"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","place"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","plane"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","peace"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","card"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","cockpit"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","theyare"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","ace"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","people"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","disembark"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","airplane"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","crew"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","star"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","wrong"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","left"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","doorway"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","stair"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","brigade"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","flame"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","parable"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","baggage"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","cart"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","carriage"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","cargo"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","door"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","way"
"Participant1_Session3_Corrected .vtt","Participant1","Session3","airport","man"
