"Word","LgSUBTLCD","Age_Of_Acquisition","NPhon","Handcoded by RA","Comments","aoa","lf","LgSUBTLCD2","Age_Of_Acquisition2"
"acorn","1.23",5.95,5,"NA",NA,"5.95",1.23044892137827,"1.23","5.95"
"airplane","2.5499999999999998",3.94,6,"NA",NA,"3.94",2.55022835305509,"2.5499999999999998","3.94"
"almonds","1.58",7.67,6,"NA",NA,NA,1.57978359661681,"1.58","7.67"
"anchor","2.2759999999999998",5.72,4,"NA",NA,"5.72",2.27646180417324,"2.2759999999999998","5.72"
"anchovy","0.90300000000000002",9.32,6,"NA",NA,"9.32",0.903089986991944,"0.90300000000000002","9.32"
"ant","2.0489999999999999",4.32,3,"NA",NA,"4.32",2.04921802267018,"2.0489999999999999","4.32"
"antenna","1.9139999999999999",7.05,6,"NA",NA,"7.05",1.91381385238372,"1.9139999999999999","7.05"
"antlers","1.518",NA,6,"NA",NA,"6.39",1.51851393987789,"1.518","6.39"
"anvil","1.3979999999999999",10.79,4,"NA",NA,"10.79",1.39794000867204,"1.3979999999999999","10.79"
"apple","2.839",4.15,3,"NA",NA,"4.1500000000000004",2.83884909073726,"2.839","4.15"
"apron","2.0329999999999999",6.75,5,"NA",NA,"6.75",2.03342375548695,"2.0329999999999999","6.75"
"arm","3.2890000000000001",3.26,3,"NA",NA,"3.26",3.28914283593233,"3.2890000000000001","3.26"
"armadillo","1.3420000000000001",8.609,8,"NA",NA,"8.6088850000000008",1.34242268082221,"1.3420000000000001","8.609"
"armchair","1.3009999999999999",6.56,6,"NA",NA,"6.56",1.30102999566398,"1.3009999999999999","6.56"
"armour","1.7849999999999999",NA,4,"NA",NA,NA,1.78532983501077,"1.7849999999999999",NA
"arrow","2.2970000000000002",6.07,3,"NA",NA,"6.07",2.29666519026153,"2.2970000000000002","6.07"
"artichoke","1.38",10,7,"NA",NA,"10",1.38021124171161,"1.38","10"
"ashtray","2.0720000000000001",5.95,5,"NA",NA,"5.95",2.07188200730613,"2.0720000000000001","5.95"
"asparagus","1.633",6.79,9,"NA",NA,"6.79",1.63346845557959,"1.633","6.79"
"avocado","1.643",9.29,7,"NA",NA,"9.2899999999999991",1.64345267648619,"1.643","9.29"
"axe","2.1850000000000001",6.11,3,"NA",NA,"6.11",2.1846914308176,"2.1850000000000001","6.11"
"backpack","2.121",5.38,6,"NA",NA,"5.38",2.12057393120585,"2.121","5.38"
"bacon","2.6019999999999999",5,5,"NA",NA,"5",2.60205999132796,"2.6019999999999999","5"
"balcony","2.4279999999999999",8.1,7,"NA",NA,"8.1",2.42813479402879,"2.4279999999999999","8.1"
"ball","3.3159999999999998",2.9,3,"NA",NA,"2.9",3.31618009889345,"3.3159999999999998","2.9"
"balloon","2.4180000000000001",4.37,5,"NA",NA,"4.37",2.41830129131975,"2.4180000000000001","4.37"
"banana","2.5129999999999999",3.78,6,"NA",NA,"3.78",2.51321760006794,"2.5129999999999999","3.78"
"banjo","1.708",8.44,5,"NA",NA,"8.44",1.70757017609794,"1.708","8.44"
"barn","2.5979999999999999",4.5,4,"NA",NA,"4.5",2.59769518592551,"2.5979999999999999","4.5"
"barrel","2.573",7.72,5,"NA",NA,"7.72",2.57287160220048,"2.573","7.72"
"bartender","2.5049999999999999",8.9,8,"NA",NA,"8.9",2.50514997831991,"2.5049999999999999","8.9"
"baseball","2.8069999999999999",4.83,6,"NA",NA,"4.83",2.80685802951882,"2.8069999999999999","4.83"
"basket","2.6320000000000001",5.67,6,"NA",NA,"5.67",2.63245729218472,"2.6320000000000001","5.67"
"basketball","2.6240000000000001",5.3,9,"NA",NA,"5.3",2.62428209583567,"2.6240000000000001","5.3"
"bat","2.75",4.85,3,"NA",NA,"4.8499999999999996",2.74973631556906,"2.75","4.85"
"bathrobe","1.8129999999999999",7.9,6,"NA",NA,"7.9",1.81291335664286,"1.8129999999999999","7.9"
"bathtub","2.3519999999999999",3.22,6,"NA",NA,"3.22",2.35218251811136,"2.3519999999999999","3.22"
"battery","2.6019999999999999",5.58,6,"NA",NA,"5.58",2.60205999132796,"2.6019999999999999","5.58"
"bear","3.1760000000000002",3.58,3,"NA",NA,"3.58",3.17638069224327,"3.1760000000000002","3.58"
"beaver","2.1070000000000002",5.21,4,"NA",NA,"5.21",2.10720996964787,"2.1070000000000002","5.21"
"bed","3.6139999999999999",2.89,3,"NA",NA,"2.89",3.6142642873587,"3.6139999999999999","2.89"
"bee","2.3959999999999999",5,2,"NA",NA,"5",2.39619934709574,"2.3959999999999999","5"
"beetle","1.7629999999999999",5.32,4,"NA",NA,"5.32",1.76342799356294,"1.7629999999999999","5.32"
"bell","3.0150000000000001",3.89,3,"NA",NA,"3.89",3.01535975540921,"3.0150000000000001","3.89"
"belt","2.9239999999999999",4.62,4,"NA",NA,"4.62",2.9237619608287,"2.9239999999999999","4.62"
"bench","2.5350000000000001",4.21,4,"NA",NA,"4.21",2.53529412004277,"2.5350000000000001","4.21"
"bib","1.38",4.53,3,"NA",NA,"4.53",1.38021124171161,"1.38","4.53"
"bicycle","2.38",4.26,6,"NA",NA,"4.26",2.38021124171161,"2.38","4.26"
"binoculars","1.845",6.79,10,"NA",NA,"6.79",1.84509804001426,"1.845","6.79"
"bird","3.0779999999999998",3.52,3,"NA",NA,"3.52",3.07809415040641,"3.0779999999999998","3.52"
"bit","3.706",6.47,3,"NA",NA,"6.47",3.70629095725876,"3.706","6.47"
"blackberry","1.4470000000000001",8.95,8,"NA",NA,"8.9499999999999993",1.44715803134222,"1.4470000000000001","8.95"
"bleachers","1.724",NA,6,"NA",NA,NA,1.72427586960079,"1.724",NA
"blender","1.778",6.84,6,"NA",NA,"6.84",1.77815125038364,"1.778","6.84"
"blimp","1.613",6.63,5,"NA",NA,"6.63",1.61278385671974,"1.613","6.63"
"block","3.12",4.79,4,"NA",NA,"4.79",3.12024479554637,"3.12","4.79"
"blueberry","1.9490000000000001",6.22,7,"NA",NA,"6.22",1.94939000664491,"1.9490000000000001","6.22"
"bluejay","0.47699999999999998",5.838,5,"NA",NA,"5.8380650000000012",0.477121254719662,"0.47699999999999998","5.838"
"boat","3.1640000000000001",3.84,3,"NA",NA,"3.84",3.16375752398196,"3.1640000000000001","3.84"
"book","3.5110000000000001",3.68,3,"NA",NA,"3.68",3.51121470113639,"3.5110000000000001","3.68"
"boomerang","1.462",9.79,7,"NA",NA,"9.7899999999999991",1.46239799789896,"1.462","9.79"
"boot","2.5739999999999998",3.89,3,"NA",NA,"3.89",2.57403126772772,"2.5739999999999998","3.89"
"bottle","3.194",3.56,4,"NA",NA,"3.56",3.19368102954128,"3.194","3.56"
"bow","2.7850000000000001",4.95,2,"NA",NA,"4.95",2.78532983501077,"2.7850000000000001","4.95"
"bowl","2.8340000000000001",4.26,3,"NA",NA,"4.26",2.83442070368153,"2.8340000000000001","4.26"
"box","3.3719999999999999",4.3,4,"NA",NA,"4.3",3.37180645850742,"3.3719999999999999","4.3"
"bracelet","2.2879999999999998",5.68,7,"NA",NA,"5.68",2.28780172993023,"2.2879999999999998","5.68"
"brain","3.3",5.76,4,"NA",NA,"5.76",3.29994290002277,"3.3","5.76"
"brick","2.4079999999999999",6.43,4,"NA",NA,NA,2.40823996531185,"2.4079999999999999","6.43"
"bricks","2.1760000000000002",6.43,5,"NA",NA,"6.43",2.17609125905568,"2.1760000000000002","6.43"
"bride","2.8050000000000002",5.1,4,"NA",NA,"5.0999999999999996",2.8055008581584,"2.8050000000000002","5.1"
"bridge","3.02",5.58,4,"NA",NA,"5.58",3.01994668167884,"3.02","5.58"
"broccoli","1.839",5.2,7,"NA",NA,"5.2",1.83884909073726,"1.839","5.2"
"broom","2.2549999999999999",5.5,4,"NA",NA,"5.5",2.25527250510331,"2.2549999999999999","5.5"
"bull","2.8239999999999998",4.53,3,"NA",NA,"4.53",2.8234742291703,"2.8239999999999998","4.53"
"bullet","3.0030000000000001",6.7,5,"NA",NA,"6.7",3.00302947055362,"3.0030000000000001","6.7"
"bus","3.1890000000000001",3.85,3,"NA",NA,"3.85",3.18949031369937,"3.1890000000000001","3.85"
"butter","2.8279999999999998",5.78,4,"NA",NA,"5.78",2.82801506422398,"2.8279999999999998","5.78"
"butterfly","2.2719999999999998",3.67,7,"NA",NA,"3.67",2.2718416065365,"2.2719999999999998","3.67"
"button","2.9550000000000001",4.78,4,"NA",NA,"4.78",2.95472479097906,"2.9550000000000001","4.78"
"cabbage","2.0409999999999999",5.78,5,"NA",NA,"5.78",2.04139268515822,"2.0409999999999999","5.78"
"cactus","1.9350000000000001",6.72,6,"NA",NA,"6.72",1.93449845124357,"1.9350000000000001","6.72"
"calculator","1.724",8.22,10,"NA",NA,"8.2200000000000006",1.72427586960079,"1.724","8.22"
"calendar","2.3620000000000001",5.89,7,"NA",NA,"5.89",2.36172783601759,"2.3620000000000001","5.89"
"camel","2.1429999999999998",5.11,4,"NA",NA,"5.1100000000000003",2.1430148002541,"2.1429999999999998","5.11"
"camera","3.1419999999999999",6,5,"NA",NA,"6",3.14238946611884,"3.1419999999999999","6"
"candle","2.4649999999999999",5.37,5,"NA",NA,"5.37",2.46538285144842,"2.4649999999999999","5.37"
"candy","2.956",4,5,"NA",NA,"4",2.95568775031351,"2.956","4"
"cane","2.2120000000000002",5.74,3,"NA",NA,"5.74",2.21218760440396,"2.2120000000000002","5.74"
"cannon","2.4079999999999999",7.9,5,"NA",NA,"7.9",2.40823996531185,"2.4079999999999999","7.9"
"canoe","1.887",6.63,4,"NA",NA,"6.63",1.88649072517248,"1.887","6.63"
"cap","2.7919999999999998",5.53,3,"NA",NA,"5.53",2.79239168949825,"2.7919999999999998","5.53"
"car","3.7120000000000002",3.37,3,"NA",NA,"3.37",3.71222866961954,"3.7120000000000002","3.37"
"carnation","1.4910000000000001",10.21,7,"NA",NA,"10.210000000000001",1.49136169383427,"1.4910000000000001","10.21"
"carousel","1.708",6.68,7,"NA",NA,"6.68",1.70757017609794,"1.708","6.68"
"carrot","2.093",2.74,5,"NA",NA,"2.74",2.09342168516224,"2.093","2.74"
"cart","2.5129999999999999",6.16,4,"NA",NA,"6.16",2.51321760006794,"2.5129999999999999","6.16"
"castle","2.5830000000000002",5.8,4,"NA",NA,"5.8",2.58319877396862,"2.5830000000000002","5.8"
"cat","3.1419999999999999",3.68,3,"NA",NA,"3.68",3.14207646107328,"3.1419999999999999","3.68"
"cathedral","2",10.58,8,"NA",NA,"10.58",2,"2","10.58"
"cauliflower","1.38",6.18,8,"NA",NA,"6.18",1.38021124171161,"1.38","6.18"
"celery","1.806",5.78,6,"NA",NA,"5.78",1.80617997398389,"1.806","5.78"
"centipede","1.1759999999999999",7.39,8,"NA",NA,"7.39",1.17609125905568,"1.1759999999999999","7.39"
"chain","2.8690000000000002",5.22,3,"NA",NA,"5.22",2.86923171973098,"2.8690000000000002","5.22"
"chair","3.1920000000000002",3.43,3,"NA",NA,"3.43",3.1914510144649,"3.1920000000000002","3.43"
"chalk","2.1579999999999999",4.47,3,"NA",NA,"4.47",2.15836249209525,"2.1579999999999999","4.47"
"chard","0.77800000000000002",14,4,"NA",NA,"14",0.778151250383644,"0.77800000000000002","14"
"cheese","3.0539999999999998",4.33,3,"NA",NA,"4.33",3.05346260492546,"3.0539999999999998","4.33"
"cheetah","1.544",8.16,4,"NA",NA,"8.16",1.54406804435028,"1.544","8.16"
"cherries","1.903",5.58,5,"NA",NA,NA,1.90308998699194,"1.903","5.58"
