"stimuli","lemma","n","percent"
"airport","a",1,3.125
"airport","accident",1,3.125
"airport","ace",15,46.875
"airport","action",1,3.125
"airport","activity",3,9.375
"airport","ad",1,3.125
"airport","age",1,3.125
"airport","air",25,78.125
"airport","aircraft",3,9.375
"airport","airfield",1,3.125
"airport","airline",4,12.5
"airport","airliner",2,6.25
"airport","airplane",22,68.75
"airport","airport",30,93.75
"airport","airship",2,6.25
"airport","amount",1,3.125
"airport","angle",2,6.25
"airport","animal",5,15.625
"airport","antenna",1,3.125
"airport","area",10,31.25
"airport","arm",3,9.375
"airport","art",1,3.125
"airport","assessment",1,3.125
"airport","attendant",10,31.25
"airport","attention",1,3.125
"airport","back",8,25
"airport","background",10,31.25
"airport","bag",5,15.625
"airport","baggage",14,43.75
"airport","balcony",1,3.125
"airport","balloon",24,75
"airport","band",1,3.125
"airport","base",1,3.125
"airport","bat",1,3.125
"airport","beanies",1,3.125
"airport","bear",1,3.125
"airport","beard",5,15.625
"airport","bed",4,12.5
"airport","beige",1,3.125
"airport","belt",5,15.625
"airport","binocular",1,3.125
"airport","biplane",12,37.5
"airport","bird",2,6.25
"airport","bishop",1,3.125
"airport","bit",3,9.375
"airport","blimp",12,37.5
"airport","blintz",1,3.125
"airport","board",1,3.125
"airport","boarding",1,3.125
"airport","bobble",1,3.125
"airport","body",2,6.25
"airport","book",4,12.5
"airport","boss",1,3.125
"airport","bottom",11,34.375
"airport","box",7,21.875
"airport","boxe",3,9.375
"airport","boy",4,12.5
"airport","break",9,28.125
"airport","briefcase",1,3.125
"airport","brigade",1,3.125
"airport","britain",1,3.125
"airport","brother",1,3.125
"airport","brothers",1,3.125
"airport","brown",1,3.125
"airport","build",1,3.125
"airport","building",9,28.125
"airport","bunch",6,18.75
"airport","bus",22,68.75
"airport","buse",2,6.25
"airport","cabin",1,3.125
"airport","camel",1,3.125
"airport","car",4,12.5
"airport","card",10,31.25
"airport","care",2,6.25
"airport","cargo",6,18.75
"airport","carousel",6,18.75
"airport","carpet",3,9.375
"airport","carpeting",2,6.25
"airport","carriage",1,3.125
"airport","carrier",1,3.125
"airport","cart",13,40.625
"airport","cartoon",2,6.25
"airport","case",3,9.375
"airport","castle",1,3.125
"airport","cbe",1,3.125
"airport","center",9,28.125
"airport","cessna",1,3.125
"airport","chaos",4,12.5
"airport","character",2,6.25
"airport","check",3,9.375
"airport","child",1,3.125
"airport","chuck",1,3.125
"airport","chute",1,3.125
"airport","cigarette",3,9.375
"airport","circle",1,3.125
"airport","city",1,3.125
"airport","claim",7,21.875
"airport","clothing",1,3.125
"airport","cloud",1,3.125
"airport","coat",9,28.125
"airport","cockpit",6,18.75
"airport","code",2,6.25
"airport","collection",2,6.25
"airport","color",5,15.625
"airport","concord",4,12.5
"airport","concorde",3,9.375
"airport","cone",2,6.25
"airport","control",11,34.375
"airport","controller",1,3.125
"airport","controllers",1,3.125
"airport","conveyor",1,3.125
"airport","corner",6,18.75
"airport","counter",4,12.5
"airport","country",7,21.875
"airport","couple",13,40.625
"airport","cow",2,6.25
"airport","crate",4,12.5
"airport","crates",3,9.375
"airport","crew",1,3.125
"airport","crowd",2,6.25
"airport","custom",1,3.125
"airport","customer",1,3.125
"airport","cut",1,3.125
"airport","cutaway",1,3.125
