"stimuli","threshold","passed_threshold"
"airport","threshold: 33%",43
"airport","threshold: 40%",31
"airport","threshold: 50%",15
"airport","threshold: 60%",10
"airport","threshold: 67%",10
"ancient_rome","threshold: 33%",28
"ancient_rome","threshold: 40%",19
"ancient_rome","threshold: 50%",13
"ancient_rome","threshold: 60%",6
"ancient_rome","threshold: 67%",5
"arrival_1","threshold: 33%",59
"arrival_1","threshold: 40%",47
"arrival_1","threshold: 50%",30
"arrival_1","threshold: 60%",19
"arrival_1","threshold: 67%",11
"arrival_2","threshold: 33%",34
"arrival_2","threshold: 40%",28
"arrival_2","threshold: 50%",21
"arrival_2","threshold: 60%",11
"arrival_2","threshold: 67%",10
"arrival_3","threshold: 33%",45
"arrival_3","threshold: 40%",39
"arrival_3","threshold: 50%",30
"arrival_3","threshold: 60%",17
"arrival_3","threshold: 67%",10
"arrival_4","threshold: 33%",103
"arrival_4","threshold: 40%",85
"arrival_4","threshold: 50%",55
"arrival_4","threshold: 60%",31
"arrival_4","threshold: 67%",26
"arrival_5","threshold: 33%",72
"arrival_5","threshold: 40%",58
"arrival_5","threshold: 50%",39
"arrival_5","threshold: 60%",21
"arrival_5","threshold: 67%",19
"arrival_6","threshold: 33%",90
"arrival_6","threshold: 40%",68
"arrival_6","threshold: 50%",44
"arrival_6","threshold: 60%",32
"arrival_6","threshold: 67%",24
"being_a_pirate","threshold: 33%",24
"being_a_pirate","threshold: 40%",15
"being_a_pirate","threshold: 50%",12
"being_a_pirate","threshold: 60%",7
"being_a_pirate","threshold: 67%",6
"birthday_party_fun","threshold: 33%",37
"birthday_party_fun","threshold: 40%",31
"birthday_party_fun","threshold: 50%",21
"birthday_party_fun","threshold: 60%",11
"birthday_party_fun","threshold: 67%",8
"by_the_lake","threshold: 33%",37
"by_the_lake","threshold: 40%",28
"by_the_lake","threshold: 50%",13
"by_the_lake","threshold: 60%",6
"by_the_lake","threshold: 67%",6
"campsite","threshold: 33%",34
"campsite","threshold: 40%",22
"campsite","threshold: 50%",13
"campsite","threshold: 60%",8
"campsite","threshold: 67%",6
"deep_sea_divers","threshold: 33%",26
"deep_sea_divers","threshold: 40%",15
"deep_sea_divers","threshold: 50%",11
"deep_sea_divers","threshold: 60%",7
"deep_sea_divers","threshold: 67%",6
"dinosaurs_spacemen_and_ghouls","threshold: 33%",34
"dinosaurs_spacemen_and_ghouls","threshold: 40%",28
"dinosaurs_spacemen_and_ghouls","threshold: 50%",18
"dinosaurs_spacemen_and_ghouls","threshold: 60%",9
"dinosaurs_spacemen_and_ghouls","threshold: 67%",5
"escape_from_the_zoo","threshold: 33%",43
"escape_from_the_zoo","threshold: 40%",32
"escape_from_the_zoo","threshold: 50%",25
"escape_from_the_zoo","threshold: 60%",18
"escape_from_the_zoo","threshold: 67%",13
"exhibit_12","threshold: 33%",21
"exhibit_12","threshold: 40%",13
"exhibit_12","threshold: 50%",9
"exhibit_12","threshold: 60%",6
"exhibit_12","threshold: 67%",6
"flowerman","threshold: 33%",121
"flowerman","threshold: 40%",93
"flowerman","threshold: 50%",68
"flowerman","threshold: 60%",45
"flowerman","threshold: 67%",37
"journey","threshold: 33%",119
"journey","threshold: 40%",92
"journey","threshold: 50%",64
"journey","threshold: 60%",45
"journey","threshold: 67%",33
"make_a_splash","threshold: 33%",28
"make_a_splash","threshold: 40%",23
"make_a_splash","threshold: 50%",13
"make_a_splash","threshold: 60%",11
"make_a_splash","threshold: 67%",6
"picture_this","threshold: 33%",30
"picture_this","threshold: 40%",28
"picture_this","threshold: 50%",14
"picture_this","threshold: 60%",7
"picture_this","threshold: 67%",7
"quest","threshold: 33%",113
"quest","threshold: 40%",102
"quest","threshold: 50%",77
"quest","threshold: 60%",45
"quest","threshold: 67%",38
"return","threshold: 33%",114
"return","threshold: 40%",95
"return","threshold: 50%",62
"return","threshold: 60%",42
"return","threshold: 67%",31
"unfriendly_giants","threshold: 33%",28
"unfriendly_giants","threshold: 40%",19
"unfriendly_giants","threshold: 50%",13
"unfriendly_giants","threshold: 60%",8
"unfriendly_giants","threshold: 67%",5
"waldo_1","threshold: 33%",44
"waldo_1","threshold: 40%",35
"waldo_1","threshold: 50%",23
"waldo_1","threshold: 60%",14
"waldo_1","threshold: 67%",11
"wanderer","threshold: 33%",184
"wanderer","threshold: 40%",160
"wanderer","threshold: 50%",121
"wanderer","threshold: 60%",79
"wanderer","threshold: 67%",61
"wild_west","threshold: 33%",40
"wild_west","threshold: 40%",29
"wild_west","threshold: 50%",20
"wild_west","threshold: 60%",12
"wild_west","threshold: 67%",9
