"stimuli","lemma","n","percent"
"airport","a",1,3.2258064516129
"airport","accident",2,6.45161290322581
"airport","ace",17,54.8387096774194
"airport","action",1,3.2258064516129
"airport","activity",3,9.67741935483871
"airport","ad",1,3.2258064516129
"airport","age",1,3.2258064516129
"airport","air",25,80.6451612903226
"airport","aircraft",3,9.67741935483871
"airport","airfield",1,3.2258064516129
"airport","airline",4,12.9032258064516
"airport","airliner",2,6.45161290322581
"airport","airplane",22,70.9677419354839
"airport","airport",30,96.7741935483871
"airport","airship",2,6.45161290322581
"airport","amount",1,3.2258064516129
"airport","angle",2,6.45161290322581
"airport","animal",5,16.1290322580645
"airport","antenna",1,3.2258064516129
"airport","area",10,32.258064516129
"airport","arm",3,9.67741935483871
"airport","art",1,3.2258064516129
"airport","assessment",1,3.2258064516129
"airport","attendant",10,32.258064516129
"airport","attention",1,3.2258064516129
"airport","back",9,29.0322580645161
"airport","background",10,32.258064516129
"airport","bag",5,16.1290322580645
"airport","baggage",14,45.1612903225806
"airport","balcony",1,3.2258064516129
"airport","balloon",24,77.4193548387097
"airport","band",1,3.2258064516129
"airport","base",1,3.2258064516129
"airport","bat",1,3.2258064516129
"airport","beanies",1,3.2258064516129
"airport","bear",1,3.2258064516129
"airport","beard",5,16.1290322580645
"airport","bed",4,12.9032258064516
"airport","beige",1,3.2258064516129
"airport","belt",5,16.1290322580645
"airport","binocular",1,3.2258064516129
"airport","biplane",14,45.1612903225806
"airport","bird",2,6.45161290322581
"airport","bishop",1,3.2258064516129
"airport","bit",3,9.67741935483871
"airport","blimp",12,38.7096774193548
"airport","blintz",1,3.2258064516129
"airport","board",1,3.2258064516129
"airport","boarding",1,3.2258064516129
"airport","bobble",1,3.2258064516129
"airport","body",2,6.45161290322581
"airport","book",4,12.9032258064516
"airport","boss",1,3.2258064516129
"airport","bottom",11,35.4838709677419
"airport","box",7,22.5806451612903
"airport","boxe",3,9.67741935483871
"airport","boy",4,12.9032258064516
"airport","break",9,29.0322580645161
"airport","briefcase",1,3.2258064516129
"airport","brigade",1,3.2258064516129
"airport","britain",1,3.2258064516129
"airport","brother",1,3.2258064516129
"airport","brothers",1,3.2258064516129
"airport","brown",1,3.2258064516129
"airport","build",1,3.2258064516129
"airport","building",9,29.0322580645161
"airport","bunch",6,19.3548387096774
"airport","bus",22,70.9677419354839
"airport","buse",2,6.45161290322581
"airport","cabin",1,3.2258064516129
"airport","camel",1,3.2258064516129
"airport","car",4,12.9032258064516
"airport","card",11,35.4838709677419
"airport","care",2,6.45161290322581
"airport","cargo",6,19.3548387096774
"airport","carousel",6,19.3548387096774
"airport","carpet",3,9.67741935483871
"airport","carpeting",2,6.45161290322581
"airport","carriage",1,3.2258064516129
"airport","carrier",1,3.2258064516129
"airport","cart",13,41.9354838709677
"airport","cartoon",2,6.45161290322581
"airport","case",3,9.67741935483871
"airport","castle",1,3.2258064516129
"airport","cbe",1,3.2258064516129
"airport","center",10,32.258064516129
"airport","cessna",1,3.2258064516129
"airport","chaos",4,12.9032258064516
"airport","character",2,6.45161290322581
"airport","check",3,9.67741935483871
"airport","child",1,3.2258064516129
"airport","chuck",1,3.2258064516129
"airport","chute",1,3.2258064516129
"airport","cigarette",3,9.67741935483871
"airport","circle",1,3.2258064516129
"airport","city",1,3.2258064516129
"airport","claim",7,22.5806451612903
"airport","clothing",1,3.2258064516129
"airport","cloud",1,3.2258064516129
"airport","coat",9,29.0322580645161
"airport","cockpit",7,22.5806451612903
"airport","code",2,6.45161290322581
"airport","collection",2,6.45161290322581
"airport","color",5,16.1290322580645
"airport","concord",4,12.9032258064516
"airport","concorde",3,9.67741935483871
"airport","cone",2,6.45161290322581
"airport","control",11,35.4838709677419
"airport","controller",1,3.2258064516129
"airport","controllers",1,3.2258064516129
"airport","conveyor",1,3.2258064516129
"airport","corner",6,19.3548387096774
