"","stimuli","lemma","n","percent","id","source","agreement","target"
"1","airport","ace",16,50,1,NA,NA,NA
"2","airport","air",26,81.25,2,NA,NA,NA
"3","airport","airplane",22,68.75,3,"DR2",95.4545455,"airplane_01_og.jpg"
"4","airport","airport",31,96.875,4,NA,NA,NA
"5","airport","area",11,34.375,5,NA,NA,NA
"6","airport","attendant",11,34.375,6,NA,NA,NA
"7","airport","background",11,34.375,7,NA,NA,NA
"8","airport","baggage",15,46.875,8,NA,NA,NA
"9","airport","balloon",25,78.125,9,"boss",87,"balloon01b.jpg"
"10","airport","biplane",12,37.5,10,NA,NA,NA
"11","airport","blimp",12,37.5,11,"DR2",91.3,"blimp_01_og.jpg"
"12","airport","bottom",12,37.5,12,NA,NA,NA
"13","airport","building",10,31.25,13,NA,NA,NA
"14","airport","bus",23,71.875,14,"moreno-martinez",76,"bus.jpg"
"15","airport","card",10,31.25,15,NA,NA,NA
"16","airport","cart",14,43.75,16,"moreno-martinez",75,"cart.jpg"
"17","airport","coat",10,31.25,17,"moreno-martinez",96,"coat.jpg"
"18","airport","control",12,37.5,18,NA,NA,NA
"19","airport","couple",14,43.75,19,NA,NA,NA
"20","airport","elephant",18,56.25,20,"brodeur",95,"africanelephant.jpg"
"21","airport","fire",27,84.375,21,NA,NA,NA
"22","airport","flag",16,50,22,"brodeur",71,"flag.jpg"
"23","airport","flight",11,34.375,23,NA,NA,NA
"24","airport","ground",12,37.5,24,NA,NA,NA
"25","airport","guy",10,31.25,25,NA,NA,NA
"26","airport","helicopter",19,59.375,26,"brodeur",90,"helicopter.jpg"
"27","airport","hose",12,37.5,27,NA,NA,NA
"28","airport","jet",13,40.625,28,NA,NA,NA
"29","airport","kind",15,46.875,29,NA,NA,NA
"30","airport","line",15,46.875,30,NA,NA,NA
"31","airport","lot",17,53.125,31,NA,NA,NA
"32","airport","luggage",28,87.5,32,NA,NA,NA
"33","airport","man",16,50,33,NA,NA,NA
"34","airport","one",14,43.75,34,NA,NA,NA
"35","airport","people",31,96.875,35,NA,NA,NA
"36","airport","plane",30,93.75,36,NA,NA,NA
"37","airport","rocket",12,37.5,37,"DR2",86.3636364,"rocket_01_og.jpg"
"38","airport","scene",19,59.375,38,NA,NA,NA
"39","airport","sky",13,40.625,39,NA,NA,NA
"40","airport","smoke",14,43.75,40,NA,NA,NA
"41","airport","spade",15,46.875,41,NA,NA,NA
"42","airport","tarmac",12,37.5,42,NA,NA,NA
"43","airport","thing",14,43.75,43,NA,NA,NA
"44","airport","top",16,50,44,NA,NA,NA
"45","airport","tower",13,40.625,45,"moreno-martinez",78,"tower.jpg"
"46","airport","truck",23,71.875,46,"DR2",95.4545455,"truck_01_og.jpg"
"47","airport","um",13,40.625,47,NA,NA,NA
"48","airport","watch",12,37.5,48,"DR2",95.4545455,"watch_01_og.jpg"
"49","airport","water",14,43.75,49,NA,NA,NA
"50","airport","wing",11,34.375,50,NA,NA,NA
"51","airport","worker",11,34.375,51,NA,NA,NA
"52","ancient_rome","animal",15,46.875,52,NA,NA,NA
"53","ancient_rome","area",11,34.375,53,NA,NA,NA
"54","ancient_rome","arena",19,59.375,54,NA,NA,NA
"55","ancient_rome","bunch",11,34.375,55,NA,NA,NA
"56","ancient_rome","chariot",22,68.75,56,NA,NA,NA
"57","ancient_rome","colosseum",12,37.5,57,NA,NA,NA
"58","ancient_rome","fight",11,34.375,58,NA,NA,NA
"59","ancient_rome","game",17,53.125,59,NA,NA,NA
"60","ancient_rome","gladiator",13,40.625,60,NA,NA,NA
"61","ancient_rome","ground",11,34.375,61,NA,NA,NA
"62","ancient_rome","hand",12,37.5,62,"brodeur",81,"?"
"63","ancient_rome","horse",27,84.375,63,"brodeur",100,"horse.jpg"
"64","ancient_rome","kind",12,37.5,64,NA,NA,NA
