"file","participant","session","stimuli","lemma"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","story"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","series"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","dozen"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","picture"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","hand"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","side"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","image"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","left"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","woman"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","attire"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","man"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","cap"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","ship"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","infant"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","immigrant"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","century"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","lot"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","luggage"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","journal"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","page"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","paper"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","boat"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","origami"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","bird"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","shirt"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","tie"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","hat"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","flamingo"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","one"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","collar"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","suit"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","eye"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","disappear"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","deck"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","crew"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","score"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","flock"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","attention"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","person"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","rest"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","people"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","taile"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","land"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","postcard"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","time"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","harbor"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","harbour"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","city"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","rise"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","building"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","screen"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","statue"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","entrance"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","middle"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","steamboat"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","marker"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","boy"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","channel"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","theme"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","railing"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","eagle"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","boats"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","container"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","teapot"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","crawl"
"Participant1_Session1_Corrected.vtt","Participant1","Session1","arrival-2","rabbit"
