"stimuli","lemma","n","percent"
"ancient_rome","area",1,100
"ancient_rome","arena",1,100
"ancient_rome","arm",1,100
"ancient_rome","atop",1,100
"ancient_rome","bottom",1,100
"ancient_rome","caesar",1,100
"ancient_rome","camera",1,100
"ancient_rome","cart",1,100
"ancient_rome","chariot",1,100
"ancient_rome","colosseum",1,100
"ancient_rome","cross",1,100
"ancient_rome","crowd",1,100
"ancient_rome","driver",1,100
"ancient_rome","fork",1,100
"ancient_rome","fun",1,100
"ancient_rome","game",1,100
"ancient_rome","gladiator",1,100
"ancient_rome","golf",1,100
"ancient_rome","hand",1,100
"ancient_rome","head",1,100
"ancient_rome","horse",1,100
"ancient_rome","knife",1,100
"ancient_rome","ladder",1,100
"ancient_rome","leopard",1,100
"ancient_rome","line",1,100
"ancient_rome","lion",1,100
"ancient_rome","lions",1,100
"ancient_rome","lot",1,100
"ancient_rome","lots",1,100
"ancient_rome","man",1,100
"ancient_rome","middle",1,100
"ancient_rome","napkin",1,100
"ancient_rome","neck",1,100
"ancient_rome","ought",1,100
"ancient_rome","paddling",1,100
"ancient_rome","people",1,100
"ancient_rome","person",1,100
"ancient_rome","phalanx",1,100
"ancient_rome","picture",1,100
"ancient_rome","podium",1,100
"ancient_rome","pool",1,100
"ancient_rome","process",1,100
"ancient_rome","pyramid",1,100
"ancient_rome","rank",1,100
"ancient_rome","rome",1,100
"ancient_rome","screen",1,100
"ancient_rome","seating",1,100
"ancient_rome","severity",1,100
"ancient_rome","shoe",1,100
"ancient_rome","side",1,100
"ancient_rome","situation",1,100
"ancient_rome","soul",1,100
"ancient_rome","spear",1,100
"ancient_rome","spectator",1,100
"ancient_rome","strongman",1,100
"ancient_rome","supper",1,100
"ancient_rome","thing",1,100
"ancient_rome","wall",1,100
"ancient_rome","zandura",1,100
"arrival-1","apron",1,100
"arrival-1","area",1,100
"arrival-1","arrive",1,100
"arrival-1","background",1,100
"arrival-1","bank",1,100
"arrival-1","bed",1,100
"arrival-1","bedding",1,100
"arrival-1","belt",1,100
"arrival-1","bird",1,100
"arrival-1","boat",1,100
"arrival-1","boot",1,100
"arrival-1","bow",1,100
"arrival-1","bowl",1,100
"arrival-1","briefcase",1,100
"arrival-1","broken",1,100
"arrival-1","buckle",1,100
"arrival-1","building",1,100
"arrival-1","but",1,100
"arrival-1","cabin",1,100
"arrival-1","case",1,100
"arrival-1","caster",1,100
"arrival-1","character",1,100
"arrival-1","chest",1,100
"arrival-1","child",1,100
"arrival-1","chimney",1,100
"arrival-1","clock",1,100
"arrival-1","crack",1,100
"arrival-1","cup",1,100
"arrival-1","deck",1,100
"arrival-1","despondent",1,100
"arrival-1","distance",1,100
"arrival-1","dock",1,100
"arrival-1","dragon",1,100
"arrival-1","edge",1,100
"arrival-1","engine",1,100
"arrival-1","eye",1,100
"arrival-1","family",1,100
"arrival-1","father",1,100
"arrival-1","funnel",1,100
"arrival-1","gift",1,100
"arrival-1","girl",1,100
"arrival-1","growth",1,100
"arrival-1","guy",1,100
"arrival-1","hand",1,100
"arrival-1","hat",1,100
"arrival-1","head",1,100
"arrival-1","hold",1,100
"arrival-1","home",1,100
"arrival-1","hook",1,100
"arrival-1","hug",1,100
"arrival-1","image",1,100
"arrival-1","iron",1,100
"arrival-1","journey",1,100
"arrival-1","kitchen",1,100
"arrival-1","ladle",1,100
"arrival-1","lid",1,100
"arrival-1","lot",1,100
"arrival-1","luggage",1,100
"arrival-1","man",1,100
"arrival-1","mention",1,100
"arrival-1","metal",1,100
"arrival-1","morning",1,100
"arrival-1","mother",1,100
"arrival-1","mr",1,100
"arrival-1","one",1,100
"arrival-1","origami",1,100
"arrival-1","package",1,100
"arrival-1","page",1,100
"arrival-1","paper",1,100
"arrival-1","passengers",1,100
"arrival-1","pen",1,100
"arrival-1","people",1,100
"arrival-1","photograph",1,100
"arrival-1","physique",1,100
"arrival-1","picture",1,100
"arrival-1","pigeon",1,100
"arrival-1","place",1,100
"arrival-1","platform",1,100
"arrival-1","porridge",1,100
"arrival-1","port",1,100
"arrival-1","portal",1,100
"arrival-1","portrain",1,100
"arrival-1","pot",1,100
"arrival-1","range",1,100
"arrival-1","room",1,100
"arrival-1","row",1,100
"arrival-1","scarf",1,100
"arrival-1","shadow",1,100
"arrival-1","shelf",1,100
"arrival-1","ship",1,100
"arrival-1","side",1,100
"arrival-1","smoke",1,100
"arrival-1","spike",1,100
"arrival-1","spiny",1,100
"arrival-1","station",1,100
"arrival-1","steam",1,100
"arrival-1","strap",1,100
"arrival-1","street",1,100
"arrival-1","string",1,100
"arrival-1","suitcase",1,100
"arrival-1","table",1,100
"arrival-1","tail",1,100
"arrival-1","take",1,100
"arrival-1","tania",1,100
"arrival-1","tassel",1,100
"arrival-1","tea",1,100
"arrival-1","teapot",1,100
"arrival-1","thing",1,100
"arrival-1","thumbnail",1,100
"arrival-1","ticket",1,100
"arrival-1","top",1,100
"arrival-1","train",1,100
"arrival-1","travel",1,100
"arrival-1","trunk",1,100
"arrival-1","type",1,100
"arrival-1","wall",1,100
"arrival-1","wife",1,100
"arrival-1","woman",1,100
"arrival-2","approach",1,100
"arrival-2","arm",1,100
"arrival-2","attention",1,100
"arrival-2","attire",1,100
"arrival-2","belonging",1,100
"arrival-2","bird",1,100
"arrival-2","boat",1,100
"arrival-2","boats",1,100
"arrival-2","boy",1,100
"arrival-2","building",1,100
"arrival-2","cap",1,100
"arrival-2","century",1,100
"arrival-2","channel",1,100
"arrival-2","child",1,100
"arrival-2","city",1,100
"arrival-2","cityscape",1,100
"arrival-2","cloud",1,100
"arrival-2","collar",1,100
"arrival-2","container",1,100
"arrival-2","crawl",1,100
"arrival-2","crew",1,100
"arrival-2","deck",1,100
"arrival-2","disappear",1,100
"arrival-2","dock",1,100
"arrival-2","dozen",1,100
"arrival-2","eagle",1,100
"arrival-2","engines",1,100
"arrival-2","entrance",1,100
"arrival-2","eye",1,100
"arrival-2","faiz",1,100
"arrival-2","family",1,100
"arrival-2","flamingo",1,100
"arrival-2","flock",1,100
"arrival-2","gangplank",1,100
"arrival-2","gate",1,100
"arrival-2","hand",1,100
"arrival-2","harbor",1,100
"arrival-2","harbour",1,100
"arrival-2","hat",1,100
"arrival-2","image",1,100
"arrival-2","immigrant",1,100
"arrival-2","infant",1,100
"arrival-2","instruction",1,100
"arrival-2","journal",1,100
"arrival-2","land",1,100
"arrival-2","left",1,100
"arrival-2","lot",1,100
"arrival-2","luggage",1,100
"arrival-2","man",1,100
"arrival-2","marker",1,100
"arrival-2","megaphone",1,100
"arrival-2","member",1,100
"arrival-2","middle",1,100
"arrival-2","monkey",1,100
