"stimuli","threshold","passed_threshold"
"airport","threshold: 33%",46
"airport","threshold: 40%",32
"airport","threshold: 50%",17
"airport","threshold: 60%",9
"airport","threshold: 67%",7
"ancient_rome","threshold: 33%",24
"ancient_rome","threshold: 40%",21
"ancient_rome","threshold: 50%",11
"ancient_rome","threshold: 60%",5
"ancient_rome","threshold: 67%",5
"arrival_1","threshold: 33%",48
"arrival_1","threshold: 40%",35
"arrival_1","threshold: 50%",25
"arrival_1","threshold: 60%",8
"arrival_1","threshold: 67%",6
"arrival_2","threshold: 33%",31
"arrival_2","threshold: 40%",25
"arrival_2","threshold: 50%",19
"arrival_2","threshold: 60%",9
"arrival_2","threshold: 67%",7
"arrival_3","threshold: 33%",43
"arrival_3","threshold: 40%",34
"arrival_3","threshold: 50%",27
"arrival_3","threshold: 60%",12
"arrival_3","threshold: 67%",10
"arrival_4","threshold: 33%",95
"arrival_4","threshold: 40%",74
"arrival_4","threshold: 50%",45
"arrival_4","threshold: 60%",26
"arrival_4","threshold: 67%",21
"arrival_5","threshold: 33%",65
"arrival_5","threshold: 40%",51
"arrival_5","threshold: 50%",34
"arrival_5","threshold: 60%",13
"arrival_5","threshold: 67%",9
"arrival_6","threshold: 33%",96
"arrival_6","threshold: 40%",76
"arrival_6","threshold: 50%",55
"arrival_6","threshold: 60%",37
"arrival_6","threshold: 67%",31
"being_a_pirate","threshold: 33%",25
"being_a_pirate","threshold: 40%",19
"being_a_pirate","threshold: 50%",9
"being_a_pirate","threshold: 60%",6
"being_a_pirate","threshold: 67%",5
"birthday_party_fun","threshold: 33%",37
"birthday_party_fun","threshold: 40%",32
"birthday_party_fun","threshold: 50%",21
"birthday_party_fun","threshold: 60%",10
"birthday_party_fun","threshold: 67%",9
"by_the_lake","threshold: 33%",28
"by_the_lake","threshold: 40%",19
"by_the_lake","threshold: 50%",11
"by_the_lake","threshold: 60%",4
"by_the_lake","threshold: 67%",2
"campsite","threshold: 33%",36
"campsite","threshold: 40%",30
"campsite","threshold: 50%",19
"campsite","threshold: 60%",9
"campsite","threshold: 67%",7
"deep_sea_divers","threshold: 33%",18
"deep_sea_divers","threshold: 40%",17
"deep_sea_divers","threshold: 50%",12
"deep_sea_divers","threshold: 60%",5
"deep_sea_divers","threshold: 67%",3
"dinosaurs_spacemen_and_ghouls","threshold: 33%",40
"dinosaurs_spacemen_and_ghouls","threshold: 40%",30
"dinosaurs_spacemen_and_ghouls","threshold: 50%",19
"dinosaurs_spacemen_and_ghouls","threshold: 60%",12
"dinosaurs_spacemen_and_ghouls","threshold: 67%",7
"escape_from_the_zoo","threshold: 33%",37
"escape_from_the_zoo","threshold: 40%",30
"escape_from_the_zoo","threshold: 50%",20
"escape_from_the_zoo","threshold: 60%",9
"escape_from_the_zoo","threshold: 67%",6
"exhibit_12","threshold: 33%",18
"exhibit_12","threshold: 40%",11
"exhibit_12","threshold: 50%",9
"exhibit_12","threshold: 60%",4
"exhibit_12","threshold: 67%",3
"flowerman","threshold: 33%",110
"flowerman","threshold: 40%",97
"flowerman","threshold: 50%",71
"flowerman","threshold: 60%",47
"flowerman","threshold: 67%",39
"journey","threshold: 33%",114
"journey","threshold: 40%",95
"journey","threshold: 50%",67
"journey","threshold: 60%",38
"journey","threshold: 67%",32
"make_a_splash","threshold: 33%",23
"make_a_splash","threshold: 40%",17
"make_a_splash","threshold: 50%",12
"make_a_splash","threshold: 60%",4
"make_a_splash","threshold: 67%",3
"picture_this","threshold: 33%",29
"picture_this","threshold: 40%",25
"picture_this","threshold: 50%",17
"picture_this","threshold: 60%",7
"picture_this","threshold: 67%",1
"quest","threshold: 33%",101
"quest","threshold: 40%",91
"quest","threshold: 50%",61
"quest","threshold: 60%",31
"quest","threshold: 67%",28
"return","threshold: 33%",105
"return","threshold: 40%",93
"return","threshold: 50%",66
"return","threshold: 60%",32
"return","threshold: 67%",27
"unfriendly_giants","threshold: 33%",28
"unfriendly_giants","threshold: 40%",21
"unfriendly_giants","threshold: 50%",13
"unfriendly_giants","threshold: 60%",5
"unfriendly_giants","threshold: 67%",4
"waldo_1","threshold: 33%",54
"waldo_1","threshold: 40%",44
"waldo_1","threshold: 50%",28
"waldo_1","threshold: 60%",14
"waldo_1","threshold: 67%",11
"wanderer","threshold: 33%",153
"wanderer","threshold: 40%",130
"wanderer","threshold: 50%",84
"wanderer","threshold: 60%",49
"wanderer","threshold: 67%",30
"wild_west","threshold: 33%",36
"wild_west","threshold: 40%",31
"wild_west","threshold: 50%",20
"wild_west","threshold: 60%",11
"wild_west","threshold: 67%",10
