"stimuli","threshold","passed_threshold"
"airport","threshold: 33%",28
"airport","threshold: 40%",22
"airport","threshold: 50%",12
"airport","threshold: 60%",9
"airport","threshold: 67%",8
"ancient_rome","threshold: 33%",21
"ancient_rome","threshold: 40%",17
"ancient_rome","threshold: 50%",13
"ancient_rome","threshold: 60%",8
"ancient_rome","threshold: 67%",7
"arrival_1","threshold: 33%",45
"arrival_1","threshold: 40%",37
"arrival_1","threshold: 50%",27
"arrival_1","threshold: 60%",19
"arrival_1","threshold: 67%",11
"arrival_2","threshold: 33%",32
"arrival_2","threshold: 40%",26
"arrival_2","threshold: 50%",18
"arrival_2","threshold: 60%",11
"arrival_2","threshold: 67%",10
"arrival_3","threshold: 33%",36
"arrival_3","threshold: 40%",35
"arrival_3","threshold: 50%",29
"arrival_3","threshold: 60%",17
"arrival_3","threshold: 67%",11
"arrival_4","threshold: 33%",72
"arrival_4","threshold: 40%",64
"arrival_4","threshold: 50%",43
"arrival_4","threshold: 60%",30
"arrival_4","threshold: 67%",25
"arrival_5","threshold: 33%",49
"arrival_5","threshold: 40%",40
"arrival_5","threshold: 50%",29
"arrival_5","threshold: 60%",16
"arrival_5","threshold: 67%",12
"arrival_6","threshold: 33%",58
"arrival_6","threshold: 40%",48
"arrival_6","threshold: 50%",35
"arrival_6","threshold: 60%",25
"arrival_6","threshold: 67%",15
"being_a_pirate","threshold: 33%",24
"being_a_pirate","threshold: 40%",16
"being_a_pirate","threshold: 50%",12
"being_a_pirate","threshold: 60%",8
"being_a_pirate","threshold: 67%",7
"birthday_party_fun","threshold: 33%",31
"birthday_party_fun","threshold: 40%",25
"birthday_party_fun","threshold: 50%",18
"birthday_party_fun","threshold: 60%",9
"birthday_party_fun","threshold: 67%",7
"by_the_lake","threshold: 33%",29
"by_the_lake","threshold: 40%",22
"by_the_lake","threshold: 50%",11
"by_the_lake","threshold: 60%",8
"by_the_lake","threshold: 67%",6
"campsite","threshold: 33%",28
"campsite","threshold: 40%",21
"campsite","threshold: 50%",14
"campsite","threshold: 60%",8
"campsite","threshold: 67%",6
"deep_sea_divers","threshold: 33%",19
"deep_sea_divers","threshold: 40%",15
"deep_sea_divers","threshold: 50%",11
"deep_sea_divers","threshold: 60%",9
"deep_sea_divers","threshold: 67%",8
"dinosaurs_spacemen_and_ghouls","threshold: 33%",25
"dinosaurs_spacemen_and_ghouls","threshold: 40%",21
"dinosaurs_spacemen_and_ghouls","threshold: 50%",14
"dinosaurs_spacemen_and_ghouls","threshold: 60%",10
"dinosaurs_spacemen_and_ghouls","threshold: 67%",8
"escape_from_the_zoo","threshold: 33%",29
"escape_from_the_zoo","threshold: 40%",25
"escape_from_the_zoo","threshold: 50%",20
"escape_from_the_zoo","threshold: 60%",13
"escape_from_the_zoo","threshold: 67%",9
"exhibit_12","threshold: 33%",15
"exhibit_12","threshold: 40%",11
"exhibit_12","threshold: 50%",8
"exhibit_12","threshold: 60%",7
"exhibit_12","threshold: 67%",7
"flowerman","threshold: 33%",82
"flowerman","threshold: 40%",65
"flowerman","threshold: 50%",46
"flowerman","threshold: 60%",34
"flowerman","threshold: 67%",28
"journey","threshold: 33%",96
"journey","threshold: 40%",73
"journey","threshold: 50%",55
"journey","threshold: 60%",42
"journey","threshold: 67%",34
"make_a_splash","threshold: 33%",19
"make_a_splash","threshold: 40%",15
"make_a_splash","threshold: 50%",11
"make_a_splash","threshold: 60%",10
"make_a_splash","threshold: 67%",5
"picture_this","threshold: 33%",23
"picture_this","threshold: 40%",19
"picture_this","threshold: 50%",13
"picture_this","threshold: 60%",9
"picture_this","threshold: 67%",9
"quest","threshold: 33%",88
"quest","threshold: 40%",77
"quest","threshold: 50%",63
"quest","threshold: 60%",40
"quest","threshold: 67%",33
"return","threshold: 33%",69
"return","threshold: 40%",58
"return","threshold: 50%",41
"return","threshold: 60%",34
"return","threshold: 67%",26
"unfriendly_giants","threshold: 33%",21
"unfriendly_giants","threshold: 40%",15
"unfriendly_giants","threshold: 50%",13
"unfriendly_giants","threshold: 60%",8
"unfriendly_giants","threshold: 67%",5
"waldo_1","threshold: 33%",31
"waldo_1","threshold: 40%",25
"waldo_1","threshold: 50%",17
"waldo_1","threshold: 60%",13
"waldo_1","threshold: 67%",11
"wanderer","threshold: 33%",127
"wanderer","threshold: 40%",110
"wanderer","threshold: 50%",82
"wanderer","threshold: 60%",55
"wanderer","threshold: 67%",44
"wild_west","threshold: 33%",28
"wild_west","threshold: 40%",21
"wild_west","threshold: 50%",15
"wild_west","threshold: 60%",11
"wild_west","threshold: 67%",11
