"","stimuli","origin","synonyms"
"1","airport","box","box"
"2","airport","airport","airport"
"3","airport","people","people"
"4","airport","aircraft","airliner"
"5","airport","aircraft","airship"
"6","airport","aircraft","plane"
"7","airport","bag","baggage"
"8","airport","bag","luggage"
"9","airport","bag","suitcase"
"10","airport","fire","fire"
"11","airport","balloon","balloon"
"12","airport","airplane","airplane"
"13","airport","bus","bus"
"14","airport","truck","truck"
"15","airport","helicopter","helicopter"
"16","airport","elephant","elephant"
"17","airport","man","man"
"18","airport","flag","flag"
"19","airport","line","line"
"20","airport","smoke","smoke"
"21","airport","cart","cart"
"22","airport","couple","couple"
"23","airport","jet","jet"
"24","airport","sky","sky"
"25","airport","tower","tower"
"26","airport","water","water"
"27","airport","hose","hose"
"28","airport","rocket","rocket"
"29","airport","watch","watch"
"30","airport","blimp","blimp"
"31","airport","waldo","waldo"
"32","airport","wing","wing"
"33","airport","attendant","crew"
"34","airport","attendant","staff"
"35","airport","card","card"
"36","airport","stair","stair"
"37","airport","tarmac","tarmac"
"38","airport","building","building"
"39","airport","coat","coat"
"40","airport","engine","engine"
"41","airport","guy","guy"
"42","airport","person","person"
"43","airport","saucer","spaceship"
"44","airport","flagpole","flagpole"
"45","airport","forklift","forklift"
"46","airport","fuel","fuel"
"47","airport","nose","nose"
"48","airport","picture","picture"
"49","airport","pilot","pilot"
"50","airport","security","security"
"51","airport","ticket","ticket"
"52","airport","traffic","traffic"
"53","airport","vehicle","vehicle"
"54","airport","desk","desk"
"55","airport","door","door"
"56","airport","fork","fork"
"57","airport","page","page"
"58","airport","stripe","stripe"
"59","airport","cargo","cargo"
"60","airport","carousel","carousel"
"61","airport","cockpit","cockpit"
"62","airport","passengers","passengers"
"63","airport","runway","runway"
"64","airport","terminal","terminal"
"65","airport","trucks","trucks"
"66","airport","uniform","uniform"
"67","airport","beard","beard"
"68","airport","belt","belt"
"69","airport","folk","folk"
"70","airport","herd","herd"
"71","airport","knife","knife"
"72","airport","passenger","passenger"
"73","airport","bed","bed"
"74","airport","book","book"
"75","airport","boy","boy"
"76","airport","car","car"
"77","airport","counter","counter"
"78","airport","crate","crate"
"79","airport","deck","deck"
"80","airport","food","food"
"81","airport","gas","gas"
"82","airport","group","group"
"83","airport","hand","hand"
"84","airport","handler","handler"
"85","airport","hat","hat"
"86","airport","lift","lift"
"87","airport","postcard","postcard"
"88","airport","ramp","ramp"
"89","airport","shirt","shirt"
"90","airport","shoe","shoe"
"91","airport","tractor","tractor"
"92","airport","woman","woman"
"93","airport","aircraft","plane"
