"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"fun_and_games_in_ancient_rome","animal",2,6.25,"","","","",""
"fun_and_games_in_ancient_rome","chariot",2,6.25,"","","","",""
"fun_and_games_in_ancient_rome","horse",2,6.25,"","","","",""
"fun_and_games_in_ancient_rome","itis",2,6.25,"","","","",""
"fun_and_games_in_ancient_rome","lion",2,6.25,"","","","",""
"fun_and_games_in_ancient_rome","lot",2,6.25,"","","","",""
"fun_and_games_in_ancient_rome","man",2,6.25,"","","","",""
"fun_and_games_in_ancient_rome","people",2,6.25,"","","","",""
"fun_and_games_in_ancient_rome","sand",2,6.25,"","","","",""
"fun_and_games_in_ancient_rome","soldier",2,6.25,"","","","",""
"fun_and_games_in_ancient_rome","thing",2,6.25,"","","","",""
"fun_and_games_in_ancient_rome","type",2,6.25,"","","","",""
"fun_and_games_in_ancient_rome","ant",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","arena",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","armor",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","battle",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","chain",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","christians",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","color",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","colosseum",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","crowd",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","doorway",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","everything",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","fall",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","fight",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","fist",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","food",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","fun",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","game",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","gladiator",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","ground",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","guy",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","hand",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","hmm",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","human",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","kind",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","kinda",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","land",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","leopard",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","line",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","lions",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","middle",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","morning",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","nice",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","part",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","picture",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","pile",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","place",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","power",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","pyramid",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","races",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","rest",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","ride",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","ring",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","rink",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","rome",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","scene",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","shield",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","spear",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","sport",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","stadium",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","stand",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","structure",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","stuff",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","sword",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","team",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","thatis",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","theyare",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","titis",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","toga",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","top",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","umm",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","wall",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","water",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","waving",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","weapon",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","whatis",1,3.125,"","","","",""
"fun_and_games_in_ancient_rome","whip",1,3.125,"","","","",""
