stimuli,lemma,n,percent,isPicturable,notNoun,checkThisWord,duplicateOf,synonymOf,lemma_hc
arrival_3,daisie,1,3.125,1,0,1,,,daisy
arrival_3,sparkl,1,3.125,1,0,1,,,sparkle
arrival_3,mens,1,3.125,0,0,1,,,mens
arrival_3,ching,7,21.875,0,1,1,,,ching
arrival_3,whatis,4,12.5,0,1,1,,,whatis
arrival_3,Ibe,3,9.375,0,1,1,,,Ibe
arrival_3,theis,2,6.25,0,1,1,,,theis
arrival_3,theyhave,2,6.25,0,1,1,,,theyhave
arrival_3,cbe,1,3.125,0,1,1,,,cbe
arrival_3,fizz,1,3.125,0,1,1,,,fizz
arrival_3,iguato,1,3.125,0,1,1,,,iguato
arrival_3,kinday,1,3.125,0,1,1,,,kinday
arrival_3,komodo,1,3.125,0,1,1,,,komodo
arrival_3,loave,1,3.125,1,0,1,,,loaves
arrival_3,naver,1,3.125,0,1,1,,,naver
arrival_3,s,1,3.125,0,1,1,,,s
arrival_3,sewing,1,3.125,0,1,1,,,sewing
arrival_3,stroot,1,3.125,0,1,1,,,stroot
arrival_3,thitey,1,3.125,0,1,1,,,thitey
arrival_3,twelvethousandthreehundredfortyfive,1,3.125,0,1,1,,,twelvethousandthreehundredfortyfive
arrival_3,man,29,90.625,1,0,0,,"guy, gentleman",man
arrival_3,hat,28,87.5,1,0,0,,,hat
arrival_3,book,27,84.375,1,0,0,,,book
arrival_3,egg,27,84.375,1,0,0,,,egg
arrival_3,cat,26,81.25,1,0,0,,,cat
arrival_3,suitcase,26,81.25,1,0,0,,,suitcase
arrival_3,woman,26,81.25,1,0,0,,"lady, girl",woman
arrival_3,bed,22,68.75,1,0,0,,,bed
arrival_3,people,22,68.75,1,0,0,person,,people
arrival_3,street,22,68.75,1,0,0,,road,street
arrival_3,ground,21,65.625,1,0,0,,"floor, land",ground
arrival_3,newspaper,21,65.625,1,0,0,,"paper, tabloid",newspaper
arrival_3,picture,21,65.625,1,0,0,,,picture
arrival_3,bird,20,62.5,1,0,0,,,bird
arrival_3,cart,20,62.5,1,0,0,,,cart
arrival_3,hand,20,62.5,1,0,0,,,hand
arrival_3,barber,19,59.375,1,0,0,,,barber
arrival_3,boy,19,59.375,1,0,0,,,boy
arrival_3,head,18,56.25,1,0,0,,,head
arrival_3,light,18,56.25,1,0,0,,,light
arrival_3,snail,18,56.25,1,0,0,,,snail
arrival_3,time,18,56.25,1,0,0,,,time
arrival_3,basket,17,53.125,1,0,0,,,basket
arrival_3,clock,17,53.125,1,0,0,,"watch, stopwatch",clock
arrival_3,violin,17,53.125,1,0,0,,,violin
arrival_3,watch,17,53.125,1,0,0,,"clock, stopwatch",watch
arrival_3,animal,16,50,1,0,0,,,animal
arrival_3,instrument,16,50,1,0,0,,,instrument
arrival_3,accordion,14,43.75,1,0,0,,instrument ,accordion
arrival_3,arrow,14,43.75,1,0,0,,,arrow
arrival_3,map,14,43.75,1,0,0,,,map
arrival_3,arm,13,40.625,1,0,0,,,arm
arrival_3,sign,13,40.625,1,0,0,,,sign
arrival_3,person,12,37.5,1,0,0,people,,person
arrival_3,rabbit,10,31.25,1,0,0,,animal,rabbit
arrival_3,shoulder,10,31.25,1,0,0,,,shoulder
arrival_3,wind,10,31.25,1,0,0,,air,wind
arrival_3,window,10,31.25,1,0,0,,,window
arrival_3,building,9,28.125,1,0,0,,,building
arrival_3,musician,9,28.125,1,0,0,,,musician
arrival_3,pocket,9,28.125,1,0,0,,,pocket
arrival_3,sky,9,28.125,1,0,0,,,sky
arrival_3,tower,9,28.125,1,0,0,,,tower
arrival_3,box,8,25,1,0,0,,,box
arrival_3,chair,8,25,1,0,0,,,chair
arrival_3,couple,8,25,1,0,0,,,couple
arrival_3,finger,8,25,1,0,0,,,finger
arrival_3,guy,8,25,1,0,0,,"man, gentleman",guy
arrival_3,horn,8,25,1,0,0,,,horn
arrival_3,lizard,8,25,1,0,0,,animal,lizard
arrival_3,paper,8,25,1,0,0,papers,"newpaper, sheet",paper
arrival_3,sidewalk,8,25,1,0,0,,,sidewalk
arrival_3,tea,8,25,1,0,0,,,tea
arrival_3,turban,8,25,1,0,0,,,turban
arrival_3,vendor,8,25,1,0,0,,,vendor
arrival_3,child,7,21.875,1,0,0,,,child
arrival_3,floor,7,21.875,1,0,0,,ground,floor
arrival_3,lady,7,21.875,1,0,0,,"woman, girl",lady
arrival_3,page,7,21.875,1,0,0,,,page
arrival_3,papers,7,21.875,1,0,0,paper ,,papers
arrival_3,poster,7,21.875,1,0,0,,,poster
arrival_3,sheet,7,21.875,1,0,0,,paper,sheet
arrival_3,suit,7,21.875,1,0,0,,,suit
arrival_3,wheel,7,21.875,1,0,0,,,wheel
arrival_3,air,6,18.75,1,0,0,,wind,air
arrival_3,city,6,18.75,1,0,0,,,city
arrival_3,coffee,6,18.75,1,0,0,,,coffee
arrival_3,crate,6,18.75,1,0,0,,,crate
arrival_3,food,6,18.75,1,0,0,,,food
arrival_3,tail,6,18.75,1,0,0,,,tail
arrival_3,top,6,18.75,1,0,0,,,top
arrival_3,town,6,18.75,1,0,0,,,town
arrival_3,trumpet,6,18.75,1,0,0,,instrument ,trumpet
arrival_3,wall,6,18.75,1,0,0,,,wall
arrival_3,backpack,5,15.625,1,0,0,,,backpack
arrival_3,pet,5,15.625,1,0,0,,animal,pet
arrival_3,road,5,15.625,1,0,0,,street,road
arrival_3,smoke,5,15.625,1,0,0,smokestack,,smoke
arrival_3,steam,5,15.625,1,0,0,,,steam
arrival_3,story,5,15.625,1,0,0,,,story
arrival_3,tuba,5,15.625,1,0,0,,instrument ,tuba
arrival_3,compass,4,12.5,1,0,0,,,compass
arrival_3,foot,4,12.5,1,0,0,,,foot
arrival_3,hair,4,12.5,1,0,0,,,hair
arrival_3,luggage,4,12.5,1,0,0,,,luggage
arrival_3,notebook,4,12.5,1,0,0,,,notebook
arrival_3,number,4,12.5,1,0,0,,,number
arrival_3,pigeon,4,12.5,1,0,0,,,pigeon
arrival_3,snowflake,4,12.5,1,0,0,,,snowflake
arrival_3,archway,3,9.375,1,0,0,,,archway
arrival_3,barbershop,3,9.375,1,0,0,,,barbershop
arrival_3,bicycle,3,9.375,1,0,0,bike,,bicycle
arrival_3,bunny,3,9.375,1,0,0,,,bunny
arrival_3,circle,3,9.375,1,0,0,,,circle
arrival_3,coat,3,9.375,1,0,0,,,coat
arrival_3,crab,3,9.375,1,0,0,,,crab
arrival_3,cup,3,9.375,1,0,0,,,cup
arrival_3,dinosaur,3,9.375,1,0,0,,,dinosaur
arrival_3,dress,3,9.375,1,0,0,,,dress
arrival_3,ear,3,9.375,1,0,0,,,ear
arrival_3,face,3,9.375,1,0,0,,,face
arrival_3,fiddle,3,9.375,1,0,0,,instrument ,fiddle
arrival_3,gentleman,3,9.375,1,0,0,,guy,gentleman
arrival_3,jacket,3,9.375,1,0,0,,,jacket
arrival_3,kid,3,9.375,1,0,0,,,kid
arrival_3,magazine,3,9.375,1,0,0,,,magazine
arrival_3,market,3,9.375,1,0,0,,,market
arrival_3,neck,3,9.375,1,0,0,,,neck
arrival_3,pushcart,3,9.375,1,0,0,,cart,pushcart
arrival_3,row,3,9.375,1,0,0,,,row
arrival_3,shirt,3,9.375,1,0,0,,,shirt
arrival_3,snow,3,9.375,1,0,0,,,snow
arrival_3,squirrel,3,9.375,1,0,0,,,squirrel
arrival_3,stool,3,9.375,1,0,0,,,stool
arrival_3,stopwatch,3,9.375,1,0,0,,"watch, clock",stopwatch
arrival_3,straw,3,9.375,1,0,0,,,straw
arrival_3,teapot,3,9.375,1,0,0,,,teapot
arrival_3,walk,3,9.375,1,0,0,,,walk
arrival_3,apron,2,6.25,1,0,0,,,apron
arrival_3,attire,2,6.25,1,0,0,,,attire
arrival_3,band,2,6.25,1,0,0,,,band
arrival_3,beard,2,6.25,1,0,0,,,beard
arrival_3,bike,2,6.25,1,0,0,bicycle,,bike
arrival_3,boat,2,6.25,1,0,0,,,boat
arrival_3,brick,2,6.25,1,0,0,,,brick
arrival_3,bubble,2,6.25,1,0,0,,,bubble
arrival_3,cap,2,6.25,1,0,0,,,cap
arrival_3,church,2,6.25,1,0,0,,,church
arrival_3,cloth,2,6.25,1,0,0,,,cloth
arrival_3,clothes,2,6.25,1,0,0,,,clothes
arrival_3,cream,2,6.25,1,0,0,,,cream
arrival_3,curb,2,6.25,1,0,0,,,curb
arrival_3,doorway,2,6.25,1,0,0,,,doorway
arrival_3,dragon,2,6.25,1,0,0,,,dragon
arrival_3,ears,2,6.25,1,0,0,,,ears
arrival_3,firefly,2,6.25,1,0,0,,,firefly
arrival_3,frame,2,6.25,1,0,0,,,frame
arrival_3,girl,2,6.25,1,0,0,,"lady, woman",girl
arrival_3,hotel,2,6.25,1,0,0,,,hotel
arrival_3,iguana,2,6.25,1,0,0,,,iguana
arrival_3,image,2,6.25,1,0,0,,,image
arrival_3,kettle,2,6.25,1,0,0,,,kettle
arrival_3,knitting,2,6.25,1,0,0,,,knitting
arrival_3,letter,2,6.25,1,0,0,,,letter
arrival_3,machine,2,6.25,1,0,0,,,machine
arrival_3,mouse,2,6.25,1,0,0,,,mouse
arrival_3,newsboy,2,6.25,1,0,0,,,newsboy
arrival_3,nose,2,6.25,1,0,0,,,nose
arrival_3,orb,2,6.25,1,0,0,,,orb
arrival_3,pants,2,6.25,1,0,0,,,pants
arrival_3,photo,2,6.25,1,0,0,,,photo
arrival_3,plant,2,6.25,1,0,0,,,plant
arrival_3,porcupine,2,6.25,1,0,0,,animal,porcupine
arrival_3,possum,2,6.25,1,0,0,,animal,possum
arrival_3,pot,2,6.25,1,0,0,,,pot
arrival_3,razor,2,6.25,1,0,0,,,razor
arrival_3,reptile,2,6.25,1,0,0,,,reptile
arrival_3,screen,2,6.25,1,0,0,,,screen
arrival_3,shoe,2,6.25,1,0,0,,,shoe
arrival_3,shoulders,2,6.25,1,0,0,,,shoulders
arrival_3,smokestack,2,6.25,1,0,0,smoke,,smokestack
arrival_3,star,2,6.25,1,0,0,,,star
arrival_3,store,2,6.25,1,0,0,,,store
arrival_3,string,2,6.25,1,0,0,,,string
arrival_3,sun,2,6.25,1,0,0,,,sun
arrival_3,torso,2,6.25,1,0,0,,,torso
arrival_3,turbine,2,6.25,1,0,0,,,turbine
arrival_3,vest,2,6.25,1,0,0,,,vest
arrival_3,violinist,2,6.25,1,0,0,,,violinist
arrival_3,aardvark,1,3.125,1,0,0,,animal,aardvark
arrival_3,apartment,1,3.125,1,0,0,,,apartment
arrival_3,armadillo,1,3.125,1,0,0,,animal,armadillo
arrival_3,ball,1,3.125,1,0,0,,,ball
arrival_3,beak,1,3.125,1,0,0,,,beak
arrival_3,bench,1,3.125,1,0,0,benche,,bench
arrival_3,benche,1,3.125,1,0,0,bench ,,benche
arrival_3,bib,1,3.125,1,0,0,,,bib
arrival_3,billboard,1,3.125,1,0,0,,,billboard
arrival_3,bin,1,3.125,1,0,0,binn,,bin
arrival_3,binn,1,3.125,1,0,0,bin,,binn
arrival_3,blanket,1,3.125,1,0,0,,,blanket
arrival_3,board,1,3.125,1,0,0,,,board
arrival_3,bow,1,3.125,1,0,0,,,bow
arrival_3,bread,1,3.125,1,0,0,,,bread
arrival_3,briefcase,1,3.125,1,0,0,,,briefcase
arrival_3,bucket,1,3.125,1,0,0,,,bucket
arrival_3,busker,1,3.125,1,0,0,,,busker
arrival_3,cactus,1,3.125,1,0,0,,,cactus
arrival_3,car,1,3.125,1,0,0,,,car
arrival_3,case,1,3.125,1,0,0,,,case
arrival_3,cash,1,3.125,1,0,0,,,cash
arrival_3,chap,1,3.125,1,0,0,,,chap
arrival_3,charcoal,1,3.125,1,0,0,,,charcoal
arrival_3,cheek,1,3.125,1,0,0,,,cheek
arrival_3,chicken,1,3.125,1,0,0,,,chicken
arrival_3,chimney,1,3.125,1,0,0,,,chimney
arrival_3,clarinet,1,3.125,1,0,0,,instrument ,clarinet
arrival_3,claw,1,3.125,1,0,0,,,claw
arrival_3,cloak,1,3.125,1,0,0,,,cloak
arrival_3,cobblestone,1,3.125,1,0,0,,,cobblestone
arrival_3,cooler,1,3.125,1,0,0,,,cooler
arrival_3,diary,1,3.125,1,0,0,,,diary
arrival_3,dictionary,1,3.125,1,0,0,,,dictionary
arrival_3,dog,1,3.125,1,0,0,,,dog
arrival_3,door,1,3.125,1,0,0,,,door
arrival_3,eggs,1,3.125,1,0,0,,,eggs
arrival_3,engine,1,3.125,1,0,0,,,engine
arrival_3,eye,1,3.125,1,0,0,,,eye
arrival_3,fabric,1,3.125,1,0,0,,,fabric
arrival_3,fez,1,3.125,1,0,0,,,fez
arrival_3,fish,1,3.125,1,0,0,,,fish
arrival_3,fly,1,3.125,1,0,0,,,fly
arrival_3,flyer,1,3.125,1,0,0,,,flyer
arrival_3,foe,1,3.125,1,0,0,,,foe
arrival_3,fox,1,3.125,1,0,0,,,fox
arrival_3,garment,1,3.125,1,0,0,,,garment
arrival_3,giant,1,3.125,1,0,0,,,giant
arrival_3,gourd,1,3.125,1,0,0,,,gourd
arrival_3,gramophone,1,3.125,1,0,0,,,gramophone
arrival_3,hay,1,3.125,1,0,0,,,hay
arrival_3,heater,1,3.125,1,0,0,,,heater
arrival_3,house,1,3.125,1,0,0,,,house
arrival_3,ice,1,3.125,1,0,0,,,ice
arrival_3,insect,1,3.125,1,0,0,,,insect
arrival_3,knife,1,3.125,1,0,0,,,knife
arrival_3,land,1,3.125,1,0,0,,ground,land
arrival_3,laundromat,1,3.125,1,0,0,,,laundromat
arrival_3,leg,1,3.125,1,0,0,,,leg
arrival_3,lights,1,3.125,1,0,0,,,lights
arrival_3,line,1,3.125,1,0,0,,,line
arrival_3,longhorn,1,3.125,1,0,0,,,longhorn
arrival_3,machinery,1,3.125,1,0,0,,,machinery
arrival_3,mantle,1,3.125,1,0,0,,,mantle
arrival_3,metal,1,3.125,1,0,0,,,metal
arrival_3,monkey,1,3.125,1,0,0,,,monkey
arrival_3,mouth,1,3.125,1,0,0,,,mouth
arrival_3,necklace,1,3.125,1,0,0,,,necklace
arrival_3,necktie,1,3.125,1,0,0,,,necktie
arrival_3,note,1,3.125,1,0,0,,,note
arrival_3,outfit,1,3.125,1,0,0,,,outfit
arrival_3,overcoat,1,3.125,1,0,0,,,overcoat
arrival_3,paperboy,1,3.125,1,0,0,,,paperboy
arrival_3,pavement,1,3.125,1,0,0,,,pavement
arrival_3,peanut,1,3.125,1,0,0,,,peanut
arrival_3,pencil,1,3.125,1,0,0,,,pencil
arrival_3,phone,1,3.125,1,0,0,,,phone
arrival_3,pie,1,3.125,1,0,0,,,pie
arrival_3,pig,1,3.125,1,0,0,,,pig
arrival_3,pillbox,1,3.125,1,0,0,,,pillbox
arrival_3,pillow,1,3.125,1,0,0,,,pillow
arrival_3,pork,1,3.125,1,0,0,,,pork
arrival_3,pots,1,3.125,1,0,0,,,pots
arrival_3,priest,1,3.125,1,0,0,,,priest
arrival_3,rectangle,1,3.125,1,0,0,,,rectangle
arrival_3,register,1,3.125,1,0,0,,,register
arrival_3,robe,1,3.125,1,0,0,,,robe
arrival_3,salon,1,3.125,1,0,0,,,salon
arrival_3,saxophone,1,3.125,1,0,0,,,saxophone
arrival_3,shark,1,3.125,1,0,0,,,shark
arrival_3,shell,1,3.125,1,0,0,,,shell
arrival_3,sleep,1,3.125,1,0,0,,,sleep
arrival_3,sleeve,1,3.125,1,0,0,,,sleeve
arrival_3,slide,1,3.125,1,0,0,,,slide
arrival_3,square,1,3.125,1,0,0,,,square
arrival_3,stage,1,3.125,1,0,0,,,stage
arrival_3,sunflower,1,3.125,1,0,0,,,sunflower
arrival_3,tabloid,1,3.125,1,0,0,,newspaper,tabloid
arrival_3,tapestry,1,3.125,1,0,0,,,tapestry
arrival_3,telephone,1,3.125,1,0,0,,,telephone
arrival_3,thumb,1,3.125,1,0,0,,,thumb
arrival_3,tie,1,3.125,1,0,0,,,tie
arrival_3,tongue,1,3.125,1,0,0,,,tongue
arrival_3,train,1,3.125,1,0,0,,,train
arrival_3,tree,1,3.125,1,0,0,,,tree
arrival_3,trench,1,3.125,1,0,0,,,trench
arrival_3,tunic,1,3.125,1,0,0,,,tunic
arrival_3,urn,1,3.125,1,0,0,,,urn
arrival_3,vegetable,1,3.125,1,0,0,,,vegetable
arrival_3,water,1,3.125,1,0,0,,,water
arrival_3,wood,1,3.125,1,0,0,wooden,,wood
arrival_3,music,18,56.25,0,0,0,,,music
arrival_3,kind,16,50,0,0,0,,,kind
arrival_3,creature,14,43.75,0,0,0,,,creature
arrival_3,direction,14,43.75,0,0,0,,,direction
arrival_3,language,13,40.625,0,0,0,,,language
arrival_3,one,13,40.625,0,0,0,,,one
arrival_3,thing,12,37.5,0,0,0,,,thing
arrival_3,type,12,37.5,0,0,0,,,type
arrival_3,way,12,37.5,0,0,0,,,way
arrival_3,front,11,34.375,0,0,0,,,front
arrival_3,scene,10,31.25,0,0,0,,,scene
arrival_3,back,9,28.125,0,0,0,,,back
arrival_3,side,9,28.125,0,0,0,,,side
arrival_3,piece,7,21.875,0,0,0,,,piece
arrival_3,place,7,21.875,0,0,0,,,place
arrival_3,stand,7,21.875,0,0,0,,,stand
arrival_3,group,6,18.75,0,0,0,,,group
arrival_3,background,6,18.75,0,0,0,,,background
arrival_3,bunch,6,18.75,0,0,0,,,bunch
arrival_3,lap,6,18.75,0,0,0,,,lap
arrival_3,lot,6,18.75,0,0,0,,,lot
arrival_3,part,6,18.75,0,0,0,,,part
arrival_3,word,5,15.625,0,0,0,,,word
arrival_3,attention,4,12.5,0,0,0,,,attention
arrival_3,bottom,4,12.5,0,0,0,,,bottom
arrival_3,day,4,12.5,0,0,0,,,day
arrival_3,design,4,12.5,0,0,0,,,design
arrival_3,item,4,12.5,0,0,0,,,item
arrival_3,middle,4,12.5,0,0,0,,,middle
arrival_3,night,4,12.5,0,0,0,,,night
arrival_3,room,4,12.5,0,0,0,,,room
arrival_3,son,4,12.5,0,0,0,,,son
arrival_3,combination,3,9.375,0,0,0,,,combination
arrival_3,conversation,3,9.375,0,0,0,,,conversation
arrival_3,country,3,9.375,0,0,0,,,country
arrival_3,fall,3,9.375,0,0,0,,,fall
arrival_3,left,3,9.375,0,0,0,,,left
arrival_3,question,3,9.375,0,0,0,,,question
arrival_3,year,3,9.375,0,0,0,,,year
arrival_3,activity,2,6.25,0,0,0,,,activity
arrival_3,cape,2,6.25,0,0,0,,,cape
arrival_3,center,2,6.25,0,0,0,,,center
arrival_3,clue,2,6.25,0,0,0,,,clue
arrival_3,color,2,6.25,0,0,0,,,color
arrival_3,companion,2,6.25,0,0,0,,,companion
arrival_3,contraption,2,6.25,0,0,0,,,contraption
arrival_3,corner,2,6.25,0,0,0,,,corner
arrival_3,dad,2,6.25,0,0,0,,,dad
arrival_3,destination,2,6.25,0,0,0,,,destination
arrival_3,diagram,2,6.25,0,0,0,,,diagram
arrival_3,east,2,6.25,0,0,0,,,east
arrival_3,edge,2,6.25,0,0,0,,,edge
arrival_3,fact,2,6.25,0,0,0,,,fact
arrival_3,father,2,6.25,0,0,0,,,father
arrival_3,figure,2,6.25,0,0,0,,,figure
arrival_3,friend,2,6.25,0,0,0,,,friend
arrival_3,gesture,2,6.25,0,0,0,,,gesture
arrival_3,hail,2,6.25,0,0,0,,,hail
arrival_3,idea,2,6.25,0,0,0,,,idea
arrival_3,look,2,6.25,0,0,0,,,look
arrival_3,ride,2,6.25,0,0,0,,,ride
arrival_3,sale,2,6.25,0,0,0,,,sale
arrival_3,section,2,6.25,0,0,0,,,section
arrival_3,spike,2,6.25,0,0,0,,,spike
arrival_3,start,2,6.25,0,0,0,,,start
arrival_3,streak,2,6.25,0,0,0,,,streak
arrival_3,stuff,2,6.25,0,0,0,,,stuff
arrival_3,symbol,2,6.25,0,0,0,,,symbol
arrival_3,work,2,6.25,0,0,0,,,work
arrival_3,event,1,3.125,0,0,0,,,event
arrival_3,world,1,3.125,0,0,0,,,world
arrival_3,accommodation,1,3.125,0,0,0,,,accommodation
arrival_3,adolescent,1,3.125,0,0,0,,,adolescent
arrival_3,adult,1,3.125,0,0,0,,,adult
arrival_3,area,1,3.125,0,0,0,,,area
arrival_3,bedroom,1,3.125,0,0,0,,,bedroom
arrival_3,blizzard,1,3.125,0,0,0,,,blizzard
arrival_3,blow,1,3.125,0,0,0,blows,,blow
arrival_3,blows,1,3.125,0,0,0,blow,,blows
