stimuli,lemma,n,percent,isPicturable,notNoun,checkThisWord,duplicateOf,synonymOf,lemma_hc
arrival_5,tong,4,12.5,1,0,1,,,tongs
arrival_5,cotta,1,3.125,1,0,1,,,cotta
arrival_5,heis,26,81.25,0,1,1,,,heis
arrival_5,itis,22,68.75,0,1,1,,,itis
arrival_5,sheis,20,62.5,0,1,1,,,sheis
arrival_5,thatis,16,50,0,1,1,,,thatis
arrival_5,theyare,15,46.875,0,1,1,,,theyare
arrival_5,whois,13,40.625,0,1,1,,,whois
arrival_5,thereis,12,37.5,0,1,1,,,thereis
arrival_5,iti,9,28.125,0,1,1,,,iti
arrival_5,hei,8,25,0,1,1,,,hei
arrival_5,glassis,7,21.875,1,0,1,,,glasses
arrival_5,tthereis,5,15.625,0,1,1,,,tthereis
arrival_5,whatis,5,15.625,0,1,1,,,whatis
arrival_5,thati,4,12.5,0,1,1,,,thati
arrival_5,Ibe,2,6.25,0,1,1,,,Ibe
arrival_5,letus,2,6.25,0,1,1,,,letus
arrival_5,mans,2,6.25,0,1,1,,,mans
arrival_5,theyhave,2,6.25,0,1,1,,,theyhave
arrival_5,thitey,2,6.25,0,1,1,,,thitey
arrival_5,tsheis,2,6.25,0,1,1,,,tsheis
arrival_5,weare,2,6.25,0,1,1,,,weare
arrival_5,chianto,1,3.125,0,1,1,,,chianto
arrival_5,cruder,1,3.125,0,1,1,,,cruder
arrival_5,havent,1,3.125,0,1,1,,,havent
arrival_5,hornd,1,3.125,2,0,1,,,horn
arrival_5,Iam,1,3.125,0,1,1,,,Iam
arrival_5,illustrationd,1,3.125,1,0,1,,,illustration
arrival_5,potatoe,1,3.125,1,0,1,,,potato
arrival_5,q,1,3.125,0,1,1,,,q
arrival_5,sculptur,1,3.125,1,0,1,,,sculpture
arrival_5,shei,1,3.125,0,1,1,,,shei
arrival_5,shoppe,1,3.125,1,0,1,,,shop
arrival_5,storey,1,3.125,0,1,1,,,storey
arrival_5,terra,1,3.125,0,1,1,,,terra
arrival_5,theis,1,3.125,0,1,1,,,theis
arrival_5,tthatis,1,3.125,0,1,1,,,tthatis
arrival_5,veggy,1,3.125,1,0,1,,vegetable,veggie
arrival_5,youare,1,3.125,0,1,1,,,youare
arrival_5,boy,28,87.5,1,0,0,,,boy
arrival_5,man,27,84.375,1,0,0,,"guy, gentleman",man
arrival_5,people,27,84.375,1,0,0,,,people
arrival_5,hat,26,81.25,1,0,0,,,hat
arrival_5,woman,26,81.25,1,0,0,,"lady, female",woman
arrival_5,cat,24,75,1,0,0,,,cat
arrival_5,boat,23,71.875,1,0,0,,,boat
arrival_5,building,23,71.875,1,0,0,,edifice,building
arrival_5,food,23,71.875,1,0,0,,,food
arrival_5,fish,22,68.75,1,0,0,,,fish
arrival_5,paper,22,68.75,1,0,0,,,paper
arrival_5,table,22,68.75,1,0,0,,,table
arrival_5,basket,21,65.625,1,0,0,,,basket
arrival_5,bird,21,65.625,1,0,0,,,bird
arrival_5,hand,21,65.625,1,0,0,,,hand
arrival_5,picture,20,62.5,1,0,0,,illustration,picture
arrival_5,bowl,19,59.375,1,0,0,,,bowl
arrival_5,origami,19,59.375,1,0,0,,,origami
arrival_5,city,18,56.25,1,0,0,,,city
arrival_5,pet,18,56.25,1,0,0,,,pet
arrival_5,ladder,17,53.125,1,0,0,,,ladder
arrival_5,street,17,53.125,1,0,0,,,street
arrival_5,accordion,16,50,1,0,0,,,accordion
arrival_5,banjo,16,50,1,0,0,,,banjo
arrival_5,fruit,16,50,1,0,0,,,fruit
arrival_5,house,16,50,1,0,0,,,house
arrival_5,rope,16,50,1,0,0,,,rope
arrival_5,shirt,16,50,1,0,0,,,shirt
arrival_5,water,16,50,1,0,0,,,water
arrival_5,owl,15,46.875,1,0,0,,,owl
arrival_5,door,14,43.75,1,0,0,,doorway,door
arrival_5,flute,14,43.75,1,0,0,,,flute
arrival_5,pot,14,43.75,1,0,0,pots,,pot
arrival_5,wall,14,43.75,1,0,0,,,wall
arrival_5,bed,13,40.625,1,0,0,,,bed
arrival_5,chef,13,40.625,1,0,0,,,chef
arrival_5,glass,13,40.625,1,0,0,,,glass
arrival_5,jacket,13,40.625,1,0,0,,,jacket
arrival_5,plate,13,40.625,1,0,0,,,plate
arrival_5,window,13,40.625,1,0,0,,,window
arrival_5,cart,12,37.5,1,0,0,,,cart
arrival_5,tail,12,37.5,1,0,0,,,tail
arrival_5,vegetable,12,37.5,1,0,0,,veggie,vegetable
arrival_5,light,11,34.375,1,0,0,,lamps,light
arrival_5,stair,11,34.375,1,0,0,,staircase,stair
arrival_5,statue,11,34.375,1,0,0,,,statue
arrival_5,top,11,34.375,1,0,0,,,top
arrival_5,wine,11,34.375,1,0,0,,,wine
arrival_5,counter,10,31.25,1,0,0,,,counter
arrival_5,eye,10,31.25,1,0,0,eyes,,eye
arrival_5,shape,9,28.125,1,0,0,,,shape
arrival_5,coat,9,28.125,1,0,0,,,coat
arrival_5,cupboard,9,28.125,1,0,0,,,cupboard
arrival_5,money,9,28.125,1,0,0,,,money
arrival_5,sky,9,28.125,1,0,0,,,sky
arrival_5,suit,9,28.125,1,0,0,,,suit
arrival_5,bunch,8,25,1,0,0,,,bunch
arrival_5,conversation,8,25,1,0,0,"convo, exchange",,conversation
arrival_5,cup,8,25,1,0,0,,,cup
arrival_5,dock,8,25,1,0,0,,,dock
arrival_5,mouth,8,25,1,0,0,,,mouth
arrival_5,propeller,8,25,1,0,0,,,propeller
arrival_5,vest,8,25,1,0,0,,,vest
arrival_5,apron,7,21.875,1,0,0,,,apron
arrival_5,baker,7,21.875,1,0,0,bakers,,baker
arrival_5,bottle,7,21.875,1,0,0,,,bottle
arrival_5,child,7,21.875,1,0,0,,kid,child
arrival_5,dog,7,21.875,1,0,0,,,dog
arrival_5,face,7,21.875,1,0,0,,cheek,face
arrival_5,horn,7,21.875,1,0,0,"horns, hornd",,horn
arrival_5,knife,7,21.875,1,0,0,,,knife
arrival_5,page,7,21.875,1,0,0,,,page
arrival_5,spoon,7,21.875,1,0,0,,,spoon
arrival_5,torch,7,21.875,1,0,0,,,torch
arrival_5,vase,7,21.875,1,0,0,,,vase
arrival_5,wrench,7,21.875,1,0,0,,,wrench
arrival_5,cabinet,6,18.75,1,0,0,,,cabinet
arrival_5,family,6,18.75,1,0,0,,,family
arrival_5,fox,6,18.75,1,0,0,,,fox
arrival_5,frame,6,18.75,1,0,0,,,frame
arrival_5,guy,6,18.75,1,0,0,,"man, gentleman",guy
arrival_5,head,6,18.75,1,0,0,,,head
arrival_5,mouse,6,18.75,1,0,0,"mousey, mousy",,mouse
arrival_5,music,6,18.75,1,0,0,,,music
arrival_5,suspender,6,18.75,1,0,0,,,suspender
arrival_5,arm,5,15.625,1,0,0,,,arm
arrival_5,brush,5,15.625,1,0,0,,,brush
arrival_5,cook,5,15.625,1,0,0,,,cook
arrival_5,crowd,5,15.625,1,0,0,,group,crowd
arrival_5,dad,5,15.625,1,0,0,,father,dad
arrival_5,floor,5,15.625,1,0,0,,,floor
arrival_5,gravy,5,15.625,1,0,0,,,gravy
arrival_5,half,5,15.625,1,0,0,,,half
arrival_5,home,5,15.625,1,0,0,,residence,home
arrival_5,liquid,5,15.625,1,0,0,,,liquid
arrival_5,mural,5,15.625,1,0,0,,,mural
arrival_5,painting,5,15.625,1,0,0,,,painting
arrival_5,pipe,5,15.625,1,0,0,,,pipe
arrival_5,plant,5,15.625,1,0,0,,,plant
arrival_5,ramp,5,15.625,1,0,0,ramps,,ramp
arrival_5,row,5,15.625,1,0,0,,,row
arrival_5,shelf,5,15.625,1,0,0,shelving,,shelf
arrival_5,stick,5,15.625,1,0,0,,,stick
arrival_5,toast,5,15.625,1,0,0,,,toast
arrival_5,wheel,5,15.625,1,0,0,,,wheel
arrival_5,bag,4,12.5,1,0,0,,,bag
arrival_5,bottom,4,12.5,1,0,0,,,bottom
arrival_5,breakfast,4,12.5,1,0,0,,,breakfast
arrival_5,center,4,12.5,1,0,0,,,center
arrival_5,chicken,4,12.5,1,0,0,,,chicken
arrival_5,clothes,4,12.5,1,0,0,,,clothes
arrival_5,corner,4,12.5,1,0,0,,,corner
arrival_5,doorway,4,12.5,1,0,0,,door,doorway
arrival_5,fire,4,12.5,1,0,0,,flame,fire
arrival_5,flame,4,12.5,1,0,0,,fire,flame
arrival_5,flock,4,12.5,1,0,0,,,flock
arrival_5,fork,4,12.5,1,0,0,,,fork
arrival_5,gentleman,4,12.5,1,0,0,,"man, guy",gentleman
arrival_5,gourd,4,12.5,1,0,0,,,gourd
arrival_5,hole,4,12.5,1,0,0,,,hole
arrival_5,jar,4,12.5,1,0,0,,,jar
arrival_5,lady,4,12.5,1,0,0,,"woman, female",lady
arrival_5,mom,4,12.5,1,0,0,,mother,mom
arrival_5,paint,4,12.5,1,0,0,,,paint
arrival_5,pots,4,12.5,1,0,0,pot,,pots
arrival_5,pottery,4,12.5,1,0,0,,,pottery
arrival_5,ship,4,12.5,1,0,0,,,ship
arrival_5,sombrero,4,12.5,1,0,0,,,sombrero
arrival_5,string,4,12.5,1,0,0,,,string
arrival_5,sun,4,12.5,1,0,0,,,sun
arrival_5,turkey,4,12.5,1,0,0,,,turkey
arrival_5,airship,3,9.375,1,0,0,,,airship
arrival_5,back,3,9.375,1,0,0,,,back
arrival_5,bakers,3,9.375,1,0,0,baker,,bakers
arrival_5,banners,3,9.375,1,0,0,,,banners
arrival_5,book,3,9.375,1,0,0,,,book
arrival_5,broom,3,9.375,1,0,0,,,broom
arrival_5,butter,3,9.375,1,0,0,,,butter
arrival_5,castle,3,9.375,1,0,0,,,castle
arrival_5,cheek,3,9.375,1,0,0,,face,cheek
arrival_5,circle,3,9.375,1,0,0,,,circle
arrival_5,clay,3,9.375,1,0,0,,,clay
arrival_5,cleaver,3,9.375,1,0,0,,,cleaver
arrival_5,cucumber,3,9.375,1,0,0,,,cucumber
arrival_5,day,3,9.375,1,0,0,,,day
arrival_5,dish,3,9.375,1,0,0,,,dish
arrival_5,distance,3,9.375,1,0,0,,,distance
arrival_5,dragon,3,9.375,1,0,0,,,dragon
arrival_5,dress,3,9.375,1,0,0,,,dress
arrival_5,duck,3,9.375,1,0,0,,,duck
arrival_5,factory,3,9.375,1,0,0,,,factory
arrival_5,finger,3,9.375,1,0,0,,,finger
arrival_5,furnace,3,9.375,1,0,0,,,furnace
arrival_5,giant,3,9.375,1,0,0,,,giant
arrival_5,ground,3,9.375,1,0,0,,land,ground
arrival_5,guitar,3,9.375,1,0,0,,,guitar
arrival_5,hair,3,9.375,1,0,0,,,hair
arrival_5,hill,3,9.375,1,0,0,,,hill
arrival_5,kitchen,3,9.375,1,0,0,,,kitchen
arrival_5,land,3,9.375,1,0,0,,ground,land
arrival_5,lap,3,9.375,1,0,0,,,lap
arrival_5,mandolin,3,9.375,1,0,0,,,mandolin
arrival_5,market,3,9.375,1,0,0,,marketplace,market
arrival_5,mirror,3,9.375,1,0,0,,,mirror
arrival_5,neck,3,9.375,1,0,0,,,neck
arrival_5,number,3,9.375,1,0,0,,,number
arrival_5,paintbrush,3,9.375,1,0,0,,,paintbrush
arrival_5,pair,3,9.375,1,0,0,,,pair
arrival_5,platter,3,9.375,1,0,0,,,platter
arrival_5,pocket,3,9.375,1,0,0,,,pocket
arrival_5,road,3,9.375,1,0,0,roads,,road
arrival_5,rock,3,9.375,1,0,0,,,rock
arrival_5,rowboat,3,9.375,1,0,0,,,rowboat
arrival_5,sea,3,9.375,1,0,0,,,sea
arrival_5,seafood,3,9.375,1,0,0,,,seafood
arrival_5,smile,3,9.375,1,0,0,,,smile
arrival_5,smoke,3,9.375,1,0,0,,,smoke
arrival_5,snake,3,9.375,1,0,0,,,snake
arrival_5,spike,3,9.375,1,0,0,spikes,,spike
arrival_5,tool,3,9.375,1,0,0,,,tool
arrival_5,trumpet,3,9.375,1,0,0,,,trumpet
arrival_5,uniform,3,9.375,1,0,0,,,uniform
arrival_5,utensil,2,6.25,1,0,0,,,utensil
arrival_5,airplane,2,6.25,1,0,0,,plane,airplane
arrival_5,apartment,2,6.25,1,0,0,,,apartment
arrival_5,artwork,2,6.25,1,0,0,,,artwork
arrival_5,beak,2,6.25,1,0,0,,,beak
arrival_5,blimp,2,6.25,1,0,0,,,blimp
arrival_5,blowtorch,2,6.25,1,0,0,,,blowtorch
arrival_5,body,2,6.25,1,0,0,,,body
arrival_5,box,2,6.25,1,0,0,,,box
arrival_5,bread,2,6.25,1,0,0,,,bread
arrival_5,bulb,2,6.25,1,0,0,,,bulb
arrival_5,button,2,6.25,1,0,0,,,button
arrival_5,car,2,6.25,1,0,0,,,car
arrival_5,ceramics,2,6.25,1,0,0,,ceramic,ceramics
arrival_5,chair,2,6.25,1,0,0,,,chair
arrival_5,champagne,2,6.25,1,0,0,,,champagne
arrival_5,chimney,2,6.25,1,0,0,,,chimney
arrival_5,clock,2,6.25,1,0,0,,,clock
arrival_5,clothing,2,6.25,1,0,0,,outfit,clothing
arrival_5,cloud,2,6.25,1,0,0,,,cloud
arrival_5,cone,2,6.25,1,0,0,,,cone
arrival_5,container,2,6.25,1,0,0,,,container
arrival_5,desk,2,6.25,1,0,0,,,desk
arrival_5,discussion,2,6.25,1,0,0,,,discussion
arrival_5,drawer,2,6.25,1,0,0,,,drawer
arrival_5,ear,2,6.25,1,0,0,,,ear
arrival_5,egg,2,6.25,1,0,0,,,egg
arrival_5,evening,2,6.25,1,0,0,,night,evening
arrival_5,eyeglass,2,6.25,1,0,0,,,eyeglass
arrival_5,feast,2,6.25,1,0,0,,,feast
arrival_5,fellow,2,6.25,1,0,0,,"man, guy, gentleman",fellow
arrival_5,game,2,6.25,1,0,0,,,game
arrival_5,girl,2,6.25,1,0,0,,,girl
arrival_5,grater,2,6.25,1,0,0,,,grater
arrival_5,harbor,2,6.25,1,0,0,harbour,,harbor
arrival_5,horns,2,6.25,1,0,0,"horn, hornd",,horns
arrival_5,hose,2,6.25,1,0,0,,,hose
arrival_5,kid,2,6.25,1,0,0,,child,kid
arrival_5,leg,2,6.25,1,0,0,,,leg
arrival_5,line,2,6.25,1,0,0,,,line
arrival_5,lizard,2,6.25,1,0,0,,,lizard
arrival_5,meat,2,6.25,1,0,0,,,meat
arrival_5,mechanic,2,6.25,1,0,0,,,mechanic
arrival_5,outfit,2,6.25,1,0,0,,clothing,outfit
arrival_5,oven,2,6.25,1,0,0,,,oven
arrival_5,pastry,2,6.25,1,0,0,,,pastry
arrival_5,pepper,2,6.25,1,0,0,,,pepper
arrival_5,platform,2,6.25,1,0,0,,,platform
arrival_5,pushcart,2,6.25,1,0,0,,,pushcart
arrival_5,river,2,6.25,1,0,0,,,river
arrival_5,sauce,2,6.25,1,0,0,,,sauce
arrival_5,shadow,2,6.25,1,0,0,,silhouette,shadow
arrival_5,shipyard,2,6.25,1,0,0,,,shipyard
arrival_5,shoe,2,6.25,1,0,0,,,shoe
arrival_5,silhouette,2,6.25,1,0,0,,shadow,silhouette
arrival_5,silverware,2,6.25,1,0,0,,,silverware
arrival_5,sleeve,2,6.25,1,0,0,,,sleeve
arrival_5,slide,2,6.25,1,0,0,,,slide
arrival_5,snail,2,6.25,1,0,0,,,snail
arrival_5,square,2,6.25,1,0,0,,,square
arrival_5,squirrel,2,6.25,1,0,0,,,squirrel
arrival_5,stove,2,6.25,1,0,0,,,stove
arrival_5,tabletop,2,6.25,1,0,0,,,tabletop
arrival_5,tapestry,2,6.25,1,0,0,,,tapestry
arrival_5,temple,2,6.25,1,0,0,,,temple
arrival_5,tie,2,6.25,1,0,0,,,tie
arrival_5,urn,2,6.25,1,0,0,,,urn
arrival_5,vendor,2,6.25,1,0,0,,merchant,vendor
arrival_5,wagon,2,6.25,1,0,0,,,wagon
arrival_5,wind,2,6.25,1,0,0,,,wind
arrival_5,windowsill,2,6.25,1,0,0,,sill,windowsill
arrival_5,xylophone,2,6.25,1,0,0,,,xylophone
arrival_5,base,1,3.125,1,0,0,,,base
arrival_5,incline,1,3.125,1,0,0,,,incline
arrival_5,alcohol,1,3.125,1,0,0,,,alcohol
