stimuli,lemma,n,percent,isPicturable,notNoun,checkThisWord,duplicateOf,synonymOf,lemma_hc
birthday_party_fun,60,1,3.125,0,0,1,,,60
birthday_party_fun,70,1,3.125,0,0,1,,,70
birthday_party_fun,arnies,2,6.25,0,0,1,,,arnies
birthday_party_fun,bo,3,9.375,0,0,1,,,bo
birthday_party_fun,everybodys,2,6.25,0,0,1,,,everybodys
birthday_party_fun,everyones,1,3.125,0,0,1,,,everyones
birthday_party_fun,gam,1,3.125,0,0,1,,,gam
birthday_party_fun,havent,1,3.125,0,0,1,,,havent
birthday_party_fun,hei,1,3.125,0,0,1,,,hei
birthday_party_fun,heis,6,18.75,0,0,1,,,heis
birthday_party_fun,hmm,3,9.375,0,0,1,,,hmm
birthday_party_fun,iti,4,12.5,0,0,1,,,iti
birthday_party_fun,itis,15,46.875,0,0,1,,,itis
birthday_party_fun,lanternd,1,3.125,0,0,1,,,lanternd
birthday_party_fun,oh,2,6.25,0,0,1,,,oh
birthday_party_fun,outfin,2,6.25,0,0,1,,,outfin
birthday_party_fun,penguind,1,3.125,1,0,1,,,penguin
birthday_party_fun,piñata,1,3.125,1,0,1,,,pinata
birthday_party_fun,quelm,1,3.125,0,0,1,,,quelm
birthday_party_fun,sheis,3,9.375,0,0,1,,,sheis
birthday_party_fun,somebodys,2,6.25,0,0,1,,,somebodys
birthday_party_fun,someones,2,6.25,0,0,1,,,someones
birthday_party_fun,suin,1,3.125,1,0,1,,,suit
birthday_party_fun,superheroe,1,3.125,1,0,1,superhero,,superhero
birthday_party_fun,thatis,12,37.5,0,0,1,,,thatis
birthday_party_fun,thereis,13,40.625,0,0,1,,,thereis
birthday_party_fun,theyare,7,21.875,0,0,1,,,theyare
birthday_party_fun,titis,3,9.375,0,0,1,,,titis
birthday_party_fun,tsheis,1,3.125,0,0,1,,,tsheis
birthday_party_fun,tthatis,1,3.125,0,0,1,,,tthatis
birthday_party_fun,tthereis,10,31.25,0,0,1,,,tthereis
birthday_party_fun,uh,5,15.625,0,0,1,,,uh
birthday_party_fun,um,8,25,0,0,1,,,um
birthday_party_fun,umm,3,9.375,0,0,1,,,umm
birthday_party_fun,waldue,1,3.125,0,0,1,,,waldue
