stimuli,lemma,n,percent,isPicturable,notNoun,checkThisWord,duplicateOf,synonymOf,lemma_hc
escape_from_the_zoo,ag,1,3.125,0,0,1,,,ag
escape_from_the_zoo,ap,3,9.375,0,0,1,,,ap
escape_from_the_zoo,coatimundi,1,3.125,0,0,1,,,coatimundi
escape_from_the_zoo,heis,10,31.25,0,0,1,,,heis
escape_from_the_zoo,Ibe,1,3.125,0,0,1,,,Ibe
escape_from_the_zoo,iti,2,6.25,0,0,1,,,iti
escape_from_the_zoo,itis,17,53.125,0,0,1,,,itis
escape_from_the_zoo,lebras,1,3.125,0,0,1,,,lebras
escape_from_the_zoo,letus,2,6.25,0,0,1,,,letus
escape_from_the_zoo,lowski,1,3.125,0,0,1,,,lowski
escape_from_the_zoo,oh,1,3.125,0,0,1,,,oh
escape_from_the_zoo,ohh,1,3.125,0,0,1,,,ohh
escape_from_the_zoo,sw,1,3.125,0,0,1,,,sw
escape_from_the_zoo,thati,1,3.125,0,0,1,,,thati
escape_from_the_zoo,thatis,14,43.75,0,0,1,,,thatis
escape_from_the_zoo,theis,1,3.125,0,0,1,,,theis
escape_from_the_zoo,thereis,14,43.75,0,0,1,,,thereis
escape_from_the_zoo,theyare,13,40.625,0,0,1,,,theyare
escape_from_the_zoo,titis,3,9.375,0,0,1,,,titis
escape_from_the_zoo,tthatis,1,3.125,0,0,1,,,tthatis
escape_from_the_zoo,tthereis,5,15.625,0,0,1,,,tthereis
escape_from_the_zoo,uh,6,18.75,0,0,1,,,uh
escape_from_the_zoo,um,10,31.25,0,0,1,,,um
escape_from_the_zoo,umm,4,12.5,0,0,1,,,umm
escape_from_the_zoo,wehave,2,6.25,0,0,1,,,wehave
escape_from_the_zoo,whatis,5,15.625,0,0,1,,,whatis
escape_from_the_zoo,whereis,1,3.125,0,0,1,,,whereis
escape_from_the_zoo,whois,3,9.375,0,0,1,,,whois
escape_from_the_zoo,ze,1,3.125,0,0,1,,,ze
escape_from_the_zoo,zo,1,3.125,0,0,1,,,zo
escape_from_the_zoo,aardvark,2,6.25,1,0,0,,,aardvark
