"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"unfriendly_giants","giant",28,87.5,"","","","",""
"unfriendly_giants","people",26,81.25,"","","","",""
"unfriendly_giants","chess",24,75,"","","","",""
"unfriendly_giants","tree",24,75,"","","","",""
"unfriendly_giants","windmill",24,75,"","","","",""
"unfriendly_giants","castle",20,62.5,"","","","",""
"unfriendly_giants","heis",20,62.5,"","","","",""
"unfriendly_giants","straw",20,62.5,"","","","",""
"unfriendly_giants","water",20,62.5,"","","","",""
"unfriendly_giants","house",19,59.375,"","","","",""
"unfriendly_giants","flower",18,56.25,"","","","",""
"unfriendly_giants","rope",18,56.25,"","","","",""
"unfriendly_giants","belt",17,53.125,"","","","",""
"unfriendly_giants","woman",17,53.125,"","","","",""
"unfriendly_giants","head",15,46.875,"","","","",""
"unfriendly_giants","itis",15,46.875,"","","","",""
"unfriendly_giants","kind",15,46.875,"","","","",""
"unfriendly_giants","lot",15,46.875,"","","","",""
"unfriendly_giants","giants",14,43.75,"","","","",""
"unfriendly_giants","one",14,43.75,"","","","",""
"unfriendly_giants","thereis",14,43.75,"","","","",""
"unfriendly_giants","top",14,43.75,"","","","",""
"unfriendly_giants","scene",13,40.625,"","","","",""
"unfriendly_giants","hammer",12,37.5,"","","","",""
"unfriendly_giants","picture",12,37.5,"","","","",""
"unfriendly_giants","thatis",12,37.5,"","","","",""
"unfriendly_giants","theyare",12,37.5,"","","","",""
"unfriendly_giants","thing",12,37.5,"","","","",""
"unfriendly_giants","board",11,34.375,"","","","",""
"unfriendly_giants","ground",11,34.375,"","","","",""
"unfriendly_giants","hat",11,34.375,"","","","",""
"unfriendly_giants","man",11,34.375,"","","","",""
"unfriendly_giants","piece",11,34.375,"","","","",""
"unfriendly_giants","bouquet",10,31.25,"","","","",""
"unfriendly_giants","bunch",10,31.25,"","","","",""
"unfriendly_giants","group",10,31.25,"","","","",""
"unfriendly_giants","hand",10,31.25,"","","","",""
"unfriendly_giants","catapult",9,28.125,"","","","",""
"unfriendly_giants","couple",9,28.125,"","","","",""
"unfriendly_giants","land",9,28.125,"","","","",""
"unfriendly_giants","roof",9,28.125,"","","","",""
"unfriendly_giants","side",9,28.125,"","","","",""
"unfriendly_giants","time",9,28.125,"","","","",""
"unfriendly_giants","middle",8,25,"","","","",""
"unfriendly_giants","sheis",8,25,"","","","",""
"unfriendly_giants","umm",8,25,"","","","",""
"unfriendly_giants","village",8,25,"","","","",""
"unfriendly_giants","waldo",8,25,"","","","",""
"unfriendly_giants","bottom",7,21.875,"","","","",""
"unfriendly_giants","field",7,21.875,"","","","",""
"unfriendly_giants","game",7,21.875,"","","","",""
"unfriendly_giants","guy",7,21.875,"","","","",""
"unfriendly_giants","heart",7,21.875,"","","","",""
"unfriendly_giants","hill",7,21.875,"","","","",""
"unfriendly_giants","mallet",7,21.875,"","","","",""
"unfriendly_giants","stone",7,21.875,"","","","",""
"unfriendly_giants","trap",7,21.875,"","","","",""
"unfriendly_giants","um",7,21.875,"","","","",""
"unfriendly_giants","back",6,18.75,"","","","",""
"unfriendly_giants","boat",6,18.75,"","","","",""
"unfriendly_giants","color",6,18.75,"","","","",""
"unfriendly_giants","foot",6,18.75,"","","","",""
"unfriendly_giants","human",6,18.75,"","","","",""
"unfriendly_giants","page",6,18.75,"","","","",""
"unfriendly_giants","right",6,18.75,"","","","",""
"unfriendly_giants","river",6,18.75,"","","","",""
"unfriendly_giants","rock",6,18.75,"","","","",""
"unfriendly_giants","scroll",6,18.75,"","","","",""
"unfriendly_giants","wooden",6,18.75,"","","","",""
"unfriendly_giants","background",5,15.625,"","","","",""
"unfriendly_giants","beard",5,15.625,"","","","",""
"unfriendly_giants","center",5,15.625,"","","","",""
"unfriendly_giants","face",5,15.625,"","","","",""
"unfriendly_giants","hair",5,15.625,"","","","",""
"unfriendly_giants","journey",5,15.625,"","","","",""
"unfriendly_giants","lady",5,15.625,"","","","",""
"unfriendly_giants","lake",5,15.625,"","","","",""
"unfriendly_giants","leave",5,15.625,"","","","",""
"unfriendly_giants","left",5,15.625,"","","","",""
"unfriendly_giants","love",5,15.625,"","","","",""
"unfriendly_giants","place",5,15.625,"","","","",""
"unfriendly_giants","pond",5,15.625,"","","","",""
"unfriendly_giants","shirt",5,15.625,"","","","",""
"unfriendly_giants","skirt",5,15.625,"","","","",""
"unfriendly_giants","sword",5,15.625,"","","","",""
"unfriendly_giants","way",5,15.625,"","","","",""
"unfriendly_giants","arm",4,12.5,"","","","",""
"unfriendly_giants","broom",4,12.5,"","","","",""
"unfriendly_giants","building",4,12.5,"","","","",""
"unfriendly_giants","checker",4,12.5,"","","","",""
"unfriendly_giants","cutout",4,12.5,"","","","",""
"unfriendly_giants","distance",4,12.5,"","","","",""
"unfriendly_giants","figure",4,12.5,"","","","",""
"unfriendly_giants","front",4,12.5,"","","","",""
"unfriendly_giants","home",4,12.5,"","","","",""
"unfriendly_giants","iti",4,12.5,"","","","",""
"unfriendly_giants","lakes",4,12.5,"","","","",""
"unfriendly_giants","male",4,12.5,"","","","",""
"unfriendly_giants","number",4,12.5,"","","","",""
"unfriendly_giants","structure",4,12.5,"","","","",""
"unfriendly_giants","thati",4,12.5,"","","","",""
"unfriendly_giants","type",4,12.5,"","","","",""
"unfriendly_giants","uh",4,12.5,"","","","",""
"unfriendly_giants","waist",4,12.5,"","","","",""
"unfriendly_giants","whois",4,12.5,"","","","",""
"unfriendly_giants","ankle",3,9.375,"","","","",""
"unfriendly_giants","bit",3,9.375,"","","","",""
