"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"wild_west","people",30,93.75,"","","","",""
"wild_west","saloon",30,93.75,"","","","",""
"wild_west","hotel",29,90.625,"","","","",""
"wild_west","train",28,87.5,"","","","",""
"wild_west","jail",27,84.375,"","","","",""
"wild_west","bank",26,81.25,"","","","",""
"wild_west","horse",26,81.25,"","","","",""
"wild_west","cowboy",23,71.875,"","","","",""
"wild_west","lot",22,68.75,"","","","",""
"wild_west","thereis",21,65.625,"","","","",""
"wild_west","wild",21,65.625,"","","","",""
"wild_west","picture",20,62.5,"","","","",""
"wild_west","town",20,62.5,"","","","",""
"wild_west","building",18,56.25,"","","","",""
"wild_west","kind",18,56.25,"","","","",""
"wild_west","livery",17,53.125,"","","","",""
"wild_west","pioneer",17,53.125,"","","","",""
"wild_west","roof",17,53.125,"","","","",""
"wild_west","sunset",17,53.125,"","","","",""
"wild_west","wagon",17,53.125,"","","","",""
"wild_west","itis",16,50,"","","","",""
"wild_west","top",16,50,"","","","",""
"wild_west","mine",15,46.875,"","","","",""
"wild_west","store",15,46.875,"","","","",""
"wild_west","thatis",15,46.875,"","","","",""
"wild_west","hat",14,43.75,"","","","",""
"wild_west","man",14,43.75,"","","","",""
"wild_west","side",14,43.75,"","","","",""
"wild_west","thing",14,43.75,"","","","",""
"wild_west","stable",13,40.625,"","","","",""
"wild_west","stagecoach",13,40.625,"","","","",""
"wild_west","street",13,40.625,"","","","",""
"wild_west","umm",13,40.625,"","","","",""
"wild_west","buffalo",12,37.5,"","","","",""
"wild_west","front",12,37.5,"","","","",""
"wild_west","hand",12,37.5,"","","","",""
"wild_west","ladder",12,37.5,"","","","",""
"wild_west","page",12,37.5,"","","","",""
"wild_west","place",12,37.5,"","","","",""
"wild_west","scene",12,37.5,"","","","",""
"wild_west","bag",11,34.375,"","","","",""
"wild_west","gun",11,34.375,"","","","",""
"wild_west","movie",11,34.375,"","","","",""
"wild_west","stamp",11,34.375,"","","","",""
"wild_west","theyare",11,34.375,"","","","",""
"wild_west","um",11,34.375,"","","","",""
"wild_west","bunch",10,31.25,"","","","",""
"wild_west","couple",10,31.25,"","","","",""
"wild_west","track",10,31.25,"","","","",""
"wild_west","blacksmith",9,28.125,"","","","",""
"wild_west","heis",9,28.125,"","","","",""
"wild_west","money",9,28.125,"","","","",""
"wild_west","one",9,28.125,"","","","",""
"wild_west","poster",9,28.125,"","","","",""
"wild_west","color",8,25,"","","","",""
"wild_west","gold",8,25,"","","","",""
"wild_west","heriff",8,25,"","","","",""
"wild_west","part",8,25,"","","","",""
"wild_west","sign",8,25,"","","","",""
"wild_west","stamps",8,25,"","","","",""
"wild_west","boot",7,21.875,"","","","",""
"wild_west","camera",7,21.875,"","","","",""
"wild_west","coat",7,21.875,"","","","",""
"wild_west","doctor",7,21.875,"","","","",""
"wild_west","face",7,21.875,"","","","",""
"wild_west","group",7,21.875,"","","","",""
"wild_west","piano",7,21.875,"","","","",""
"wild_west","robber",7,21.875,"","","","",""
"wild_west","story",7,21.875,"","","","",""
"wild_west","time",7,21.875,"","","","",""
"wild_west","tthereis",7,21.875,"","","","",""
"wild_west","woman",7,21.875,"","","","",""
"wild_west","balcony",6,18.75,"","","","",""
"wild_west","bison",6,18.75,"","","","",""
"wild_west","chimney",6,18.75,"","","","",""
"wild_west","dress",6,18.75,"","","","",""
"wild_west","ground",6,18.75,"","","","",""
"wild_west","horseshoe",6,18.75,"","","","",""
"wild_west","number",6,18.75,"","","","",""
"wild_west","painting",6,18.75,"","","","",""
"wild_west","right",6,18.75,"","","","",""
"wild_west","set",6,18.75,"","","","",""
"wild_west","smoke",6,18.75,"","","","",""
"wild_west","stair",6,18.75,"","","","",""
"wild_west","way",6,18.75,"","","","",""
"wild_west","action",5,15.625,"","","","",""
"wild_west","background",5,15.625,"","","","",""
"wild_west","bottom",5,15.625,"","","","",""
"wild_west","carriage",5,15.625,"","","","",""
"wild_west","corner",5,15.625,"","","","",""
"wild_west","desert",5,15.625,"","","","",""
"wild_west","engine",5,15.625,"","","","",""
"wild_west","fight",5,15.625,"","","","",""
"wild_west","guy",5,15.625,"","","","",""
"wild_west","iti",5,15.625,"","","","",""
"wild_west","jails",5,15.625,"","","","",""
"wild_west","music",5,15.625,"","","","",""
"wild_west","person",5,15.625,"","","","",""
"wild_west","porch",5,15.625,"","","","",""
"wild_west","ride",5,15.625,"","","","",""
"wild_west","sort",5,15.625,"","","","",""
"wild_west","stampede",5,15.625,"","","","",""
"wild_west","steam",5,15.625,"","","","",""
"wild_west","waldo",5,15.625,"","","","",""
"wild_west","window",5,15.625,"","","","",""
"wild_west","animal",4,12.5,"","","","",""
"wild_west","area",4,12.5,"","","","",""
"wild_west","band",4,12.5,"","","","",""
"wild_west","build",4,12.5,"","","","",""
"wild_west","cannon",4,12.5,"","","","",""
"wild_west","canva",4,12.5,"","","","",""
"wild_west","excitement",4,12.5,"","","","",""
"wild_west","floor",4,12.5,"","","","",""
