"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"ancient_rome","people",29,90.625,"","","","",""
"ancient_rome","horse",27,84.375,"","","","",""
"ancient_rome","lions",27,84.375,"","","","",""
"ancient_rome","lion",26,81.25,"","","","",""
"ancient_rome","chariot",22,68.75,"","","","",""
"ancient_rome","lot",22,68.75,"","","","",""
"ancient_rome","arena",19,59.375,"","","","",""
"ancient_rome","rome",19,59.375,"","","","",""
"ancient_rome","man",18,56.25,"","","","",""
"ancient_rome","sword",18,56.25,"","","","",""
"ancient_rome","game",17,53.125,"","","","",""
"ancient_rome","shield",17,53.125,"","","","",""
"ancient_rome","wall",16,50,"","","","",""
"ancient_rome","animal",15,46.875,"","","","",""
"ancient_rome","pyramid",15,46.875,"","","","",""
"ancient_rome","stand",14,43.75,"","","","",""
"ancient_rome","thing",14,43.75,"","","","",""
"ancient_rome","gladiator",13,40.625,"","","","",""
"ancient_rome","leopard",13,40.625,"","","","",""
"ancient_rome","colosseum",12,37.5,"","","","",""
"ancient_rome","hand",12,37.5,"","","","",""
"ancient_rome","kind",12,37.5,"","","","",""
"ancient_rome","person",12,37.5,"","","","",""
"ancient_rome","side",12,37.5,"","","","",""
"ancient_rome","tiger",12,37.5,"","","","",""
"ancient_rome","top",12,37.5,"","","","",""
"ancient_rome","area",11,34.375,"","","","",""
"ancient_rome","bunch",11,34.375,"","","","",""
"ancient_rome","fight",11,34.375,"","","","",""
"ancient_rome","ground",11,34.375,"","","","",""
"ancient_rome","knife",10,31.25,"","","","",""
"ancient_rome","place",10,31.25,"","","","",""
"ancient_rome","crowd",9,28.125,"","","","",""
"ancient_rome","one",9,28.125,"","","","",""
"ancient_rome","picture",9,28.125,"","","","",""
"ancient_rome","ring",9,28.125,"","","","",""
"ancient_rome","scene",9,28.125,"","","","",""
"ancient_rome","soldier",9,28.125,"","","","",""
"ancient_rome","way",9,28.125,"","","","",""
"ancient_rome","back",8,25,"","","","",""
"ancient_rome","bottom",8,25,"","","","",""
"ancient_rome","couple",8,25,"","","","",""
"ancient_rome","fun",8,25,"","","","",""
"ancient_rome","number",8,25,"","","","",""
"ancient_rome","spear",8,25,"","","","",""
"ancient_rome","spectator",8,25,"","","","",""
"ancient_rome","um",8,25,"","","","",""
"ancient_rome","bib",7,21.875,"","","","",""
"ancient_rome","front",7,21.875,"","","","",""
"ancient_rome","group",7,21.875,"","","","",""
"ancient_rome","guard",7,21.875,"","","","",""
"ancient_rome","guy",7,21.875,"","","","",""
"ancient_rome","left",7,21.875,"","","","",""
"ancient_rome","middle",7,21.875,"","","","",""
"ancient_rome","pool",7,21.875,"","","","",""
"ancient_rome","sand",7,21.875,"","","","",""
"ancient_rome","time",7,21.875,"","","","",""
"ancient_rome","fork",6,18.75,"","","","",""
"ancient_rome","line",6,18.75,"","","","",""
"ancient_rome","seat",6,18.75,"","","","",""
"ancient_rome","type",6,18.75,"","","","",""
"ancient_rome","year",6,18.75,"","","","",""
"ancient_rome","cheeta",5,15.625,"","","","",""
"ancient_rome","circle",5,15.625,"","","","",""
"ancient_rome","helmet",5,15.625,"","","","",""
"ancient_rome","human",5,15.625,"","","","",""
"ancient_rome","jaguar",5,15.625,"","","","",""
"ancient_rome","part",5,15.625,"","","","",""
"ancient_rome","sort",5,15.625,"","","","",""
"ancient_rome","umm",5,15.625,"","","","",""
"ancient_rome","activity",4,12.5,"","","","",""
"ancient_rome","armor",4,12.5,"","","","",""
"ancient_rome","battle",4,12.5,"","","","",""
"ancient_rome","book",4,12.5,"","","","",""
"ancient_rome","chaos",4,12.5,"","","","",""
"ancient_rome","corner",4,12.5,"","","","",""
"ancient_rome","door",4,12.5,"","","","",""
"ancient_rome","emperor",4,12.5,"","","","",""
"ancient_rome","floor",4,12.5,"","","","",""
"ancient_rome","hold",4,12.5,"","","","",""
"ancient_rome","ladder",4,12.5,"","","","",""
"ancient_rome","neck",4,12.5,"","","","",""
"ancient_rome","pitchfork",4,12.5,"","","","",""
"ancient_rome","race",4,12.5,"","","","",""
"ancient_rome","rein",4,12.5,"","","","",""
"ancient_rome","right",4,12.5,"","","","",""
"ancient_rome","roman",4,12.5,"","","","",""
"ancient_rome","rope",4,12.5,"","","","",""
"ancient_rome","situation",4,12.5,"","","","",""
"ancient_rome","uh",4,12.5,"","","","",""
"ancient_rome","uniform",4,12.5,"","","","",""
"ancient_rome","weapon",4,12.5,"","","","",""
"ancient_rome","whip",4,12.5,"","","","",""
"ancient_rome","arm",3,9.375,"","","","",""
"ancient_rome","audience",3,9.375,"","","","",""
"ancient_rome","bed",3,9.375,"","","","",""
"ancient_rome","carriage",3,9.375,"","","","",""
"ancient_rome","centurion",3,9.375,"","","","",""
"ancient_rome","clothes",3,9.375,"","","","",""
"ancient_rome","clothing",3,9.375,"","","","",""
"ancient_rome","color",3,9.375,"","","","",""
"ancient_rome","day",3,9.375,"","","","",""
"ancient_rome","decoration",3,9.375,"","","","",""
"ancient_rome","dirt",3,9.375,"","","","",""
"ancient_rome","doorway",3,9.375,"","","","",""
"ancient_rome","fighting",3,9.375,"","","","",""
"ancient_rome","figure",3,9.375,"","","","",""
"ancient_rome","gate",3,9.375,"","","","",""
"ancient_rome","head",3,9.375,"","","","",""
"ancient_rome","javelin",3,9.375,"","","","",""
"ancient_rome","other",3,9.375,"","","","",""
"ancient_rome","pile",3,9.375,"","","","",""
"ancient_rome","races",3,9.375,"","","","",""
"ancient_rome","rest",3,9.375,"","","","",""
"ancient_rome","ride",3,9.375,"","","","",""
"ancient_rome","seating",3,9.375,"","","","",""
"ancient_rome","shirt",3,9.375,"","","","",""
"ancient_rome","shoe",3,9.375,"","","","",""
"ancient_rome","stadium",3,9.375,"","","","",""
"ancient_rome","stick",3,9.375,"","","","",""
"ancient_rome","stuff",3,9.375,"","","","",""
"ancient_rome","team",3,9.375,"","","","",""
"ancient_rome","waldo",3,9.375,"","","","",""
"ancient_rome","water",3,9.375,"","","","",""
"ancient_rome","banner",2,6.25,"","","","",""
"ancient_rome","blood",2,6.25,"","","","",""
"ancient_rome","bowl",2,6.25,"","","","",""
"ancient_rome","broom",2,6.25,"","","","",""
"ancient_rome","brown",2,6.25,"","","","",""
"ancient_rome","caesar",2,6.25,"","","","",""
"ancient_rome","case",2,6.25,"","","","",""
"ancient_rome","cat",2,6.25,"","","","",""
"ancient_rome","chain",2,6.25,"","","","",""
"ancient_rome","chair",2,6.25,"","","","",""
"ancient_rome","cheerleader",2,6.25,"","","","",""
"ancient_rome","circus",2,6.25,"","","","",""
"ancient_rome","coliseum",2,6.25,"","","","",""
"ancient_rome","cub",2,6.25,"","","","",""
"ancient_rome","depiction",2,6.25,"","","","",""
"ancient_rome","fact",2,6.25,"","","","",""
"ancient_rome","foot",2,6.25,"","","","",""
"ancient_rome","hat",2,6.25,"","","","",""
"ancient_rome","hmm",2,6.25,"","","","",""
"ancient_rome","hole",2,6.25,"","","","",""
"ancient_rome","level",2,6.25,"","","","",""
"ancient_rome","life",2,6.25,"","","","",""
"ancient_rome","light",2,6.25,"","","","",""
"ancient_rome","lip",2,6.25,"","","","",""
"ancient_rome","loincloth",2,6.25,"","","","",""
"ancient_rome","look",2,6.25,"","","","",""
"ancient_rome","meal",2,6.25,"","","","",""
"ancient_rome","napkin",2,6.25,"","","","",""
"ancient_rome","opposite",2,6.25,"","","","",""
"ancient_rome","outfit",2,6.25,"","","","",""
"ancient_rome","page",2,6.25,"","","","",""
"ancient_rome","pants",2,6.25,"","","","",""
"ancient_rome","paw",2,6.25,"","","","",""
"ancient_rome","princess",2,6.25,"","","","",""
"ancient_rome","royalty",2,6.25,"","","","",""
"ancient_rome","score",2,6.25,"","","","",""
"ancient_rome","screen",2,6.25,"","","","",""
"ancient_rome","slave",2,6.25,"","","","",""
"ancient_rome","spot",2,6.25,"","","","",""
"ancient_rome","stack",2,6.25,"","","","",""
"ancient_rome","stage",2,6.25,"","","","",""
"ancient_rome","street",2,6.25,"","","","",""
"ancient_rome","structure",2,6.25,"","","","",""
"ancient_rome","take",2,6.25,"","","","",""
"ancient_rome","thumb",2,6.25,"","","","",""
"ancient_rome","toga",2,6.25,"","","","",""
"ancient_rome","trident",2,6.25,"","","","",""
"ancient_rome","trojan",2,6.25,"","","","",""
"ancient_rome","warrior",2,6.25,"","","","",""
"ancient_rome","wheel",2,6.25,"","","","",""
"ancient_rome","woman",2,6.25,"","","","",""
"ancient_rome","action",1,3.125,"","","","",""
"ancient_rome","actual",1,3.125,"","","","",""
"ancient_rome","affair",1,3.125,"","","","",""
"ancient_rome","ah",1,3.125,"","","","",""
"ancient_rome","air",1,3.125,"","","","",""
"ancient_rome","alive",1,3.125,"","","","",""
"ancient_rome","ant",1,3.125,"","","","",""
"ancient_rome","armour",1,3.125,"","","","",""
"ancient_rome","around",1,3.125,"","","","",""
"ancient_rome","atop",1,3.125,"","","","",""
"ancient_rome","attack",1,3.125,"","","","",""
"ancient_rome","attention",1,3.125,"","","","",""
"ancient_rome","axle",1,3.125,"","","","",""
"ancient_rome","backside",1,3.125,"","","","",""
"ancient_rome","band",1,3.125,"","","","",""
"ancient_rome","being",1,3.125,"","","","",""
"ancient_rome","belonging",1,3.125,"","","","",""
"ancient_rome","bit",1,3.125,"","","","",""
"ancient_rome","bleacher",1,3.125,"","","","",""
"ancient_rome","blue",1,3.125,"","","","",""
"ancient_rome","blurry",1,3.125,"","","","",""
"ancient_rome","body",1,3.125,"","","","",""
"ancient_rome","booth",1,3.125,"","","","",""
"ancient_rome","bug",1,3.125,"","","","",""
"ancient_rome","buggy",1,3.125,"","","","",""
"ancient_rome","bull",1,3.125,"","","","",""
"ancient_rome","bullfight",1,3.125,"","","","",""
"ancient_rome","bun",1,3.125,"","","","",""
"ancient_rome","camera",1,3.125,"","","","",""
"ancient_rome","caption",1,3.125,"","","","",""
"ancient_rome","cart",1,3.125,"","","","",""
"ancient_rome","cartoon",1,3.125,"","","","",""
"ancient_rome","caveman",1,3.125,"","","","",""
"ancient_rome","center",1,3.125,"","","","",""
"ancient_rome","chase",1,3.125,"","","","",""
"ancient_rome","child",1,3.125,"","","","",""
"ancient_rome","christians",1,3.125,"","","","",""
"ancient_rome","civilian",1,3.125,"","","","",""
"ancient_rome","colsseum",1,3.125,"","","","",""
"ancient_rome","comparison",1,3.125,"","","","",""
"ancient_rome","connection",1,3.125,"","","","",""
"ancient_rome","construction",1,3.125,"","","","",""
"ancient_rome","container",1,3.125,"","","","",""
"ancient_rome","control",1,3.125,"","","","",""
"ancient_rome","costume",1,3.125,"","","","",""
"ancient_rome","couch",1,3.125,"","","","",""
"ancient_rome","creature",1,3.125,"","","","",""
"ancient_rome","cross",1,3.125,"","","","",""
"ancient_rome","crown",1,3.125,"","","","",""
"ancient_rome","cry",1,3.125,"","","","",""
"ancient_rome","cushion",1,3.125,"","","","",""
"ancient_rome","danger",1,3.125,"","","","",""
"ancient_rome","death",1,3.125,"","","","",""
"ancient_rome","detail",1,3.125,"","","","",""
"ancient_rome","device",1,3.125,"","","","",""
"ancient_rome","dinner",1,3.125,"","","","",""
"ancient_rome","disconnect",1,3.125,"","","","",""
"ancient_rome","dish",1,3.125,"","","","",""
"ancient_rome","displeasure",1,3.125,"","","","",""
"ancient_rome","disruption",1,3.125,"","","","",""
"ancient_rome","dozen",1,3.125,"","","","",""
"ancient_rome","draping",1,3.125,"","","","",""
"ancient_rome","draw",1,3.125,"","","","",""
"ancient_rome","driver",1,3.125,"","","","",""
"ancient_rome","edge",1,3.125,"","","","",""
"ancient_rome","eighty",1,3.125,"","","","",""
"ancient_rome","eightyeight",1,3.125,"","","","",""
"ancient_rome","element",1,3.125,"","","","",""
"ancient_rome","end",1,3.125,"","","","",""
"ancient_rome","energy",1,3.125,"","","","",""
"ancient_rome","english",1,3.125,"","","","",""
"ancient_rome","entertainment",1,3.125,"","","","",""
"ancient_rome","entryway",1,3.125,"","","","",""
"ancient_rome","exit",1,3.125,"","","","",""
"ancient_rome","face",1,3.125,"","","","",""
"ancient_rome","fall",1,3.125,"","","","",""
"ancient_rome","fan",1,3.125,"","","","",""
"ancient_rome","feather",1,3.125,"","","","",""
"ancient_rome","female",1,3.125,"","","","",""
"ancient_rome","festival",1,3.125,"","","","",""
"ancient_rome","few",1,3.125,"","","","",""
"ancient_rome","fighters",1,3.125,"","","","",""
"ancient_rome","fire",1,3.125,"","","","",""
"ancient_rome","fist",1,3.125,"","","","",""
"ancient_rome","flag",1,3.125,"","","","",""
"ancient_rome","folk",1,3.125,"","","","",""
"ancient_rome","food",1,3.125,"","","","",""
"ancient_rome","foreman",1,3.125,"","","","",""
