"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"by_the_lake","people",31,96.875,"","","","",""
"by_the_lake","water",28,87.5,"","","","",""
"by_the_lake","lake",27,84.375,"","","","",""
"by_the_lake","boat",26,81.25,"","","","",""
"by_the_lake","beach",23,71.875,"","","","",""
"by_the_lake","lot",23,71.875,"","","","",""
"by_the_lake","sandcastle",20,62.5,"","","","",""
"by_the_lake","volleyball",19,59.375,"","","","",""
"by_the_lake","sand",18,56.25,"","","","",""
"by_the_lake","background",17,53.125,"","","","",""
"by_the_lake","kind",17,53.125,"","","","",""
"by_the_lake","pyramid",17,53.125,"","","","",""
"by_the_lake","dog",16,50,"","","","",""
"by_the_lake","kid",16,50,"","","","",""
"by_the_lake","dock",15,46.875,"","","","",""
"by_the_lake","man",15,46.875,"","","","",""
"by_the_lake","scene",15,46.875,"","","","",""
"by_the_lake","side",15,46.875,"","","","",""
"by_the_lake","ball",14,43.75,"","","","",""
"by_the_lake","building",14,43.75,"","","","",""
"by_the_lake","castle",14,43.75,"","","","",""
"by_the_lake","dragon",14,43.75,"","","","",""
"by_the_lake","house",14,43.75,"","","","",""
"by_the_lake","thing",14,43.75,"","","","",""
"by_the_lake","top",14,43.75,"","","","",""
"by_the_lake","cabin",13,40.625,"","","","",""
"by_the_lake","hand",13,40.625,"","","","",""
"by_the_lake","net",13,40.625,"","","","",""
"by_the_lake","raft",13,40.625,"","","","",""
"by_the_lake","sailboat",13,40.625,"","","","",""
"by_the_lake","couple",12,37.5,"","","","",""
"by_the_lake","guitar",12,37.5,"","","","",""
"by_the_lake","kite",12,37.5,"","","","",""
"by_the_lake","paddle",12,37.5,"","","","",""
"by_the_lake","picture",12,37.5,"","","","",""
"by_the_lake","umbrella",12,37.5,"","","","",""
"by_the_lake","group",11,34.375,"","","","",""
"by_the_lake","kayak",11,34.375,"","","","",""
"by_the_lake","penguin",11,34.375,"","","","",""
"by_the_lake","kites",10,31.25,"","","","",""
"by_the_lake","mountain",10,31.25,"","","","",""
"by_the_lake","person",10,31.25,"","","","",""
"by_the_lake","rock",10,31.25,"","","","",""
"by_the_lake","tube",10,31.25,"","","","",""
"by_the_lake","type",10,31.25,"","","","",""
"by_the_lake","bunch",9,28.125,"","","","",""
"by_the_lake","distance",9,28.125,"","","","",""
"by_the_lake","girl",9,28.125,"","","","",""
"by_the_lake","platform",9,28.125,"","","","",""
"by_the_lake","ski",9,28.125,"","","","",""
"by_the_lake","time",9,28.125,"","","","",""
"by_the_lake","umm",9,28.125,"","","","",""
"by_the_lake","cooler",8,25,"","","","",""
"by_the_lake","game",8,25,"","","","",""
"by_the_lake","guy",8,25,"","","","",""
"by_the_lake","jet",8,25,"","","","",""
"by_the_lake","snow",8,25,"","","","",""
"by_the_lake","soccer",8,25,"","","","",""
"by_the_lake","table",8,25,"","","","",""
"by_the_lake","board",7,21.875,"","","","",""
"by_the_lake","bottom",7,21.875,"","","","",""
"by_the_lake","chair",7,21.875,"","","","",""
"by_the_lake","float",7,21.875,"","","","",""
"by_the_lake","front",7,21.875,"","","","",""
"by_the_lake","fun",7,21.875,"","","","",""
"by_the_lake","igloo",7,21.875,"","","","",""
"by_the_lake","parasailing",7,21.875,"","","","",""
"by_the_lake","skier",7,21.875,"","","","",""
