"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"escape_from_the_zoo","zoo",30,93.75,"","","","",""
"escape_from_the_zoo","ice",29,90.625,"","","","",""
"escape_from_the_zoo","people",29,90.625,"","","","",""
"escape_from_the_zoo","animal",27,84.375,"","","","",""
"escape_from_the_zoo","bear",27,84.375,"","","","",""
"escape_from_the_zoo","cafe",26,81.25,"","","","",""
"escape_from_the_zoo","giraffe",26,81.25,"","","","",""
"escape_from_the_zoo","rhinocero",25,78.125,"","","","",""
"escape_from_the_zoo","lion",24,75,"","","","",""
"escape_from_the_zoo","shop",24,75,"","","","",""
"escape_from_the_zoo","crebe",22,68.75,"","","","",""
"escape_from_the_zoo","elephant",22,68.75,"","","","",""
"escape_from_the_zoo","flamingo",22,68.75,"","","","",""
"escape_from_the_zoo","bird",21,65.625,"","","","",""
"escape_from_the_zoo","dog",21,65.625,"","","","",""
"escape_from_the_zoo","gorilla",21,65.625,"","","","",""
"escape_from_the_zoo","tree",21,65.625,"","","","",""
"escape_from_the_zoo","penguin",20,62.5,"","","","",""
"escape_from_the_zoo","cream",19,59.375,"","","","",""
"escape_from_the_zoo","kind",18,56.25,"","","","",""
"escape_from_the_zoo","area",17,53.125,"","","","",""
"escape_from_the_zoo","peacock",17,53.125,"","","","",""
"escape_from_the_zoo","top",17,53.125,"","","","",""
"escape_from_the_zoo","zebras",17,53.125,"","","","",""
"escape_from_the_zoo","lot",16,50,"","","","",""
"escape_from_the_zoo","water",15,46.875,"","","","",""
"escape_from_the_zoo","escape",14,43.75,"","","","",""
"escape_from_the_zoo","lions",14,43.75,"","","","",""
"escape_from_the_zoo","background",13,40.625,"","","","",""
"escape_from_the_zoo","couple",13,40.625,"","","","",""
"escape_from_the_zoo","enclosure",13,40.625,"","","","",""
"escape_from_the_zoo","snake",13,40.625,"","","","",""
"escape_from_the_zoo","back",12,37.5,"","","","",""
"escape_from_the_zoo","cone",12,37.5,"","","","",""
"escape_from_the_zoo","kangaroo",12,37.5,"","","","",""
"escape_from_the_zoo","net",12,37.5,"","","","",""
"escape_from_the_zoo","scene",12,37.5,"","","","",""
"escape_from_the_zoo","child",11,34.375,"","","","",""
"escape_from_the_zoo","man",11,34.375,"","","","",""
"escape_from_the_zoo","middle",11,34.375,"","","","",""
"escape_from_the_zoo","monkey",11,34.375,"","","","",""
"escape_from_the_zoo","parrot",11,34.375,"","","","",""
"escape_from_the_zoo","way",11,34.375,"","","","",""
