"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"return","bird",29,90.625,"","","","",""
"return","door",29,90.625,"","","","",""
"return","kite",29,90.625,"","","","",""
"return","wall",29,90.625,"","","","",""
"return","boat",28,87.5,"","","","",""
"return","cave",28,87.5,"","","","",""
"return","room",28,87.5,"","","","",""
"return","submarine",28,87.5,"","","","",""
"return","cage",27,84.375,"","","","",""
"return","sword",27,84.375,"","","","",""
"return","water",27,84.375,"","","","",""
"return","boy",26,81.25,"","","","",""
"return","castle",26,81.25,"","","","",""
"return","king",26,81.25,"","","","",""
"return","light",26,81.25,"","","","",""
"return","people",26,81.25,"","","","",""
"return","ball",25,78.125,"","","","",""
"return","hand",25,78.125,"","","","",""
"return","man",25,78.125,"","","","",""
"return","picture",25,78.125,"","","","",""
"return","crown",24,75,"","","","",""
"return","tree",24,75,"","","","",""
"return","color",23,71.875,"","","","",""
"return","dock",23,71.875,"","","","",""
"return","kind",23,71.875,"","","","",""
"return","lantern",23,71.875,"","","","",""
"return","drawing",22,68.75,"","","","",""
"return","forest",22,68.75,"","","","",""
"return","head",22,68.75,"","","","",""
"return","house",22,68.75,"","","","",""
"return","tail",22,68.75,"","","","",""
"return","air",21,65.625,"","","","",""
"return","box",21,65.625,"","","","",""
"return","city",21,65.625,"","","","",""
"return","girl",21,65.625,"","","","",""
"return","wing",21,65.625,"","","","",""
"return","arm",20,62.5,"","","","",""
"return","crayon",20,62.5,"","","","",""
"return","dragon",20,62.5,"","","","",""
"return","feather",20,62.5,"","","","",""
"return","stair",20,62.5,"","","","",""
"return","thing",20,62.5,"","","","",""
"return","bedroom",19,59.375,"","","","",""
"return","bridge",19,59.375,"","","","",""
"return","building",19,59.375,"","","","",""
"return","floor",19,59.375,"","","","",""
"return","sky",19,59.375,"","","","",""
"return","fish",18,56.25,"","","","",""
"return","front",18,56.25,"","","","",""
"return","kitchen",18,56.25,"","","","",""
"return","lot",18,56.25,"","","","",""
"return","part",18,56.25,"","","","",""
"return","side",18,56.25,"","","","",""
"return","top",18,56.25,"","","","",""
"return","creature",17,53.125,"","","","",""
"return","end",17,53.125,"","","","",""
"return","ground",17,53.125,"","","","",""
"return","one",17,53.125,"","","","",""
"return","person",17,53.125,"","","","",""
"return","story",17,53.125,"","","","",""
"return","bathroom",16,50,"","","","",""
"return","hold",16,50,"","","","",""
"return","background",15,46.875,"","","","",""
"return","bed",15,46.875,"","","","",""
"return","cat",15,46.875,"","","","",""
"return","chair",15,46.875,"","","","",""
"return","child",15,46.875,"","","","",""
"return","draw",15,46.875,"","","","",""
"return","moon",15,46.875,"","","","",""
"return","purple",15,46.875,"","","","",""
"return","shape",15,46.875,"","","","",""
"return","table",15,46.875,"","","","",""
"return","trap",15,46.875,"","","","",""
"return","way",15,46.875,"","","","",""
"return","back",14,43.75,"","","","",""
"return","balloon",14,43.75,"","","","",""
"return","butterfly",14,43.75,"","","","",""
"return","guy",14,43.75,"","","","",""
"return","horse",14,43.75,"","","","",""
"return","night",14,43.75,"","","","",""
"return","page",14,43.75,"","","","",""
"return","place",14,43.75,"","","","",""
"return","river",14,43.75,"","","","",""
"return","rock",14,43.75,"","","","",""
"return","scene",14,43.75,"","","","",""
"return","step",14,43.75,"","","","",""
"return","stream",14,43.75,"","","","",""
"return","animal",13,40.625,"","","","",""
"return","doorway",13,40.625,"","","","",""
"return","eye",13,40.625,"","","","",""
"return","father",13,40.625,"","","","",""
"return","periscope",13,40.625,"","","","",""
"return","soldier",13,40.625,"","","","",""
"return","sort",13,40.625,"","","","",""
"return","um",13,40.625,"","","","",""
"return","area",12,37.5,"","","","",""
"return","desk",12,37.5,"","","","",""
"return","guard",12,37.5,"","","","",""
"return","plant",12,37.5,"","","","",""
"return","sea",12,37.5,"","","","",""
"return","ship",12,37.5,"","","","",""
"return","sink",12,37.5,"","","","",""
"return","throne",12,37.5,"","","","",""
"return","time",12,37.5,"","","","",""
"return","type",12,37.5,"","","","",""
"return","board",11,34.375,"","","","",""
"return","bottom",11,34.375,"","","","",""
"return","dad",11,34.375,"","","","",""
"return","edge",11,34.375,"","","","",""
"return","fall",11,34.375,"","","","",""
"return","lamp",11,34.375,"","","","",""
"return","marker",11,34.375,"","","","",""
"return","structure",11,34.375,"","","","",""
"return","umm",11,34.375,"","","","",""
"return","beard",10,31.25,"","","","",""
"return","bit",10,31.25,"","","","",""
"return","ceiling",10,31.25,"","","","",""
"return","daughter",10,31.25,"","","","",""
"return","dragonfly",10,31.25,"","","","",""
"return","inside",10,31.25,"","","","",""
"return","stove",10,31.25,"","","","",""
"return","cabinet",9,28.125,"","","","",""
"return","couple",9,28.125,"","","","",""
"return","green",9,28.125,"","","","",""
"return","land",9,28.125,"","","","",""
"return","line",9,28.125,"","","","",""
"return","magic",9,28.125,"","","","",""
"return","middle",9,28.125,"","","","",""
"return","mirror",9,28.125,"","","","",""
"return","office",9,28.125,"","","","",""
"return","pen",9,28.125,"","","","",""
"return","perch",9,28.125,"","","","",""
"return","point",9,28.125,"","","","",""
"return","shirt",9,28.125,"","","","",""
"return","shoulder",9,28.125,"","","","",""
"return","street",9,28.125,"","","","",""
"return","towers",9,28.125,"","","","",""
"return","uh",9,28.125,"","","","",""
"return","apartment",8,25,"","","","",""
"return","archway",8,25,"","","","",""
"return","basement",8,25,"","","","",""
"return","book",8,25,"","","","",""
"return","contraption",8,25,"","","","",""
"return","distance",8,25,"","","","",""
"return","flag",8,25,"","","","",""
"return","handle",8,25,"","","","",""
"return","life",8,25,"","","","",""
"return","map",8,25,"","","","",""
"return","ocean",8,25,"","","","",""
"return","parent",8,25,"","","","",""
"return","pick",8,25,"","","","",""
"return","rainbow",8,25,"","","","",""
"return","right",8,25,"","","","",""
"return","set",8,25,"","","","",""
"return","son",8,25,"","","","",""
"return","string",8,25,"","","","",""
"return","underwater",8,25,"","","","",""
"return","world",8,25,"","","","",""
"return","base",7,21.875,"","","","",""
"return","body",7,21.875,"","","","",""
"return","bunch",7,21.875,"","","","",""
"return","coat",7,21.875,"","","","",""
"return","crank",7,21.875,"","","","",""
"return","dome",7,21.875,"","","","",""
"return","entrance",7,21.875,"","","","",""
"return","face",7,21.875,"","","","",""
"return","frame",7,21.875,"","","","",""
"return","gold",7,21.875,"","","","",""
"return","griffin",7,21.875,"","","","",""
"return","hat",7,21.875,"","","","",""
