"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"wanderer","bird",31,96.875,"","","","",""
"wanderer","boat",31,96.875,"","","","",""
"wanderer","fish",31,96.875,"","","","",""
"wanderer","horse",31,96.875,"","","","",""
"wanderer","people",31,96.875,"","","","",""
"wanderer","water",31,96.875,"","","","",""
"wanderer","wave",31,96.875,"","","","",""
"wanderer","whale",31,96.875,"","","","",""
"wanderer","fishing",30,93.75,"","","","",""
"wanderer","light",30,93.75,"","","","",""
"wanderer","lot",30,93.75,"","","","",""
"wanderer","paper",30,93.75,"","","","",""
"wanderer","sea",30,93.75,"","","","",""
"wanderer","seahorse",30,93.75,"","","","",""
"wanderer","sky",30,93.75,"","","","",""
"wanderer","top",30,93.75,"","","","",""
"wanderer","creature",29,90.625,"","","","",""
"wanderer","eye",29,90.625,"","","","",""
"wanderer","lighthouse",29,90.625,"","","","",""
"wanderer","night",29,90.625,"","","","",""
"wanderer","ship",29,90.625,"","","","",""
"wanderer","tree",29,90.625,"","","","",""
"wanderer","turtle",29,90.625,"","","","",""
"wanderer","cat",28,87.5,"","","","",""
"wanderer","head",28,87.5,"","","","",""
"wanderer","kind",28,87.5,"","","","",""
"wanderer","submarine",28,87.5,"","","","",""
"wanderer","crane",27,84.375,"","","","",""
"wanderer","hand",27,84.375,"","","","",""
"wanderer","man",27,84.375,"","","","",""
"wanderer","moon",27,84.375,"","","","",""
"wanderer","side",27,84.375,"","","","",""
"wanderer","star",27,84.375,"","","","",""
"wanderer","bottom",26,81.25,"","","","",""
"wanderer","city",26,81.25,"","","","",""
"wanderer","couple",26,81.25,"","","","",""
"wanderer","horn",26,81.25,"","","","",""
"wanderer","jellyfish",26,81.25,"","","","",""
"wanderer","thing",26,81.25,"","","","",""
"wanderer","building",25,78.125,"","","","",""
"wanderer","hat",25,78.125,"","","","",""
"wanderer","lobster",25,78.125,"","","","",""
"wanderer","one",25,78.125,"","","","",""
"wanderer","person",25,78.125,"","","","",""
"wanderer","sailboat",25,78.125,"","","","",""
"wanderer","school",25,78.125,"","","","",""
"wanderer","time",25,78.125,"","","","",""
"wanderer","airplane",24,75,"","","","",""
"wanderer","background",24,75,"","","","",""
"wanderer","elephant",24,75,"","","","",""
"wanderer","kite",24,75,"","","","",""
"wanderer","life",24,75,"","","","",""
"wanderer","sail",24,75,"","","","",""
"wanderer","animal",23,71.875,"","","","",""
"wanderer","bunch",23,71.875,"","","","",""
"wanderer","diver",23,71.875,"","","","",""
"wanderer","ocean",23,71.875,"","","","",""
"wanderer","picture",23,71.875,"","","","",""
"wanderer","seal",23,71.875,"","","","",""
"wanderer","smoke",23,71.875,"","","","",""
"wanderer","back",22,68.75,"","","","",""
"wanderer","buoy",22,68.75,"","","","",""
"wanderer","fin",22,68.75,"","","","",""
"wanderer","hole",22,68.75,"","","","",""
"wanderer","house",22,68.75,"","","","",""
"wanderer","iceberg",22,68.75,"","","","",""
"wanderer","net",22,68.75,"","","","",""
"wanderer","piece",22,68.75,"","","","",""
"wanderer","sort",22,68.75,"","","","",""
"wanderer","tentacle",22,68.75,"","","","",""
"wanderer","type",22,68.75,"","","","",""
"wanderer","um",22,68.75,"","","","",""
"wanderer","area",21,65.625,"","","","",""
"wanderer","bridge",21,65.625,"","","","",""
"wanderer","leg",21,65.625,"","","","",""
"wanderer","page",21,65.625,"","","","",""
"wanderer","part",21,65.625,"","","","",""
"wanderer","way",21,65.625,"","","","",""
"wanderer","coral",20,62.5,"","","","",""
"wanderer","end",20,62.5,"","","","",""
"wanderer","plant",20,62.5,"","","","",""
"wanderer","air",19,59.375,"","","","",""
"wanderer","bottle",19,59.375,"","","","",""
"wanderer","front",19,59.375,"","","","",""
"wanderer","half",19,59.375,"","","","",""
"wanderer","land",19,59.375,"","","","",""
"wanderer","surface",19,59.375,"","","","",""
"wanderer","tail",19,59.375,"","","","",""
"wanderer","tunnel",19,59.375,"","","","",""
"wanderer","umm",19,59.375,"","","","",""
"wanderer","cloud",18,56.25,"","","","",""
"wanderer","dock",18,56.25,"","","","",""
"wanderer","eel",18,56.25,"","","","",""
"wanderer","ice",18,56.25,"","","","",""
"wanderer","middle",18,56.25,"","","","",""
"wanderer","mouth",18,56.25,"","","","",""
"wanderer","pipe",18,56.25,"","","","",""
"wanderer","propeller",18,56.25,"","","","",""
"wanderer","scene",18,56.25,"","","","",""
"wanderer","shirt",18,56.25,"","","","",""
"wanderer","snake",18,56.25,"","","","",""
"wanderer","street",18,56.25,"","","","",""
"wanderer","suit",18,56.25,"","","","",""
"wanderer","uh",18,56.25,"","","","",""
"wanderer","wall",18,56.25,"","","","",""
"wanderer","window",18,56.25,"","","","",""
"wanderer","wing",18,56.25,"","","","",""
"wanderer","anchor",17,53.125,"","","","",""
"wanderer","arm",17,53.125,"","","","",""
"wanderer","body",17,53.125,"","","","",""
"wanderer","cave",17,53.125,"","","","",""
"wanderer","foot",17,53.125,"","","","",""
"wanderer","line",17,53.125,"","","","",""
"wanderer","look",17,53.125,"","","","",""
"wanderer","nose",17,53.125,"","","","",""
"wanderer","rocket",17,53.125,"","","","",""
"wanderer","stair",17,53.125,"","","","",""
"wanderer","step",17,53.125,"","","","",""
"wanderer","storm",17,53.125,"","","","",""
"wanderer","bit",16,50,"","","","",""
"wanderer","claw",16,50,"","","","",""
"wanderer","distance",16,50,"","","","",""
"wanderer","dog",16,50,"","","","",""
"wanderer","fins",16,50,"","","","",""
"wanderer","flower",16,50,"","","","",""
"wanderer","helmet",16,50,"","","","",""
"wanderer","reef",16,50,"","","","",""
"wanderer","sun",16,50,"","","","",""
"wanderer","corner",15,46.875,"","","","",""
"wanderer","costume",15,46.875,"","","","",""
"wanderer","edge",15,46.875,"","","","",""
"wanderer","island",15,46.875,"","","","",""
"wanderer","number",15,46.875,"","","","",""
"wanderer","right",15,46.875,"","","","",""
"wanderer","shape",15,46.875,"","","","",""
"wanderer","smokestack",15,46.875,"","","","",""
"wanderer","spot",15,46.875,"","","","",""
"wanderer","structure",15,46.875,"","","","",""
"wanderer","arch",14,43.75,"","","","",""
"wanderer","deer",14,43.75,"","","","",""
"wanderer","flag",14,43.75,"","","","",""
"wanderer","guy",14,43.75,"","","","",""
"wanderer","leave",14,43.75,"","","","",""
"wanderer","lightning",14,43.75,"","","","",""
"wanderer","pier",14,43.75,"","","","",""
"wanderer","pole",14,43.75,"","","","",""
"wanderer","root",14,43.75,"","","","",""
"wanderer","scuba",14,43.75,"","","","",""
"wanderer","shell",14,43.75,"","","","",""
"wanderer","shower",14,43.75,"","","","",""
"wanderer","stripe",14,43.75,"","","","",""
"wanderer","underwater",14,43.75,"","","","",""
"wanderer","zebra",14,43.75,"","","","",""
"wanderer","boy",13,40.625,"","","","",""
"wanderer","face",13,40.625,"","","","",""
"wanderer","octopus",13,40.625,"","","","",""
"wanderer","place",13,40.625,"","","","",""
"wanderer","rest",13,40.625,"","","","",""
"wanderer","rope",13,40.625,"","","","",""
"wanderer","seagull",13,40.625,"","","","",""
"wanderer","tank",13,40.625,"","","","",""
"wanderer","wheel",13,40.625,"","","","",""
"wanderer","alligator",12,37.5,"","","","",""
"wanderer","aurora",12,37.5,"","","","",""
"wanderer","can",12,37.5,"","","","",""
"wanderer","hmm",12,37.5,"","","","",""
"wanderer","lion",12,37.5,"","","","",""
"wanderer","river",12,37.5,"","","","",""
"wanderer","rock",12,37.5,"","","","",""
"wanderer","tooth",12,37.5,"","","","",""
"wanderer","town",12,37.5,"","","","",""
"wanderer","view",12,37.5,"","","","",""
"wanderer","archway",11,34.375,"","","","",""
"wanderer","ball",11,34.375,"","","","",""
"wanderer","borealis",11,34.375,"","","","",""
"wanderer","branch",11,34.375,"","","","",""
"wanderer","character",11,34.375,"","","","",""
"wanderer","donut",11,34.375,"","","","",""
"wanderer","float",11,34.375,"","","","",""
"wanderer","forest",11,34.375,"","","","",""
"wanderer","left",11,34.375,"","","","",""
"wanderer","mast",11,34.375,"","","","",""
"wanderer","oh",11,34.375,"","","","",""
"wanderer","oil",11,34.375,"","","","",""
