"stimuli","lemma","n","percent","isPicturable","notNoun","checkThisWord","duplicateOf","synonymOf"
"birthday_party_fun","party",27,84.375,"","","","",""
"birthday_party_fun","birthday",26,81.25,"","","","",""
"birthday_party_fun","people",26,81.25,"","","","",""
"birthday_party_fun","costume",25,78.125,"","","","",""
"birthday_party_fun","pool",25,78.125,"","","","",""
"birthday_party_fun","cake",24,75,"","","","",""
"birthday_party_fun","table",23,71.875,"","","","",""
"birthday_party_fun","lot",21,65.625,"","","","",""
"birthday_party_fun","food",20,62.5,"","","","",""
"birthday_party_fun","castle",19,59.375,"","","","",""
"birthday_party_fun","clown",19,59.375,"","","","",""
"birthday_party_fun","pinata",18,56.25,"","","","",""
"birthday_party_fun","water",18,56.25,"","","","",""
"birthday_party_fun","fence",17,53.125,"","","","",""
"birthday_party_fun","kid",17,53.125,"","","","",""
"birthday_party_fun","tug",17,53.125,"","","","",""
"birthday_party_fun","war",17,53.125,"","","","",""
"birthday_party_fun","witch",17,53.125,"","","","",""
"birthday_party_fun","penguin",16,50,"","","","",""
"birthday_party_fun","present",16,50,"","","","",""
"birthday_party_fun","bat",15,46.875,"","","","",""
"birthday_party_fun","fun",15,46.875,"","","","",""
"birthday_party_fun","itis",15,46.875,"","","","",""
"birthday_party_fun","kind",15,46.875,"","","","",""
"birthday_party_fun","tree",15,46.875,"","","","",""
"birthday_party_fun","lion",14,43.75,"","","","",""
"birthday_party_fun","balloon",13,40.625,"","","","",""
"birthday_party_fun","gun",13,40.625,"","","","",""
"birthday_party_fun","house",13,40.625,"","","","",""
"birthday_party_fun","scene",13,40.625,"","","","",""
"birthday_party_fun","side",13,40.625,"","","","",""
"birthday_party_fun","thereis",13,40.625,"","","","",""
"birthday_party_fun","thatis",12,37.5,"","","","",""
"birthday_party_fun","bunny",11,34.375,"","","","",""
"birthday_party_fun","girl",11,34.375,"","","","",""
"birthday_party_fun","lantern",11,34.375,"","","","",""
"birthday_party_fun","one",11,34.375,"","","","",""
"birthday_party_fun","person",11,34.375,"","","","",""
"birthday_party_fun","robot",11,34.375,"","","","",""
"birthday_party_fun","animal",10,31.25,"","","","",""
"birthday_party_fun","backyard",10,31.25,"","","","",""
"birthday_party_fun","child",10,31.25,"","","","",""
"birthday_party_fun","cupcake",10,31.25,"","","","",""
"birthday_party_fun","elephant",10,31.25,"","","","",""
"birthday_party_fun","gift",10,31.25,"","","","",""
"birthday_party_fun","pirate",10,31.25,"","","","",""
"birthday_party_fun","tthereis",10,31.25,"","","","",""
"birthday_party_fun","alligator",9,28.125,"","","","",""
"birthday_party_fun","bouncy",9,28.125,"","","","",""
"birthday_party_fun","hand",9,28.125,"","","","",""
"birthday_party_fun","head",9,28.125,"","","","",""
"birthday_party_fun","man",9,28.125,"","","","",""
"birthday_party_fun","devil",8,25,"","","","",""
"birthday_party_fun","dog",8,25,"","","","",""
"birthday_party_fun","guy",8,25,"","","","",""
"birthday_party_fun","mermaid",8,25,"","","","",""
"birthday_party_fun","pig",8,25,"","","","",""
"birthday_party_fun","princess",8,25,"","","","",""
"birthday_party_fun","sandwich",8,25,"","","","",""
"birthday_party_fun","thing",8,25,"","","","",""
"birthday_party_fun","um",8,25,"","","","",""
"birthday_party_fun","yard",8,25,"","","","",""
"birthday_party_fun","activity",7,21.875,"","","","",""
"birthday_party_fun","adult",7,21.875,"","","","",""
"birthday_party_fun","boy",7,21.875,"","","","",""
"birthday_party_fun","couple",7,21.875,"","","","",""
"birthday_party_fun","crocodile",7,21.875,"","","","",""
"birthday_party_fun","lady",7,21.875,"","","","",""
"birthday_party_fun","parent",7,21.875,"","","","",""
"birthday_party_fun","theyare",7,21.875,"","","","",""
"birthday_party_fun","viking",7,21.875,"","","","",""
"birthday_party_fun","woman",7,21.875,"","","","",""
"birthday_party_fun","zebra",7,21.875,"","","","",""
"birthday_party_fun","angel",6,18.75,"","","","",""
"birthday_party_fun","bunch",6,18.75,"","","","",""
"birthday_party_fun","caveman",6,18.75,"","","","",""
"birthday_party_fun","chef",6,18.75,"","","","",""
"birthday_party_fun","face",6,18.75,"","","","",""
"birthday_party_fun","football",6,18.75,"","","","",""
"birthday_party_fun","group",6,18.75,"","","","",""
"birthday_party_fun","heis",6,18.75,"","","","",""
"birthday_party_fun","hose",6,18.75,"","","","",""
"birthday_party_fun","left",6,18.75,"","","","",""
"birthday_party_fun","page",6,18.75,"","","","",""
"birthday_party_fun","paper",6,18.75,"","","","",""
"birthday_party_fun","place",6,18.75,"","","","",""
"birthday_party_fun","salad",6,18.75,"","","","",""
"birthday_party_fun","sheep",6,18.75,"","","","",""
"birthday_party_fun","shepherd",6,18.75,"","","","",""
"birthday_party_fun","somebody",6,18.75,"","","","",""
"birthday_party_fun","whois",6,18.75,"","","","",""
"birthday_party_fun","blindfold",5,15.625,"","","","",""
"birthday_party_fun","bottom",5,15.625,"","","","",""
"birthday_party_fun","bucket",5,15.625,"","","","",""
"birthday_party_fun","bushes",5,15.625,"","","","",""
"birthday_party_fun","donkey",5,15.625,"","","","",""
"birthday_party_fun","fairy",5,15.625,"","","","",""
"birthday_party_fun","flower",5,15.625,"","","","",""
"birthday_party_fun","gate",5,15.625,"","","","",""
"birthday_party_fun","giraffe",5,15.625,"","","","",""
"birthday_party_fun","hedge",5,15.625,"","","","",""
"birthday_party_fun","middle",5,15.625,"","","","",""
"birthday_party_fun","neighbor",5,15.625,"","","","",""
"birthday_party_fun","net",5,15.625,"","","","",""
"birthday_party_fun","outfit",5,15.625,"","","","",""
"birthday_party_fun","park",5,15.625,"","","","",""
"birthday_party_fun","picture",5,15.625,"","","","",""
"birthday_party_fun","plate",5,15.625,"","","","",""
"birthday_party_fun","player",5,15.625,"","","","",""
"birthday_party_fun","policeman",5,15.625,"","","","",""
"birthday_party_fun","rabbit",5,15.625,"","","","",""
"birthday_party_fun","right",5,15.625,"","","","",""
"birthday_party_fun","skeleton",5,15.625,"","","","",""
"birthday_party_fun","sort",5,15.625,"","","","",""
"birthday_party_fun","stick",5,15.625,"","","","",""
"birthday_party_fun","sword",5,15.625,"","","","",""
"birthday_party_fun","time",5,15.625,"","","","",""
"birthday_party_fun","uh",5,15.625,"","","","",""
"birthday_party_fun","way",5,15.625,"","","","",""
"birthday_party_fun","area",4,12.5,"","","","",""
"birthday_party_fun","back",4,12.5,"","","","",""
"birthday_party_fun","batman",4,12.5,"","","","",""
"birthday_party_fun","blow",4,12.5,"","","","",""
"birthday_party_fun","bow",4,12.5,"","","","",""
"birthday_party_fun","candle",4,12.5,"","","","",""
"birthday_party_fun","center",4,12.5,"","","","",""
"birthday_party_fun","character",4,12.5,"","","","",""
"birthday_party_fun","cookie",4,12.5,"","","","",""
"birthday_party_fun","decoration",4,12.5,"","","","",""
"birthday_party_fun","flag",4,12.5,"","","","",""
"birthday_party_fun","frog",4,12.5,"","","","",""
"birthday_party_fun","game",4,12.5,"","","","",""
"birthday_party_fun","hat",4,12.5,"","","","",""
"birthday_party_fun","hood",4,12.5,"","","","",""
"birthday_party_fun","horse",4,12.5,"","","","",""
"birthday_party_fun","iti",4,12.5,"","","","",""
"birthday_party_fun","knight",4,12.5,"","","","",""
"birthday_party_fun","lions",4,12.5,"","","","",""
"birthday_party_fun","look",4,12.5,"","","","",""
"birthday_party_fun","mask",4,12.5,"","","","",""
"birthday_party_fun","mummy",4,12.5,"","","","",""
"birthday_party_fun","part",4,12.5,"","","","",""
"birthday_party_fun","peep",4,12.5,"","","","",""
"birthday_party_fun","ride",4,12.5,"","","","",""
"birthday_party_fun","riding",4,12.5,"","","","",""
